linkno,name,id,s,t,zOffset,hOffset,roll,pitch,orientation,dynamic,type,subtype,height,width
6,Sign_323(40),2,81.94427442105717,-39.89932846248337,3.3,-2.79,0.0,0.0,-,no,323,-1,0.4,0.4
4,Sign_323(60),4,347.81480858292105,-41.68209625629573,3.3,-2.79,0.0,0.0,-,no,323,-1,0.4,0.4
1,Sign_323(60),6,302.17211586090383,-10.90323226795404,3.3,-2.79,0.0,0.0,-,no,323,-1,0.4,0.4
