,meshcode,tnodeno,snodeno,enodeno,ysnodeno,yenodeno,passageno,geometry
0,513253,95,120,96,95,6111,0,
1,513253,95,120,96,95,6112,0,
2,513253,95,3862,95,96,120,8726,
3,513253,95,6111,95,96,120,0,
4,513253,95,6111,95,96,5766,0,
5,513253,95,8743,96,95,6111,8726,
6,513253,103,8756,103,4337,2236,8606,
7,513253,103,10422,4337,103,2681,8606,
8,513253,104,4333,4334,104,5044,8712,
9,513253,104,8230,104,4334,5794,8712,
10,513253,107,4325,4323,107,2643,10134,
11,513253,107,5119,107,4323,9162,10134,
12,513253,122,139,122,4339,2680,0,
13,513253,122,3977,4340,122,123,0,
14,513253,122,3977,4340,122,10817,0,
15,513253,122,4338,4339,122,10817,0,
16,513253,122,4338,4339,4340,5036,0,
17,513253,122,10817,122,4339,2680,0,
18,513253,122,10817,122,4340,5036,0,
19,513253,124,4331,4332,124,4021,8706,
20,513253,124,5832,124,4332,4380,8706,
21,513253,127,128,127,8247,10578,8740,
22,513253,127,8249,8247,127,8252,8740,
23,513253,129,632,380,129,4458,0,
24,513253,129,632,380,129,8186,0,
25,513253,129,6472,380,129,4458,8688,
26,513253,129,9818,129,380,632,8688,
27,513253,130,132,130,4321,4324,0,
28,513253,130,9619,4321,130,3188,0,
29,513253,133,134,133,4409,5131,8691,
30,513253,133,5131,4409,133,8668,0,
31,513253,133,5131,4409,133,10202,0,
32,513253,133,10197,4409,133,8668,8691,
33,513253,137,138,137,4329,10378,8700,
34,513253,137,5048,4329,137,10379,8700,
35,513253,216,4375,4352,216,4432,8611,
36,513253,216,7596,216,4352,4373,8611,
37,513253,217,218,217,947,955,8626,
38,513253,217,955,947,217,223,0,
39,513253,217,955,947,217,4511,0,
40,513253,217,2739,947,217,4511,8626,
41,513253,217,4511,217,947,955,0,
42,513253,217,4511,217,947,7632,0,
43,513253,218,2746,218,2748,4681,9159,
44,513253,218,7632,2748,218,953,9159,
45,513253,219,956,219,4407,8418,8640,
46,513253,219,8420,4407,219,7649,8640,
47,513253,224,2741,952,224,2750,8619,
48,513253,224,3918,224,952,7603,8619,
49,513253,226,7505,226,227,221,8645,
50,513253,226,9498,227,226,3965,8645,
51,513253,228,230,229,228,7456,0,
52,513253,228,230,229,228,7457,0,
53,513253,228,958,229,228,7457,8669,
54,513253,228,2758,228,229,230,8669,
55,513253,228,7457,228,229,230,0,
56,513253,228,7457,228,229,7476,0,
57,513253,246,3516,711,246,6875,8628,
58,513253,246,6873,246,711,710,8628,
59,513253,250,251,250,2796,10722,0,
