,meshcode,linkno,geometry
0,513253,1010,
1,513253,1011,
2,513253,1012,
3,513253,1013,
4,513253,1014,
5,513253,1015,
6,513253,1017,
7,513253,1018,
8,513253,1019,
9,513253,1020,
10,513253,1021,
11,513253,1027,
12,513253,1029,
13,513253,1030,
14,513253,1031,
15,513253,1032,
16,513253,1033,
17,513253,1034,
18,513253,1040,
19,513253,1043,
20,513253,1044,
21,513253,1050,
22,513253,1055,
23,513253,1056,
24,513253,1057,
25,513253,1058,
26,513253,1059,
27,513253,1060,
28,513253,1063,
29,513253,1064,
30,513253,1065,
31,513253,1068,
32,513253,1069,
33,513253,1070,
34,513253,1073,
35,513253,1074,
36,513253,1075,
37,513253,1076,
38,513253,1077,
39,513253,1083,
40,513253,1085,
41,513253,1086,
42,513253,1088,
43,513253,1094,
44,513253,1101,
45,513253,1111,
46,513253,1172,
47,513253,1184,
48,513253,1189,
49,513253,1190,
50,513253,1204,
51,513253,1205,
52,513253,1208,
53,513253,1209,
54,513253,1215,
55,513253,1217,
56,513253,1219,
57,513253,1220,
58,513253,1221,
59,513253,1222,
60,513253,1223,
61,513253,1226,
62,513253,1227,
63,513253,1231,
64,513253,1232,
65,513253,1233,
66,513253,1234,
67,513253,1235,
68,513253,1239,
69,513253,1240,
70,513253,1248,
71,513253,1249,
72,513253,1250,
73,513253,1251,
74,513253,1252,
75,513253,1254,
76,513253,1256,
77,513253,1257,
78,513253,1258,
79,513253,1259,
80,513253,1261,
81,513253,1262,
82,513253,1263,
83,513253,1264,
84,513253,1265,
85,513253,1266,
86,513253,1268,
87,513253,1281,
88,513253,1296,
89,513253,1297,
90,513253,1301,
91,513253,1302,
92,513253,1307,
93,513253,1314,
94,513253,1315,
95,513253,1316,
96,513253,1323,
97,513253,1324,
98,513253,1325,
99,513253,1327,
100,513253,1329,
101,513253,1330,
102,513253,1331,
103,513253,1332,
104,513253,1333,
105,513253,1338,
106,513253,1339,
107,513253,1341,
108,513253,1342,
109,513253,1354,
110,513253,1357,
111,513253,1358,
112,513253,1359,
113,513253,1360,
114,513253,1363,
115,513253,1364,
116,513253,1365,
117,513253,1366,
118,513253,1367,
119,513253,1368,
120,513253,1369,
121,513253,1370,
122,513253,1371,
123,513253,1372,
124,513253,1373,
125,513253,1374,
126,513253,1375,
127,513253,1386,
128,513253,1394,
129,513253,1397,
