,meshcode,linkno,orflg,signcnt,signno,maxspeed,signkeido,signido,geometry
0,513253,171,1,1,1,50,476916611,124056454,
1,513253,171,2,1,1,50,476916838,124056409,
2,513253,175,1,1,1,50,476882349,123979694,
3,513253,176,1,1,1,50,476909993,124052035,
4,513253,177,1,1,1,50,476854004,123920677,
5,513253,178,1,1,1,50,476855896,123926790,
6,513253,178,2,1,1,50,476855478,123926731,
7,513253,183,2,1,1,50,476892559,124026240,
8,513253,185,1,1,1,50,476847389,123911707,
9,513253,186,2,1,1,50,476909873,124051366,
10,513253,198,1,1,1,50,476983000,124129501,
11,513253,205,2,1,1,50,476981729,124129404,
12,513253,206,1,1,1,50,476975028,124124754,
13,513253,206,2,1,1,50,476975308,124125698,
14,513253,214,1,1,1,50,476887543,123990995,
15,513253,219,1,1,1,50,476890371,124012884,
16,513253,221,1,1,1,50,476888651,123996490,
17,513253,222,2,1,1,50,476889695,124005098,
18,513253,224,1,1,1,50,476899705,124041637,
19,513253,233,1,2,1,50,476891084,124016635,
20,513253,233,1,2,2,50,476891287,124015969,
21,513253,233,2,1,1,50,476891287,124015969,
22,513253,239,1,1,1,50,476853935,123938519,
23,513253,253,1,1,1,30,476630692,124191256,
24,513253,253,2,1,1,30,476630316,124191386,
25,513253,258,2,1,1,30,476628325,124208398,
26,513253,261,1,1,1,30,476632089,124180977,
27,513253,264,2,1,1,40,476574043,124053662,
28,513253,267,2,1,1,30,476631285,124173583,
29,513253,271,1,1,1,40,476987495,124049822,
30,513253,271,2,1,1,40,476987647,124049872,
31,513253,273,1,1,1,40,476982065,124037419,
32,513253,273,2,1,1,40,476982065,124037419,
33,513253,280,1,1,1,40,476722030,124084008,
34,513253,280,2,1,1,40,476722931,124083740,
35,513253,282,2,1,1,30,476629208,124195954,
36,513253,286,1,1,1,40,476667949,124093415,
37,513253,286,2,1,1,40,476667955,124093407,
38,513253,288,2,1,1,40,476674192,124082625,
39,513253,289,1,1,1,40,476612160,124067270,
40,513253,290,1,1,1,50,476637911,123962775,
41,513253,291,1,1,1,50,476653169,123995930,
42,513253,298,1,1,1,40,476861100,124080967,
43,513253,298,2,1,1,40,476861090,124080844,
44,513253,301,1,1,1,50,476816183,124113309,
45,513253,306,1,1,1,50,476861479,124092288,
46,513253,317,1,1,1,50,476876935,124072268,
47,513253,318,1,1,1,40,476872058,124073517,
48,513253,318,2,1,1,40,476872058,124073517,
49,513253,320,1,1,1,30,476607734,124200670,
50,513253,321,1,1,1,30,476630680,124167688,
51,513253,323,1,1,1,50,476658531,124039935,
52,513253,325,1,1,1,50,476728714,124095487,
53,513253,327,1,1,1,40,476690055,124070402,
54,513253,346,1,1,1,40,476852422,124086994,
55,513253,346,2,1,1,40,476852422,124086994,
56,513253,348,2,1,1,40,476858738,124082354,
57,513253,351,2,1,1,40,476610345,124065631,
58,513253,352,2,1,1,40,476643257,124059633,
59,513253,353,1,1,1,40,476651807,124058890,
60,513253,355,1,1,1,50,476911821,124046370,
61,513253,358,2,1,1,40,476555785,124051324,
62,513253,360,1,1,1,50,476648432,123984655,
63,513253,363,1,1,1,50,476654574,124011130,
64,513253,366,1,1,1,50,476655230,124027078,
65,513253,369,1,1,1,40,476885500,124034219,
66,513253,369,2,1,1,40,476885502,124034213,
67,513253,372,2,1,1,40,476971181,124008259,
68,513253,374,1,1,1,50,476920426,124038931,
69,513253,377,1,1,1,50,476912159,124046845,
70,513253,386,1,1,1,50,476869887,124086185,
71,513253,387,1,1,1,50,476862794,124092295,
72,513253,390,1,1,1,50,476847099,124100565,
73,513253,392,1,1,1,50,476815602,124113795,
74,513253,393,1,1,1,50,476797114,124112732,
75,513253,395,1,1,1,50,476743690,124101080,
76,513253,400,1,2,1,40,476659331,124045333,
77,513253,400,1,2,2,40,476657458,124048457,
78,513253,401,1,1,1,50,476653863,124010955,
79,513253,407,1,1,1,50,476644998,123973903,
80,513253,408,1,1,1,50,476636715,123960535,
81,513253,411,2,1,1,40,476743943,124093503,
82,513253,413,1,1,1,50,476639452,123966884,
83,513253,414,1,1,1,40,476619276,124071096,
84,513253,414,2,1,1,40,476619335,124070653,
85,513253,416,1,1,1,40,476886875,124029676,
86,513253,416,2,1,1,40,476886473,124029664,
87,513253,420,1,1,1,50,476920000,124038244,
88,513253,422,1,1,1,50,476637403,123959886,
89,513253,423,1,1,1,40,476987237,124059876,
90,513253,432,1,1,1,40,476978014,124025876,
91,513253,432,2,1,1,40,476978014,124025876,
92,513253,437,1,1,1,50,476869642,124084765,
93,513253,442,1,1,1,40,476969500,124003789,
94,513253,442,2,1,1,40,476969271,124004448,
95,513253,443,1,1,1,40,476975161,124018886,
96,513253,443,2,1,1,40,476975161,124018886,
97,513253,451,1,1,1,50,476905478,124052493,
98,513253,455,1,1,1,50,476885245,124067103,
99,513253,456,1,1,1,50,476879723,124071181,
100,513253,457,1,1,1,50,476886082,124067336,
101,513253,460,2,1,1,40,476876797,124061605,
102,513253,468,1,1,1,50,476834967,124108364,
103,513253,469,1,1,1,50,476834486,124107926,
104,513253,473,1,1,1,40,476819664,124102066,
105,513253,474,2,1,1,40,476824582,124101846,
106,513253,477,2,1,1,40,476832795,124100853,
107,513253,479,2,1,1,40,476838043,124097174,
108,513253,481,1,1,1,50,476847120,124099814,
109,513253,489,1,1,1,50,476795287,124112029,
110,513253,501,1,1,1,50,476773934,124109443,
111,513253,506,1,1,1,50,476775114,124110401,
112,513253,513,1,1,1,40,476800417,124103293,
113,513253,513,2,1,1,40,476800417,124103293,
114,513253,515,1,1,1,40,476772133,124107131,
115,513253,518,1,1,1,40,476762578,124100012,
116,513253,522,1,1,1,50,476758928,124105524,
117,513253,526,1,1,1,40,476753931,124096048,
118,513253,526,2,1,1,40,476753955,124096050,
119,513253,531,1,1,1,50,476757460,124105558,
120,513253,535,2,1,1,40,476735781,124089231,
121,513253,539,1,1,1,40,476731987,124085105,
122,513253,546,1,1,1,40,476741290,124092337,
123,513253,546,2,1,1,40,476741290,124092337,
124,513253,550,1,1,1,50,476716091,124092969,
125,513253,556,1,1,1,50,476699865,124087342,
126,513253,560,1,1,1,50,476698773,124087016,
127,513253,561,1,1,1,50,476690118,124079142,
128,513253,563,1,1,1,50,476690532,124078791,
129,513253,567,1,1,1,50,476687421,124070717,
130,513253,571,1,1,1,50,476645117,123973052,
131,513253,574,1,1,1,50,476652637,123996580,
132,513253,581,1,1,1,40,476643772,124059621,
133,513253,589,1,1,1,40,476634895,124145095,
134,513253,589,2,2,1,40,476634670,124145194,
135,513253,589,2,2,2,40,476634895,124145095,
136,513253,592,1,1,1,30,476623373,124186878,
137,513253,592,2,1,1,30,476623340,124185500,
138,513253,594,1,1,1,40,476635270,124153331,
139,513253,604,1,1,1,40,476567578,124051085,
140,513253,604,2,1,1,40,476565053,124052151,
141,513253,606,1,1,1,40,476548355,124053383,
142,513253,611,1,1,1,50,476727949,124095817,
143,513253,612,1,1,1,50,476743412,124100507,
144,513253,613,1,1,1,50,476714562,124092229,
145,513253,616,1,1,1,30,476625103,124172568,
146,513253,617,2,1,1,30,476630345,124169449,
147,513253,619,1,1,1,40,476596836,124059512,
148,513253,619,2,1,1,40,476598303,124059209,
149,513253,625,1,1,1,40,476589775,124057213,
150,513253,625,2,1,1,40,476581091,124058382,
151,513253,626,1,1,1,50,476655369,124033679,
152,513253,628,1,1,1,40,476886981,124026194,
153,513253,628,2,1,1,40,476887410,124025677,
154,513253,630,1,1,1,50,476911467,123957033,
155,513253,630,2,1,1,50,476911467,123957033,
156,513253,631,2,1,1,50,476942598,123979996,
