,meshcode,linkno,orflg,seccnt,secno,exflg,maxspeed,ssecichi,esecichi,geometry
200,513253,14408,1,1,1,0,20,0,10000,
201,513253,14441,1,1,1,0,20,0,10000,
202,513253,14528,1,1,1,0,20,0,10000,
203,513253,14548,1,1,1,2,40,0,10000,
204,513253,14562,1,1,1,0,20,0,10000,
205,513253,14576,1,1,1,2,40,0,10000,
206,513253,14589,1,1,1,0,20,0,10000,
207,513253,14616,1,1,1,2,40,0,10000,
208,513253,14626,1,1,1,2,40,0,10000,
209,513253,14636,1,1,1,2,40,0,10000,
210,513253,14645,1,1,1,2,40,0,10000,
211,513253,14655,1,1,1,2,40,0,10000,
212,513253,14664,1,1,1,0,40,0,10000,
213,513253,14676,1,2,1,2,40,0,6138,
214,513253,14676,1,2,2,0,40,6138,10000,
215,513253,14685,1,1,1,2,40,0,10000,
216,513253,14693,1,1,1,2,40,0,10000,
217,513253,14793,1,1,1,0,100,0,10000,
218,513253,14801,1,1,1,0,100,0,10000,
