,meshcode,zuflg,tnodeno,snodeno,slinkno,susno,stype,ichikeido,ichiido,signx,signy,geometry
375,513253,0,1423,1417,6781,1,0,476858337,123920933,476858170,123920975,
376,513253,0,1423,6462,9655,1,0,476858460,123920567,476858756,123920447,
377,513253,0,1427,1428,6261,1,0,476850361,123924766,476850282,123924626,
378,513253,0,1428,2202,6799,1,0,476848806,123922966,476848720,123922822,
379,513253,0,1432,121,6265,1,0,476850115,123912467,476849888,123912505,
380,513253,0,1432,11297,14912,1,0,476850197,123912167,476849995,123912299,
381,513253,0,1433,2201,4302,1,0,476857275,123916633,476857318,123916764,
382,513253,0,1446,5793,9349,1,0,476911184,124018292,476911254,124018323,
383,513253,0,1458,1459,1927,1,0,476908155,124037156,476908203,124037087,
384,513253,0,1461,6146,9504,1,0,476900343,124028023,476900207,124028091,
385,513253,0,1462,686,2394,1,0,476904269,124034157,476904202,124034184,
386,513253,0,1462,8171,3082,1,0,476904228,124033957,476904293,124033948,
387,513253,0,1465,4961,9037,1,0,476942597,124075719,476942802,124075907,
388,513253,0,1469,4946,9031,1,0,476950901,124068854,476951127,124068628,
389,513253,0,1469,5514,9263,1,0,476950738,124069187,476950519,124069295,
390,513253,0,1471,4942,9030,1,0,476953888,124060788,476953529,124060901,
391,513253,0,1503,814,6285,1,0,476941129,123961931,476940446,123961569,
392,513253,0,1503,1327,6840,1,0,476941620,123961898,476941985,123962010,
393,513253,0,1510,3716,3958,1,0,476901773,124081384,476901919,124081514,
394,513253,0,1547,1551,6879,1,0,476611997,124205398,476612078,124205390,
395,513253,0,1547,2321,6880,1,0,476611710,124205765,476611627,124205728,
396,513253,0,1549,1550,6303,1,0,476610810,124202898,476610871,124202902,
397,513253,0,1551,1547,6879,1,0,476615637,124202332,476615562,124202487,
398,513253,0,1552,2312,3787,1,0,476614123,124201832,476614059,124201898,
399,513253,0,1553,2328,6897,1,0,476619605,124209498,476619609,124209500,
400,513253,0,1554,1558,7741,1,0,476620505,124208398,476620477,124208342,
401,513253,0,1555,2331,6900,1,0,476624105,124196866,476624150,124196875,
402,513253,0,1556,575,6308,1,0,476622387,124199266,476622381,124199289,
403,513253,0,1558,1557,6307,1,0,476621446,124204332,476621366,124204298,
404,513253,0,1558,2330,7742,1,0,476622018,124204332,476622146,124204361,
405,513253,0,1588,1589,6320,1,0,476664686,124049182,476664710,124049065,
406,513253,0,1602,1612,4050,1,0,476683012,124055849,476683017,124055840,
407,513253,0,1602,1603,6329,1,0,476683421,124056182,476683453,124056285,
408,513253,0,1606,1607,6331,1,0,476686489,124055515,476686532,124055607,
409,513253,0,1606,1610,6333,1,0,476686162,124055249,476686127,124055202,
410,513253,0,1610,2379,6947,1,0,476686612,124051516,476686650,124051522,
411,513253,0,1610,3885,8391,1,0,476686203,124051750,476686200,124051761,
412,513253,0,1621,2374,6949,1,0,476695815,124051383,476695619,124051370,
413,513253,0,1621,2382,6950,1,0,476696224,124051183,476696348,124051185,
414,513253,0,1622,1617,6475,1,0,476695897,124050183,476695852,124050177,
415,513253,0,1622,344,7221,1,0,476696224,124049983,476696369,124050003,
416,513253,0,1654,2418,6975,1,0,476727025,124111610,476727033,124111567,
417,513253,0,1654,2417,8049,1,0,476727310,124111177,476727350,124111093,
418,513253,0,1659,869,1932,1,0,476724039,124105778,476724112,124105789,
419,513253,0,1659,2437,2001,1,0,476724530,124105478,476724575,124105479,
420,513253,0,1661,3654,8145,1,0,476761345,124090113,476761362,124089920,
421,513253,0,1664,1665,6369,1,0,476792677,124098280,476792700,124098266,
422,513253,0,1671,2769,7308,1,0,476745799,124120577,476745830,124120421,
423,513253,0,1692,2473,7040,1,0,476776519,124123477,476776314,124123408,
424,513253,0,1703,1704,6391,1,0,476784577,124128744,476784562,124128770,
425,513253,0,1705,1706,7879,1,0,476803680,124134444,476803953,124134298,
426,513253,0,1708,1707,6392,1,0,476804580,124129510,476804551,124129492,
427,513253,0,1708,2483,7054,1,0,476805030,124129444,476805128,124129519,
428,513253,0,1710,1709,6393,1,0,476805725,124126945,476805668,124126917,
429,513253,0,1710,2484,7055,1,0,476806134,124126845,476806272,124126904,
430,513253,0,1712,1711,6394,1,0,476819715,124107747,476819832,124107651,
431,513253,0,1712,6553,9699,1,0,476820165,124107780,476819832,124107651,
432,513253,0,1715,1742,6407,1,0,476815379,124127845,476815674,124127978,
433,513253,0,1722,1725,6399,1,0,476811042,124137610,476810960,124137784,
434,513253,0,1723,1724,6398,1,0,476812679,124142009,476812774,124141962,
435,513253,0,1724,1723,6398,1,0,476814806,124139143,476814780,124139204,
436,513253,0,1724,2509,7064,1,0,476814806,124138709,476814904,124138556,
437,513253,0,1726,2510,7873,1,0,476820369,124137077,476820249,124137000,
438,513253,0,1726,3463,7887,1,0,476820900,124137010,476821144,124137162,
439,513253,0,1727,3464,7890,1,0,476823273,124135677,476823184,124135816,
440,513253,0,1727,8257,10332,1,0,476823273,124135244,476823274,124135219,
441,513253,0,1728,1729,6400,1,0,476826341,124135610,476826248,124135687,
442,513253,0,1729,1728,6400,1,0,476825646,124136177,476825605,124136174,
443,513253,0,1729,2514,7070,1,0,476825687,124136644,476825659,124136671,
444,513253,0,1734,496,6403,1,0,476820778,124144409,476820682,124144311,
445,513253,0,1734,2502,7077,1,0,476821228,124144276,476821626,124144526,
446,513253,0,1742,1715,6407,1,0,476818733,124129078,476818423,124128983,
447,513253,0,1750,2827,2164,1,0,476846426,124136544,476846400,124136533,
448,513253,0,1750,505,3830,1,0,476845935,124136677,476845824,124136655,
449,513253,0,1758,1757,6418,1,0,476839636,124117346,476839524,124117629,
450,513253,0,1763,615,6422,1,0,476884265,124084517,476884280,124084560,
451,513253,0,1811,1806,6449,1,0,476845813,124103248,476846114,124103042,
452,513253,0,1811,3270,7658,1,0,476846058,124102881,476846114,124103042,
453,513253,0,1877,5156,9128,1,0,476853340,124098881,476853371,124098848,
454,513253,0,1877,9023,11115,1,0,476853095,124099081,476853012,124099083,
455,513253,0,1878,5156,9129,1,0,476854363,124096882,476854356,124096861,
456,513253,0,1888,1889,6486,1,0,476971646,123936201,476971125,123935825,
457,513253,0,1890,1718,1650,1,0,476812841,124144176,476812712,124144225,
458,513253,0,1899,449,6522,1,0,476643785,123938595,476643754,123938578,
459,513253,0,1899,1161,8456,1,0,476643417,123938862,476643269,123938849,
460,513253,0,1914,1913,6509,1,0,476643662,123913730,476643650,123913796,
461,513253,0,1914,1181,6510,1,0,476643458,123913364,476643478,123913296,
462,513253,0,1918,1917,6514,1,0,476655566,123934062,476655605,123934205,
463,513253,0,1918,1919,6515,1,0,476655361,123933795,476655312,123933586,
464,513253,0,1921,1920,6516,1,0,476652375,123912797,476652376,123912838,
465,513253,0,1921,10,7249,1,0,476652129,123912397,476652092,123912248,
466,513253,0,1927,7543,10114,1,0,476661293,123925563,476661287,123925576,
467,513253,0,1966,788,2282,1,0,476743633,124078514,476743470,124078353,
468,513253,0,1966,593,2284,1,0,476744042,124078314,476744053,124078428,
469,513253,0,1969,481,6597,1,0,476758727,124080914,476759093,124081091,
470,513253,0,1973,1972,2321,1,0,476756600,124074649,476756656,124074695,
471,513253,0,1980,478,3910,1,0,476766907,124077915,476766823,124077807,
472,513253,0,1980,745,3911,1,0,476767194,124077482,476767367,124077565,
473,513253,0,1981,796,2324,1,0,476767317,124074949,476767463,124075090,
474,513253,0,1981,303,4002,1,0,476766990,124075415,476766798,124075237,
475,513253,0,2017,3809,2344,1,0,476829780,124066417,476829819,124066432,
476,513253,0,2017,2018,6640,1,0,476829371,124066484,476829301,124066467,
477,513253,0,2031,6982,9895,1,0,476817548,124089649,476817578,124089639,
478,513253,0,2040,2039,6674,1,0,476806872,124083715,476806814,124083661,
479,513253,0,2040,2041,6675,1,0,476807240,124083882,476807376,124083936,
480,513253,0,2041,3668,3924,1,0,476808303,124084515,476808257,124084310,
481,513253,0,2041,1287,3925,1,0,476808303,124084315,476808278,124084298,
482,513253,0,2043,2056,3927,1,0,476811249,124086849,476811225,124086843,
483,513253,0,2043,2058,3928,1,0,476811290,124086615,476811458,124086518,
484,513253,0,2044,2053,3914,1,0,476803886,124086782,476803883,124086820,
485,513253,0,2045,3668,8186,1,0,476804459,124085715,476804621,124085864,
486,513253,0,2046,1296,8180,1,0,476805441,124084582,476805350,124084618,
487,513253,0,2047,3665,3919,1,0,476808099,124083149,476808065,124083138,
488,513253,0,2049,3669,3930,1,0,476811985,124083349,476812014,124083357,
489,513253,0,2049,2055,6687,1,0,476812312,124083415,476812354,124083500,
490,513253,0,2050,3672,3931,1,0,476813826,124084049,476813697,124084041,
491,513253,0,2060,2257,8381,1,0,476858209,124044687,476858222,124044649,
492,513253,0,2061,3874,8370,1,0,476858823,124044487,476858830,124044465,
493,513253,0,2062,2264,6830,1,0,476862014,124046954,476862219,124046892,
494,513253,0,2063,3878,8378,1,0,476862423,124047654,476862331,124047748,
495,513253,0,2064,2263,8377,1,0,476865286,124049087,476865249,124049112,
496,513253,0,2066,2070,6695,1,0,476869663,124052020,476869634,124052016,
497,513253,0,2066,3871,8364,1,0,476869786,124051720,476869778,124051694,
498,513253,0,2067,3871,4034,1,0,476870686,124052654,476870672,124052623,
499,513253,0,2067,2071,4035,1,0,476870563,124052920,476870535,124052915,
