,meshcode,linkno,oheight,owidth,oweight,rheight,rwidth,rweight,signcnt,signno,ohsignkdo,ohsignido,owisignkdo,owisignido,owesignkdo,owesignido,rhsignkdo,rhsignido,rwisignkdo,rwisignido,rwesignkdo,rwesignido,geometry
0,513253,628,450,0,0,450,0,0,1,1,476886471,124026995,0,0,0,0,476886347,124027685,0,0,0,0,
1,513253,845,0,0,0,450,0,0,2,1,0,0,0,0,0,0,476989655,124136912,0,0,0,0,
2,513253,845,0,0,0,450,0,0,2,2,0,0,0,0,0,0,476990177,124136881,0,0,0,0,
3,513253,1088,0,0,0,450,0,0,1,1,0,0,0,0,0,0,476958419,124119150,0,0,0,0,
4,513253,1477,450,0,0,450,0,0,1,1,476861641,123978355,0,0,0,0,476861754,123978157,0,0,0,0,
5,513253,2347,450,0,0,450,0,0,1,1,476900058,124067407,0,0,0,0,476900163,124066915,0,0,0,0,
6,513253,2719,450,0,0,450,0,0,1,1,476889603,124046414,0,0,0,0,476889778,124046082,0,0,0,0,
7,513253,2764,450,0,0,450,0,0,1,1,476833513,123930008,0,0,0,0,476833865,123929841,0,0,0,0,
8,513253,2963,300,0,0,300,0,0,1,1,476632657,123936688,0,0,0,0,476631825,123937353,0,0,0,0,
9,513253,3720,300,0,0,300,0,0,1,1,476679197,123980530,0,0,0,0,476679182,123979836,0,0,0,0,
10,513253,3838,450,0,0,450,0,0,1,1,476986566,124135273,0,0,0,0,476986566,124135273,0,0,0,0,
11,513253,4013,250,0,0,250,0,0,1,1,476902254,124069523,0,0,0,0,476901854,124069873,0,0,0,0,
12,513253,4025,200,0,0,200,0,0,3,1,476912658,124053741,0,0,0,0,476916899,124050763,0,0,0,0,
13,513253,4025,200,0,0,200,0,0,3,2,476912072,124054131,0,0,0,0,476913228,124053342,0,0,0,0,
14,513253,4025,200,0,0,200,0,0,3,3,476908365,124056794,0,0,0,0,476913288,124053383,0,0,0,0,
15,513253,4634,280,0,0,280,0,0,1,1,476869621,124084341,0,0,0,0,476870500,124084525,0,0,0,0,
16,513253,5850,300,0,0,300,0,0,1,1,476638309,123946731,0,0,0,0,476636375,123947025,0,0,0,0,
17,513253,7505,450,0,0,450,0,0,1,1,476867536,123986055,0,0,0,0,476867784,123985809,0,0,0,0,
18,513253,7629,450,0,0,450,0,0,1,1,476981928,124132744,0,0,0,0,476982233,124132812,0,0,0,0,
19,513253,7650,280,0,0,280,0,0,2,1,476871757,124078822,0,0,0,0,476874589,124079180,0,0,0,0,
20,513253,7650,280,0,0,280,0,0,2,2,476868609,124076371,0,0,0,0,476873020,124078553,0,0,0,0,
21,513253,7950,450,0,0,450,0,0,1,1,476939092,124106747,0,0,0,0,476939333,124106475,0,0,0,0,
22,513253,8544,450,0,0,450,0,0,1,1,476874453,123996273,0,0,0,0,476874640,123996059,0,0,0,0,
23,513253,9313,450,0,0,450,0,0,1,1,476906590,124074755,0,0,0,0,476906267,124074723,0,0,0,0,
24,513253,9490,450,0,0,450,0,0,1,1,476892872,124057124,0,0,0,0,476892937,124056890,0,0,0,0,
25,513253,9524,380,0,0,380,0,0,1,1,476897084,124064119,0,0,0,0,476897425,124063918,0,0,0,0,
26,513253,10388,450,0,0,0,0,0,1,1,476887147,124030202,0,0,0,0,0,0,0,0,0,0,
27,513253,10544,450,0,0,450,0,0,1,1,476852149,123964792,0,0,0,0,476852423,123964697,0,0,0,0,
28,513253,10572,450,0,0,450,0,0,1,1,476923509,124093369,0,0,0,0,476923537,124092941,0,0,0,0,
29,513253,10753,220,0,0,220,0,0,1,1,476970161,123944501,0,0,0,0,476970307,123944492,0,0,0,0,
30,513253,11231,450,0,0,450,0,0,1,1,476911621,124081632,0,0,0,0,476912071,124081235,0,0,0,0,
31,513253,12310,450,0,0,450,0,0,1,1,476842469,123943878,0,0,0,0,476842825,123943745,0,0,0,0,
32,513253,12347,300,0,0,300,0,0,1,1,476740852,124100419,0,0,0,0,476740805,124101085,0,0,0,0,
33,513253,12383,450,0,0,450,0,0,1,1,476849357,123958725,0,0,0,0,476849729,123958941,0,0,0,0,
34,513253,12900,450,0,0,450,0,0,1,1,476884010,124014584,0,0,0,0,476883682,124014771,0,0,0,0,
35,513253,13026,0,0,0,180,0,0,1,1,0,0,0,0,0,0,476924177,124093521,0,0,0,0,
36,513253,13217,0,0,0,380,0,0,1,1,0,0,0,0,0,0,476900078,124063687,0,0,0,0,
37,513253,13218,280,0,0,280,0,0,1,1,476890667,124070131,0,0,0,0,476891504,124069834,0,0,0,0,
38,513253,13295,370,0,0,370,0,0,1,1,476855263,123926565,0,0,0,0,476856034,123926380,0,0,0,0,
39,513253,13681,450,0,0,0,0,0,1,1,476965957,124123414,0,0,0,0,0,0,0,0,0,0,
40,513253,13831,300,0,0,300,0,0,1,1,476730201,124096021,0,0,0,0,476730183,124096907,0,0,0,0,
41,513253,13863,450,0,0,450,0,0,1,1,476969987,124125630,0,0,0,0,476970235,124125668,0,0,0,0,
42,513253,13922,450,0,0,450,0,0,1,1,476877766,124002980,0,0,0,0,476877857,124002585,0,0,0,0,
