,meshcode,grno,grnode1,grnode2,grnode3,grnode4,grnode5,geometry
0,513253,1,130,4321,0,0,0,
1,513253,2,250,2796,0,0,0,
2,513253,3,251,2794,0,0,0,
3,513253,4,254,10725,0,0,0,
4,513253,5,260,4345,0,0,0,
5,513253,6,261,318,0,0,0,
6,513253,7,281,3815,0,0,0,
7,513253,8,966,983,0,0,0,
8,513253,9,969,3516,0,0,0,
9,513253,10,971,2758,0,0,0,
10,513253,11,976,4347,0,0,0,
11,513253,12,1801,10852,0,0,0,
12,513253,13,2746,3939,0,0,0,
13,513253,14,3260,4344,0,0,0,
14,513253,15,3865,5776,0,0,0,
15,513253,16,3919,10320,0,0,0,
16,513253,17,3940,3943,0,0,0,
17,513253,18,3941,3942,0,0,0,
18,513253,19,4341,10437,0,0,0,
19,513253,20,10670,11018,0,0,0,
20,513253,21,95,96,8726,0,0,
21,513253,22,103,4337,8606,0,0,
22,513253,23,104,4334,8712,0,0,
23,513253,24,107,4323,10134,0,0,
24,513253,25,122,4339,4340,0,0,
25,513253,26,124,4332,8706,0,0,
26,513253,27,127,8247,8740,0,0,
27,513253,28,129,380,8688,0,0,
28,513253,29,133,4409,8691,0,0,
29,513253,30,137,4329,8700,0,0,
30,513253,31,177,443,8604,0,0,
31,513253,32,216,4352,8611,0,0,
32,513253,33,217,947,8626,0,0,
33,513253,34,218,2748,9159,0,0,
34,513253,35,219,4407,8640,0,0,
35,513253,36,224,952,8619,0,0,
36,513253,37,226,227,8645,0,0,
37,513253,38,228,229,8669,0,0,
38,513253,39,246,711,8628,0,0,
39,513253,40,252,527,8642,0,0,
40,513253,41,257,1812,8634,0,0,
41,513253,42,262,4343,8613,0,0,
42,513253,43,436,968,8662,0,0,
43,513253,44,437,438,8654,0,0,
44,513253,45,769,3644,8633,0,0,
45,513253,46,957,2755,8653,0,0,
46,513253,47,959,960,8620,0,0,
47,513253,48,962,3636,8627,0,0,
48,513253,49,964,965,8646,0,0,
49,513253,50,973,3312,8641,0,0,
50,513253,51,1086,4404,10832,0,0,
51,513253,52,1594,4415,8661,0,0,
52,513253,53,2389,2760,10688,0,0,
53,513253,54,3351,3858,8734,0,0,
54,513253,55,3861,3863,8719,0,0,
55,513253,56,3959,3964,8632,0,0,
56,513253,57,4028,4328,8694,0,0,
57,513253,58,4317,4318,4422,0,0,
58,513253,59,4402,4403,8621,0,0,
59,513253,60,4536,10857,11067,0,0,
60,513253,61,4538,11022,11048,0,0,
61,513253,62,4539,10715,10845,0,0,
