,meshcode,nodeno,stotlinkno,ttoelinkno,snodeno,enodeno,geometry
0,513253,52,51,84,4482,4692,
1,513253,54,13962,11534,10695,53,
2,513253,54,49,11534,4481,53,
3,513253,55,91,14801,4515,11233,
4,513253,56,27,18,140,57,
5,513253,58,2,30,59,4405,
6,513253,58,11429,30,9218,4405,
7,513253,59,37,19,4473,60,
8,513253,60,4,36,71,4470,
9,513253,60,19,36,59,4470,
10,513253,61,24,90,67,4471,
11,513253,61,41,90,4475,4471,
12,513253,63,20,39,64,4474,
13,513253,63,9,39,8549,4474,
14,513253,64,34,20,4469,63,
15,513253,66,21,13383,67,10435,
16,513253,66,44,13383,4477,10435,
17,513253,68,23,60,62,4490,
18,513253,68,22,60,65,4490,
19,513253,69,7,57,4399,4488,
20,513253,69,83,57,4518,4488,
21,513253,70,59,47,4489,4479,
22,513253,73,25,29,74,3633,
23,513253,73,11990,29,9599,3633,
24,513253,74,78,25,4509,73,
25,513253,75,26,76,76,4508,
26,513253,75,11999,76,9613,4508,
27,513253,76,28,26,3632,75,
28,513253,77,14793,80,11156,4514,
29,513253,79,167,12832,80,9990,
30,513253,79,12832,167,9990,80,
31,513253,79,1697,8672,334,2210,
32,513253,79,8672,1697,2210,334,
33,513253,81,236,240,6381,6424,
34,513253,81,240,236,6424,6381,
35,513253,81,8593,2742,2220,6363,
36,513253,81,2742,8593,6363,2220,
37,513253,82,238,12436,6391,9677,
38,513253,82,12436,238,9677,6391,
39,513253,82,2753,6266,6431,1435,
40,513253,82,6266,2753,1435,6431,
41,513253,83,12432,234,9677,6360,
42,513253,83,234,12432,6360,9677,
43,513253,84,209,12865,6010,10107,
44,513253,84,12865,209,10107,6010,
45,513253,85,11270,208,10041,6002,
46,513253,85,208,11270,6002,10041,
47,513253,86,12136,13905,6002,10883,
48,513253,86,13905,12136,10883,6002,
49,513253,87,220,168,6084,88,
50,513253,87,10994,9105,8926,5108,
51,513253,87,168,220,88,6084,
52,513253,87,9105,10994,5108,8926,
53,513253,88,214,168,6036,87,
54,513253,88,168,214,87,6036,
55,513253,89,12067,215,9614,6065,
56,513253,89,215,12067,6065,9614,
57,513253,91,371,693,3976,4441,
58,513253,91,183,12698,4000,10012,
59,513253,91,12698,183,10012,4000,
60,513253,91,693,371,4441,3976,
61,513253,93,224,182,6106,92,
62,513253,93,182,224,92,6106,
63,513253,93,2393,8792,208,4385,
64,513253,93,8792,2393,4385,208,
65,513253,94,225,227,6106,6111,
66,513253,94,227,225,6111,6106,
67,513253,95,169,226,96,6111,
68,513253,95,356,450,3862,6112,
69,513253,95,226,169,6111,96,
70,513253,95,10621,226,8726,6111,
71,513253,96,169,186,95,120,
72,513253,96,186,169,120,95,
73,513253,96,10663,446,8743,5766,
74,513253,96,10625,186,8726,120,
75,513253,97,170,176,98,120,
76,513253,97,176,170,120,98,
77,513253,97,10635,9333,8731,5762,
78,513253,97,9333,10635,5762,8731,
79,513253,99,181,171,98,100,
80,513253,99,171,181,100,98,
81,513253,100,171,172,99,101,
82,513253,100,172,171,101,99,
83,513253,101,172,145,100,5720,
84,513253,101,13825,172,10830,100,
85,513253,102,11400,102,9163,142,
86,513253,103,2481,7266,4337,2681,
87,513253,103,10690,14054,8756,10665,
88,513253,103,10428,7266,8606,2681,
89,513253,103,7266,2481,2681,4337,
90,513253,104,1340,1380,4334,5044,
91,513253,104,156,103,8230,105,
92,513253,104,1380,1340,5044,4334,
93,513253,104,10607,1380,8712,5044,
94,513253,106,153,137,5872,5119,
95,513253,107,138,108,5119,135,
96,513253,107,12981,7222,10134,2643,
97,513253,107,7222,2465,2643,4323,
98,513253,107,2465,7222,4323,2643,
99,513253,108,233,12678,6155,10002,
100,513253,108,12678,233,10002,6155,
101,513253,108,1696,5097,325,6154,
102,513253,108,5097,1696,6154,325,
103,513253,109,12675,230,10002,6149,
104,513253,109,230,12675,6149,10002,
105,513253,109,9506,10401,6150,8560,
106,513253,110,173,177,111,125,
107,513253,110,177,173,125,111,
108,513253,110,12582,9651,2197,6457,
109,513253,110,9651,12582,6457,2197,
110,513253,111,174,173,80,110,
111,513253,111,173,174,110,80,
112,513253,111,6791,9661,2203,6468,
113,513253,111,9661,6791,6468,2203,
114,513253,112,12557,241,6406,6434,
115,513253,112,241,12557,6434,6406,
116,513253,118,184,218,117,6077,
117,513253,118,218,184,6077,117,
118,513253,119,219,232,6077,6155,
119,513253,119,232,219,6155,6077,
120,513253,120,176,186,97,96,
121,513253,120,186,176,96,97,
122,513253,122,110,104,139,123,
123,513253,122,375,14057,4339,10817,
124,513253,122,376,14057,4340,10817,
125,513253,122,14057,375,10817,4339,
126,513253,123,104,127,122,5029,
127,513253,124,1336,1653,4332,4021,
128,513253,124,1653,1336,4021,4332,
129,513253,124,150,13588,5832,10403,
130,513253,124,10596,1653,8706,4021,
131,513253,125,177,178,110,126,
132,513253,125,178,177,126,110,
133,513253,126,178,180,125,143,
134,513253,126,12884,1709,10028,377,
135,513253,126,1709,12884,377,10028,
136,513253,126,180,178,143,125,
137,513253,127,179,246,128,8225,
138,513253,127,1657,3108,8247,8252,
139,513253,127,3108,1657,8252,8247,
140,513253,127,10645,3108,8740,8252,
141,513253,128,12621,179,9710,127,
142,513253,129,1710,1349,380,4458,
143,513253,129,12516,243,9818,8186,
144,513253,129,1349,1710,4458,380,
145,513253,129,10565,1349,8688,4458,
146,513253,130,106,105,132,131,
147,513253,131,105,11781,130,9463,
148,513253,133,107,13085,134,10202,
149,513253,133,10574,10551,8691,8668,
150,513253,133,8812,10551,4409,8668,
151,513253,133,10551,8812,8668,4409,
152,513253,134,139,107,5123,133,
153,513253,136,12161,211,6016,6019,
154,513253,136,211,12161,6019,6016,
155,513253,137,109,125,138,4685,
156,513253,137,1335,13929,4329,10379,
157,513253,137,13929,1335,10379,4329,
158,513253,137,10587,13929,8700,10379,
159,513253,139,164,110,8551,122,
160,513253,140,13963,27,10441,56,
161,513253,140,14227,27,10920,56,
162,513253,142,14336,123,10981,1086,
163,513253,142,102,123,102,1086,
164,513253,144,111,13620,3321,10440,
165,513253,144,11743,13620,9435,10440,
166,513253,147,271,425,146,4818,
167,513253,147,425,271,4818,146,
168,513253,148,272,11244,149,9122,
169,513253,148,11244,272,9122,149,
170,513253,149,273,272,150,148,
171,513253,149,272,273,148,150,
172,513253,153,636,637,4568,4569,
173,513253,153,637,636,4569,4568,
174,513253,154,268,251,8295,155,
175,513253,154,251,268,155,8295,
176,513253,155,251,13479,154,10545,
177,513253,155,13479,251,10545,154,
178,513253,156,557,280,7401,183,
179,513253,156,280,557,183,7401,
180,513253,158,274,346,159,3689,
181,513253,158,346,274,3689,159,
182,513253,160,1679,12306,205,9884,
183,513253,160,12306,1679,9884,205,
184,513253,161,434,462,5097,6269,
185,513253,161,462,434,6269,5097,
186,513253,162,275,12655,163,9995,
187,513253,162,12655,275,9995,163,
188,513253,163,275,12693,162,10005,
189,513253,163,12693,275,10005,162,
190,513253,164,472,471,6558,6556,
191,513253,164,471,472,6556,6558,
192,513253,165,313,476,272,6567,
193,513253,165,476,313,6567,272,
194,513253,166,13989,13269,10519,10537,
195,513253,166,13269,13989,10537,10519,
196,513253,169,372,441,4298,5203,
197,513253,169,441,372,5203,4298,
198,513253,177,290,422,216,4566,
199,513253,177,1729,1605,443,7802,
200,513253,177,1605,1729,7802,443,
201,513253,177,10426,1605,8604,7802,
202,513253,179,594,252,7710,178,
203,513253,179,252,594,178,7710,
204,513253,182,13473,279,10537,181,
205,513253,182,279,13473,181,10537,
206,513253,183,280,543,156,7298,
207,513253,183,543,280,7298,156,
208,513253,183,10450,10030,8612,7300,
209,513253,183,10030,10450,7300,8612,
210,513253,184,518,12365,7170,9715,
211,513253,184,12365,518,9715,7170,
212,513253,184,1234,1083,774,974,
213,513253,184,1083,1234,974,774,
214,513253,185,519,339,7170,240,
215,513253,185,339,519,240,7170,
216,513253,185,1882,1884,975,977,
217,513253,185,1884,1882,977,975,
218,513253,186,495,12447,6926,8624,
219,513253,186,12447,495,8624,6926,
220,513253,188,460,12311,6264,9884,
221,513253,188,12311,460,9884,6264,
222,513253,189,10413,10468,8597,8625,
223,513253,189,10468,10413,8625,8597,
224,513253,190,369,281,3868,191,
225,513253,190,281,369,191,3868,
226,513253,191,281,416,190,4439,
227,513253,191,416,281,4439,190,
228,513253,192,282,266,193,8294,
229,513253,192,266,282,8294,193,
230,513253,193,253,282,214,192,
231,513253,193,282,253,192,214,
232,513253,196,285,284,198,197,
233,513253,196,1504,1502,6901,6899,
234,513253,196,1502,1504,6899,6901,
235,513253,196,284,285,197,198,
236,513253,197,470,284,6556,196,
237,513253,197,284,470,196,6556,
238,513253,197,9863,9862,6902,6900,
239,513253,197,9862,9863,6900,6902,
240,513253,201,587,287,7668,202,
241,513253,201,287,587,202,7668,
242,513253,204,13412,565,10450,7454,
243,513253,204,565,13412,7454,10450,
244,513253,204,1358,832,4576,1632,
245,513253,205,1679,2105,160,3350,
246,513253,205,2105,1679,3350,160,
247,513253,206,2714,2719,6129,6168,
248,513253,206,2719,2714,6168,6129,
249,513253,207,2710,2716,6108,6138,
250,513253,207,2716,2710,6138,6108,
251,513253,207,9502,2718,6139,6165,
252,513253,207,2718,9502,6165,6139,
253,513253,209,289,414,210,4433,
254,513253,209,414,289,4433,210,
255,513253,216,3308,2505,4352,4432,
256,513253,216,2505,3308,4432,4352,
257,513253,216,571,290,7596,177,
258,513253,216,10436,2505,8611,4432,
259,513253,217,291,293,218,223,
260,513253,217,3307,2512,947,4511,
261,513253,217,2512,3307,4511,947,
262,513253,217,10457,2512,8626,4511,
263,513253,218,1879,2478,953,2748,
264,513253,218,362,291,2746,217,
265,513253,218,2478,1879,2748,953,
266,513253,218,11328,1879,9159,953,
267,513253,219,323,578,956,7648,
268,513253,219,2494,2891,4407,7649,
269,513253,219,2891,2494,7649,4407,
270,513253,219,10481,2891,8640,7649,
271,513253,220,1680,2890,225,7646,
272,513253,220,2890,1680,7646,225,
273,513253,221,292,400,222,227,
274,513253,221,400,292,227,222,
275,513253,221,10186,2895,7663,8125,
276,513253,221,2895,10186,8125,7663,
277,513253,222,833,292,3303,221,
278,513253,222,292,833,221,3303,
279,513253,222,13395,13800,10672,10975,
280,513253,222,13800,13395,10975,10672,
281,513253,224,2479,7300,952,2750,
282,513253,224,7300,2479,2750,952,
283,513253,224,359,570,3918,7596,
284,513253,224,10449,7300,8619,2750,
285,513253,226,294,2389,227,3965,
286,513253,226,2389,294,3965,227,
287,513253,226,958,367,7505,956,
288,513253,226,10492,2389,8645,3965,
289,513253,227,400,294,221,226,
290,513253,227,294,400,226,221,
291,513253,227,11802,962,9498,7655,
292,513253,227,10488,400,8645,221,
293,513253,228,398,569,229,7457,
294,513253,228,861,566,2758,7456,
295,513253,228,569,398,7457,229,
296,513253,228,10522,569,8669,7457,
297,513253,229,398,295,228,230,
298,513253,229,295,398,230,228,
299,513253,229,324,955,958,7476,
300,513253,229,10529,295,8669,230,
301,513253,230,295,327,229,3327,
302,513253,230,327,295,3327,229,
303,513253,231,553,12420,7372,9741,
304,513253,231,12420,553,9741,7372,
305,513253,233,541,542,7293,7298,
