,meshcode,elcode,linkno,snodeno,enodeno,oneway,netlevel,attrnmno,objectid,geometry
0,513253,071114,987,2179,2175,1,0,0,4-33-21-5-2194789,"LINESTRING (476841239 123916467, 476840421 123915500, 476839603 123914567, 476839112 123914433)"
1,513253,071114,988,2181,1424,1,0,0,4-33-21-5-2194800,"LINESTRING (476845575 123922366, 476845247 123921966, 476844675 123921266, 476844429 123920966)"
2,513253,071114,989,4205,2179,1,0,0,4-33-21-5-2194811,"LINESTRING (476842221 123917600, 476841239 123916467)"
3,513253,071114,990,2180,4205,1,0,0,4-33-21-5-2194822,"LINESTRING (476843325 123919000, 476843202 123918733, 476842221 123917600)"
4,513253,071114,991,2181,6486,0,0,0,4-33-21-5-2194833,"LINESTRING (476845575 123922366, 476845452 123922466, 476845084 123922866)"
5,513253,071114,992,6486,4425,0,0,0,4-33-21-5-2194844,"LINESTRING (476845084 123922866, 476844593 123923399)"
6,513253,071114,993,6487,2180,1,0,0,4-33-21-5-2194855,"LINESTRING (476844306 123920799, 476844102 123920532, 476843938 123920299, 476843693 123919899, 476843611 123919566, 476843325 123919000)"
7,513253,071114,994,1424,6487,1,0,0,4-33-21-5-2194866,"LINESTRING (476844429 123920966, 476844306 123920799)"
8,513253,072114,995,100,5779,0,1,0,4-33-21-5-2194877,"LINESTRING (476917154 124056887, 476917604 124056620)"
9,513253,072114,996,5779,1124,0,1,0,4-33-21-5-2194896,"LINESTRING (476917604 124056620, 476918750 124056055)"
