,meshcode,tnodeno,snodeno,enodeno,slanecnt,slaneinfo,elanecnt,elaneinfo,geometry
0,513253,52,4482,4692,2,0000000001100000,2,0000000001100000,
1,513253,52,4482,10178,2,0000000001100000,2,0000000000011000,
2,513253,54,4481,53,2,0000000001100000,2,0000000001100000,
3,513253,54,10695,53,1,0000000000010000,2,0000000001100000,
4,513253,59,4473,58,3,0000000001110000,1,0000000000001000,
5,513253,59,4473,60,3,0000000001110000,2,0000000001100000,
6,513253,60,59,4470,2,0000000001100000,2,0000000001100000,
7,513253,60,71,4470,1,0000000000010000,2,0000000001100000,
8,513253,61,67,4471,2,0000000000011000,3,0000000001110000,
9,513253,61,4475,4471,2,0000000001100000,3,0000000001110000,
10,513253,62,10675,68,3,0000000011100000,1,0000000000010000,
11,513253,62,10675,4478,3,0000000011100000,3,0000000011100000,
12,513253,63,64,4474,2,0000000001100000,3,0000000001110000,
13,513253,63,8549,4474,1,0000000000010000,3,0000000001110000,
14,513253,64,4469,63,2,0000000001100000,2,0000000001100000,
15,513253,64,4469,8550,2,0000000001100000,1,0000000000010000,
16,513253,65,4472,68,3,0000000011100000,1,0000000000010000,
17,513253,65,4472,4476,3,0000000011100000,3,0000000011100000,
18,513253,66,67,10435,2,0000000000011000,3,0000000001110000,
19,513253,66,4477,10435,2,0000000001100000,3,0000000001110000,
20,513253,67,4491,61,2,0000000001100000,2,0000000001100000,
21,513253,67,4491,66,2,0000000001100000,1,0000000000010000,
22,513253,68,62,4490,1,0000000000100000,2,0000000000110000,
23,513253,68,65,4490,1,0000000000010000,2,0000000000110000,
24,513253,69,4399,4488,1,0000000000010000,2,0000000001100000,
25,513253,69,4518,4488,2,0000000001100000,2,0000000001100000,
26,513253,70,4489,4479,2,0000000001100000,2,0000000001100000,
27,513253,70,4489,4694,2,0000000001100000,1,0000000000010000,
28,513253,73,74,3633,2,0000000001100000,2,0000000001100000,
29,513253,73,9599,3633,1,0000000000010000,2,0000000001100000,
30,513253,74,4509,73,2,0000000001100000,2,0000000001100000,
31,513253,74,4509,9593,2,0000000001100000,1,0000000000010000,
32,513253,75,76,4508,2,0000000001100000,2,0000000001100000,
33,513253,75,9613,4508,1,0000000000010000,2,0000000001100000,
34,513253,76,3632,75,2,0000000001100000,2,0000000001100000,
35,513253,76,3632,9607,2,0000000001100000,1,0000000000010000,
36,513253,8544,4506,8547,2,0000000001100000,2,0000000001100000,
37,513253,8544,4506,10164,2,0000000001100000,1,0000000000010000,
38,513253,8545,8546,4507,3,0000000011100000,3,0000000011100000,
39,513253,8545,8568,4507,1,0000000000010000,3,0000000011100000,
40,513253,8546,4504,8545,3,0000000011100000,3,0000000011100000,
41,513253,8546,4504,8569,3,0000000011100000,1,0000000000010000,
42,513253,8547,8544,4505,2,0000000001100000,2,0000000001100000,
43,513253,8547,8593,4505,1,0000000000010000,2,0000000001100000,
44,513253,10674,11226,10675,1,0000000000010000,3,0000000001110000,
45,513253,10674,11233,10675,2,0000000001100000,3,0000000001110000,
46,513253,10822,10435,11156,3,0000000011100000,3,0000000011100000,
47,513253,10822,10435,11215,3,0000000011100000,1,0000000000010000,
48,513253,11156,10822,77,2,0000000001100000,2,0000000001100000,
49,513253,11156,11044,77,1,0000000000010000,2,0000000001100000,
50,513253,11233,55,10674,2,0000000001100000,2,0000000001100000,
51,513253,11233,55,11230,2,0000000001100000,1,0000000000010000,
