,meshcode,fromlinkno,tolinkno,snodeno,tnodeno,enodeno,day,shour,ehour,sdate,edate,cartype,carwait,carthaba,carthigh,geometry
0,513253,15,16,8571,8572,8570,100000000,0000,2400,0101,1231,0,0,0,0,
1,513253,98,99,8564,8548,8565,100000000,0000,2400,0101,1231,0,0,0,0,
2,513253,107,8812,134,133,4409,100000000,0000,2400,0101,1231,0,0,0,0,
3,513253,109,1335,138,137,4329,100000000,0000,2400,0101,1231,0,0,0,0,
4,513253,110,376,139,122,4340,100000000,0000,2400,0101,1231,0,0,0,0,
5,513253,112,13888,4101,132,10594,100000000,0000,2400,0101,1231,0,0,0,0,
6,513253,113,2465,4325,4323,107,100000000,0000,2400,0101,1231,0,0,0,0,
7,513253,114,1336,4331,4332,124,100000000,0000,2400,0101,1231,0,0,0,0,
8,513253,115,1340,4333,4334,104,100000000,0000,2400,0101,1231,0,0,0,0,
9,513253,117,376,4339,4340,122,100000000,0000,2400,0101,1231,0,0,0,0,
10,513253,119,3312,4401,4402,4403,100000000,0000,2400,0101,1231,0,0,0,0,
11,513253,119,3313,4401,4402,4414,100000000,0000,2400,0101,1231,0,0,0,0,
12,513253,123,691,142,1086,4404,100000000,0000,2400,0101,1231,0,0,0,0,
13,513253,126,2570,4335,5028,4521,100000000,0000,2400,0101,1231,0,0,0,0,
14,513253,129,3083,5030,4338,5035,100000000,0000,2400,0101,1231,0,0,0,0,
15,513253,131,1335,5048,4329,137,100000000,0000,2400,0101,1231,0,0,0,0,
16,513253,132,2578,5050,5048,5049,100000000,0000,2400,0101,1231,0,0,0,0,
17,513253,138,2465,5119,107,4323,100000000,0000,2400,0101,1231,0,0,0,0,
18,513253,139,6811,5123,134,2218,100000000,0000,2400,0101,1231,0,0,0,0,
19,513253,147,10319,5828,4333,1453,100000000,0000,2400,0101,1231,0,0,0,0,
20,513253,148,11958,105,5829,8795,100000000,0000,2400,0101,1231,0,0,0,0,
21,513253,150,1336,5832,124,4332,100000000,0000,2400,0101,1231,0,0,0,0,
22,513253,155,1652,5033,8230,4379,100000000,0000,2400,0101,1231,0,0,0,0,
23,513253,156,1340,8230,104,4334,100000000,0000,2400,0101,1231,0,0,0,0,
24,513253,159,3312,8238,4403,4402,100000000,0000,2400,0101,1231,0,0,0,0,
25,513253,162,865,8242,4328,4028,100000000,0000,2400,0101,1231,0,0,0,0,
26,513253,164,10708,8551,139,8764,100000000,0000,2400,0101,1231,0,0,0,0,
27,513253,168,10994,88,87,8926,011111100,1730,1900,0101,1231,0,0,0,0,
28,513253,169,10621,96,95,8726,100000000,0000,2400,0101,1231,0,0,0,0,
29,513253,169,10625,95,96,8726,100000000,0000,2400,0101,1231,0,0,0,0,
30,513253,170,10635,98,97,8731,011111100,0700,0900,0101,1231,0,0,0,0,
31,513253,173,6791,110,111,2203,100000000,0000,2400,0101,1231,0,0,0,0,
32,513253,174,8671,111,80,2206,100000000,0000,2400,0101,1231,0,0,0,0,
33,513253,174,9661,80,111,6468,100000000,0000,2400,0101,1231,0,0,0,0,
34,513253,175,14197,115,114,10779,011111100,1730,1900,0101,1231,0,0,0,0,
