,meshcode,linkno,snodeno,enodeno,railtype,ktentype,ktenzax,ktenzay,geometry
0,513253,372,4298,169,4,2,476971971,124009060,
1,513253,379,3866,3352,4,2,476895146,124061019,
2,513253,421,3860,4341,4,2,476895474,124061453,
3,513253,628,8556,4439,4,1,476886435,124027390,
4,513253,665,389,388,4,3,476983217,124075954,
5,513253,1088,1049,404,4,1,476958672,124119115,
6,513253,1477,6347,6344,4,1,476861689,123978228,
7,513253,2347,427,1093,4,1,476900055,124067186,
8,513253,2719,206,6168,4,1,476889666,124046221,
9,513253,2764,4171,6490,4,1,476833671,123929931,
10,513253,3376,4837,4836,4,1,476975650,124046490,
11,513253,3838,3489,3482,4,1,476986651,124135247,
12,513253,4484,4823,4826,4,1,476975978,124049989,
13,513253,4646,4298,5201,4,1,476972624,124016160,
14,513253,4863,5606,5615,4,1,476933720,124102616,
15,513253,4865,5617,5616,4,1,476931797,124100883,
16,513253,4893,5689,5690,4,1,476917849,124088251,
17,513253,5157,6301,6302,4,1,476872038,123991760,
18,513253,5374,6413,6768,4,1,476847659,123954763,
19,513253,7505,2273,2274,4,1,476867579,123985794,
20,513253,7629,3234,620,4,1,476982029,124132648,
21,513253,7950,10985,10928,4,1,476939242,124106715,
22,513253,8544,1499,4018,4,1,476874532,123996160,
23,513253,8800,405,1116,4,1,476952495,124115915,
24,513253,8991,4838,4824,4,1,476975078,124040690,
25,513253,9151,4840,5200,4,1,476974056,124030558,
26,513253,9313,5710,3245,4,1,476906436,124074818,
27,513253,9490,1475,6119,4,1,476892816,124056987,
28,513253,9598,6316,1501,4,1,476868765,123987494,
29,513253,9737,6646,554,4,1,476880258,124007559,
30,513253,10388,8518,191,4,1,476887048,124030223,
31,513253,10544,8227,8670,4,1,476852323,123964729,
32,513253,10572,8715,5685,4,1,476923493,124093183,
33,513253,10593,5645,8736,4,1,476927502,124096816,
34,513253,11231,3734,5704,4,1,476911876,124081418,
35,513253,11520,9205,9211,4,3,476976842,123929068,
36,513253,12031,1113,4261,4,1,476969149,123988928,
37,513253,12100,5239,5255,4,1,476969845,123961298,
38,513253,12110,8890,5254,4,2,476969927,123957798,
39,513253,12310,9717,4189,4,1,476842669,123943864,
40,513253,12383,6371,8687,4,1,476849541,123958829,
41,513253,12634,9987,6157,4,1,476885004,124019824,
42,513253,12711,3867,10021,4,1,476888888,124041621,
43,513253,12817,8190,8192,4,2,476852445,123964996,
44,513253,12900,326,10034,4,1,476883899,124014691,
45,513253,13065,10185,4546,4,3,476976796,124052956,
46,513253,13681,1115,10535,4,1,476966198,124123481,
47,513253,13863,10739,621,4,1,476970044,124125648,
48,513253,13922,10795,634,4,1,476877805,124002726,
49,513253,14228,10979,8231,4,2,476907418,124075985,
