,meshcode,nodeno,symcode,realx,realy,geometry
0,513253,79,719999,476850279,123915167,
1,513253,79,710551,476849788,123913067,
2,513253,79,711905,476849011,123914833,
3,513253,79,710428,476850197,123916700,
4,513253,81,719999,476864349,123951664,
5,513253,81,710321,476863285,123948930,
6,513253,81,710201,476861404,123949264,
7,513253,81,710421,476865658,123951697,
8,513253,81,710295,476864349,123950430,
9,513253,81,711900,476863081,123951930,
10,513253,81,711900,476864472,123954130,
11,513253,82,719999,476868153,123955764,
12,513253,82,710295,476867049,123955864,
13,513253,82,711900,476864431,123954097,
14,513253,83,719999,476873675,123962529,
15,513253,84,719999,476875434,123965996,
16,513253,84,712231,476874861,123964863,
17,513253,84,710201,476874043,123965663,
18,513253,84,710295,476874534,123962896,
19,513253,85,719999,476877601,123970129,
20,513253,85,710295,476878460,123970729,
21,513253,86,719999,476880260,123975428,
22,513253,86,711400,476879770,123976128,
23,513253,86,711900,476878542,123973628,
24,513253,87,719999,476888072,123993394,
25,513253,87,711905,476888686,123993027,
26,513253,87,711720,476886640,123994627,
27,513253,87,710250,476888890,123994961,
28,513253,88,719999,476887868,123991861,
29,513253,88,711905,476888645,123993094,
30,513253,88,710421,476888890,123990994,
31,513253,89,719999,476889095,124001860,
32,513253,89,711000,476887336,123998626,
33,513253,89,711900,476888072,124003560,
34,513253,91,719999,476892448,124026957,
35,513253,91,711600,476893144,124026190,
36,513253,91,711400,476893144,124025290,
37,513253,91,710300,476893594,124027123,
38,513253,93,719999,476898052,124039522,
39,513253,93,711400,476896947,124039722,
40,513253,93,711900,476897725,124038389,
41,513253,94,719999,476905005,124047821,
42,513253,95,719999,476907951,124050355,
43,513253,95,710500,476908237,124049355,
44,513253,95,711900,476907869,124051521,
45,513253,96,719999,476908401,124050721,
46,513253,96,710500,476908278,124049355,
47,513253,96,711900,476907869,124051521,
48,513253,97,719999,476911591,124052721,
49,513253,97,710201,476912941,124054588,
50,513253,99,710201,476912900,124054588,
51,513253,100,719999,476917154,124056887,
52,513253,100,710235,476918545,124057287,
53,513253,103,719999,476918874,124030790,
54,513253,103,711722,476920673,124030157,
55,513253,103,711400,476919773,124030990,
56,513253,104,719999,476916705,124022958,
57,513253,107,719999,476906235,123982095,
58,513253,108,710210,476892817,124016658,
59,513253,108,719999,476891467,124018458,
60,513253,108,711204,476891057,124019591,
61,513253,108,711900,476890648,124017624,
62,513253,109,719999,476891917,124022191,
63,513253,110,719999,476854125,123920433,
64,513253,110,711900,476854697,123919600,
65,513253,112,719999,476856577,123943265,
66,513253,118,719999,476890076,124009092,
67,513253,119,719999,476890689,124012959,
68,513253,120,719999,476910077,124051755,
69,513253,122,719999,476921204,124037690,
70,513253,122,710321,476921409,124041589,
71,513253,122,710116,476920386,124040422,
72,513253,124,719999,476914333,124014825,
73,513253,124,710250,476912778,124016559,
74,513253,125,719999,476855187,123922432,
75,513253,126,719999,476855555,123927132,
76,513253,127,719999,476874863,123915433,
77,513253,129,719999,476879812,123926700,
78,513253,129,710421,476880303,123925900,
79,513253,130,719999,476892778,123963430,
80,513253,133,719999,476898791,123970596,
81,513253,133,711000,476897972,123972429,
82,513253,133,710295,476896705,123971029,
83,513253,136,719999,476885455,123985494,
84,513253,137,719999,476910243,123999194,
85,513253,137,711900,476908484,123999227,
86,513253,139,710321,476921327,124041422,
87,513253,139,710116,476920264,124040256,
88,513253,147,719999,476987431,124056656,
89,513253,148,719999,476984731,124042923,
90,513253,149,719999,476982728,124039158,
91,513253,154,719999,476631673,124167302,
92,513253,154,710600,476632409,124167302,
93,513253,155,710600,476632655,124166302,
94,513253,156,719999,476727230,124084147,
95,513253,158,719999,476855304,124085150,
96,513253,160,719999,476879562,124053954,
97,513253,160,710428,476879644,124056120,
98,513253,162,719999,476887130,124023490,
99,513253,162,712210,476885698,124022458,
100,513253,162,710438,476886435,124025857,
101,513253,163,719999,476887744,124023690,
102,513253,164,719999,476817589,124101947,
103,513253,164,712000,476816607,124102813,
104,513253,165,710295,476827979,124101448,
105,513253,165,711900,476830964,124102581,
106,513253,177,710201,476635808,123962325,
107,513253,179,711900,476635477,124154270,
108,513253,179,710255,476634332,124153237,
109,513253,182,719999,476637155,124140039,
110,513253,183,710300,476719621,124083480,
111,513253,184,719999,476760035,124097913,
112,513253,185,719999,476765721,124102146,
113,513253,185,711400,476766662,124102146,
114,513253,185,712000,476767357,124103146,
115,513253,185,710116,476765271,124101246,
116,513253,186,719999,476793454,124106446,
117,513253,186,711400,476796236,124106380,
118,513253,186,711900,476792104,124107179,
119,513253,188,719999,476877639,124059253,
120,513253,188,711722,476878580,124058719,
121,513253,189,719999,476880339,124048687,
122,513253,189,711600,476879848,124048620,
123,513253,190,710421,476885453,124031623,
124,513253,193,719999,476629831,124193834,
125,513253,193,711720,476629546,124190867,
126,513253,193,711600,476630608,124193534,
127,513253,196,719999,476812025,124102013,
128,513253,196,710421,476810143,124102747,
129,513253,197,719999,476814357,124102047,
130,513253,204,719999,476682030,124071847,
131,513253,204,711900,476681785,124071647,
132,513253,204,710295,476681007,124072513,
133,513253,204,710255,476682398,124072513,
134,513253,205,710295,476881157,124052087,
135,513253,206,719999,476887047,124048255,
136,513253,207,719999,476894493,124042456,
137,513253,207,711900,476892856,124041989,
138,513253,216,719999,476639775,123966059,
139,513253,216,712231,476639611,123966759,
140,513253,216,712231,476640102,123966525,
141,513253,216,710201,476636994,123965425,
142,513253,217,719999,476652292,123993289,
143,513253,218,719999,476654051,123999288,
144,513253,219,719999,476657241,124036684,
