,meshcode,recordid,areano,elcode,citycode,ooazacd,koazacd,gaikuno,level,attrnmno,objectid,robjectid,geometry
0,513253,5,1,65D000,,,,,0,0,0-0-0-0-0,,"POLYGON ((476571462 124030882, 476569457 124019850, 476569048 124017117, 476568884 124016317, 476568762 124016117, 476568557 124015084, 476568189 124012584, 476568230 124010418, 476568394 124009185, 476569130 124005785, 476569580 124004252, 476569253 124003785, 476563158 124002818, 476560785 124002818, 476560008 124002885, 476558413 124003152, 476557267 124003452, 476556531 124003718, 476549618 124006917, 476543196 124009751, 476542991 124010117, 476546018 124021283, 476546755 124023182, 476548105 124026215, 476552563 124035881, 476552645 124035948, 476552931 124036081, 476553217 124036081, 476560744 124034081, 476569171 124031982, 476570603 124031682, 476571134 124031515, 476571339 124031349, 476571462 124031149, 476571462 124030882))"
1,513253,5,2,65D000,,,,,0,0,0-0-0-0-0,,"POLYGON ((476990908 124077187, 476986858 124079120, 476986408 124079487, 476986571 124079620, 476986203 124079920, 476986285 124079987, 476985835 124080387, 476990744 124084286, 476990826 124084519, 476990908 124084586, 476990908 124077187))"
2,513253,5,3,65D000,,,,,0,0,0-0-0-0-0,,"POLYGON ((476628810 124071712, 476629301 124072079, 476629628 124072146, 476630528 124071546, 476633065 124070213, 476633106 124070247, 476634169 124069747, 476635601 124069313, 476637441 124069113, 476638341 124069113, 476643250 124069547, 476644723 124069580, 476645582 124069513, 476646441 124069347, 476647546 124069047, 476649387 124068080, 476650123 124067580, 476650941 124066813, 476652823 124066013, 476653027 124066013, 476653559 124065747, 476654950 124064747, 476655687 124064380, 476656381 124063948, 476657690 124062914, 476659817 124061681, 476660758 124061248, 476662026 124060548, 476663540 124059848, 476664726 124059814, 476665586 124059714, 476665422 124059448, 476664522 124058548, 476664317 124058414, 476663090 124057248, 476663008 124057248, 476662558 124056848, 476662149 124056449, 476662149 124056382, 476660431 124054849, 476660267 124054715, 476660063 124054649, 476659776 124054649, 476659367 124054782, 476657814 124055615, 476656464 124056448, 476656423 124056414, 476656014 124056648, 476652700 124058714, 476652496 124058781, 476651718 124058914, 476648732 124058848, 476648077 124058981, 476647177 124059081, 476646318 124059081, 476644723 124059214, 476644191 124059414, 476642882 124060181, 476641859 124060548, 476639323 124061314, 476636950 124062281, 476636174 124062880, 476635315 124063947, 476634824 124064380, 476632778 124065280, 476630201 124067080, 476628974 124067613, 476627951 124067913, 476626478 124068447, 476625619 124068912, 476624188 124069912, 476622266 124071112, 476622389 124071346, 476623165 124071446, 476625088 124071012, 476625578 124070979, 476626438 124071112, 476627419 124071412, 476628810 124071712))"
3,513253,5,4,65D000,,,,,0,0,0-0-0-0-0,,"POLYGON ((476576821 123991487, 476577434 123990487, 476577598 123989954, 476577925 123989287, 476578130 123988454, 476578294 123987055, 476578294 123984055, 476578130 123983021, 476577680 123981421, 476575757 123975422, 476575553 123974989, 476575226 123973256, 476575063 123971822, 476566185 123971856, 476565163 123974289, 476565163 123974589, 476565326 123975022, 476566922 123976522, 476567413 123977388, 476567617 123978188, 476567781 123978555, 476568272 123979221, 476569090 123979788, 476572199 123981388, 476572854 123981888, 476573344 123982588, 476573466 123983221, 476573344 123983755, 476572975 123984555, 476572894 123985055, 476572689 123991054, 476572484 123991720, 476572607 123991887, 476572771 123991954, 476573548 123992187, 476575225 123992887, 476575512 123992920, 476575675 123992887, 476576044 123992554, 476576821 123991487))"
4,513253,5,5,65D000,,,,,0,0,0-0-0-0-0,,"POLYGON ((476569416 124012751, 476569334 124012951, 476569334 124013184, 476569498 124013851, 476569621 124014784, 476570194 124015651, 476572525 124015417, 476573384 124015551, 476574203 124015817, 476574734 124016117, 476575430 124016751, 476575757 124017251, 476575716 124017384, 476575389 124017451, 476575144 124017417, 476574980 124017084, 476574571 124016684, 476574325 124016551, 476574039 124016484, 476572566 124016617, 476570930 124016851, 476571503 124020183, 476572321 124023716, 476573506 124028383, 476573997 124029782, 476575838 124029482, 476577147 124028916, 476578047 124028650, 476578906 124028316, 476580215 124027950, 476579602 124024450, 476579724 124024316, 476582506 124023983, 476583161 124023983, 476583733 124023916, 476584265 124023750, 476584388 124023783, 476585124 124023716, 476585574 124023583, 476585983 124023384, 476586188 124023417, 476586352 124023950, 476586923 124026950, 476594369 124025983, 476594001 124024017, 476592937 124023717, 476592528 124023517, 476591996 124023117, 476591669 124022784, 476591423 124022384, 476590523 124020384, 476587373 124020784, 476587455 124021051, 476587332 124021184, 476586965 124021251, 476586802 124021151, 476583856 124015051, 476583447 124013918, 476575471 124014884, 476575062 124014984, 476574530 124015351, 476574325 124015417, 476573221 124015084, 476572525 124015017, 476572116 124015051, 476571994 124014951, 476571666 124012584, 476569416 124012751))"
5,513253,5,6,65D000,,,,,0,0,0-0-0-0-0,,"POLYGON ((476589338 124003253, 476590770 124001553, 476593387 124002086, 476594901 124002286, 476596292 124002253, 476597928 124002019, 476597846 124001187, 476598092 124000520, 476597969 124000054, 476598051 123999887, 476602469 123997520, 476604678 123997187, 476607868 123997420, 476609463 123996887, 476609709 123996920, 476609954 123996320, 476607745 123996020, 476605537 123994555, 476605292 123994288, 476604719 123993388, 476597764 123994454, 476596660 123994587, 476596046 123994587, 476594942 123994454, 476594492 123994320, 476593265 123993754, 476591752 123992954, 476588970 123992420, 476588765 123992720, 476586065 124002786, 476588438 124003053, 476589338 124003253))"
6,513253,5,7,65D000,,,,,0,0,0-0-0-0-0,,"POLYGON ((476587374 123996187, 476588029 123993754, 476588193 123992854, 476587661 123992754, 476587497 123992787, 476581771 123991720, 476580053 123994387, 476581566 123995220, 476583120 123995687, 476587170 123996454, 476587374 123996187))"
