X,Y
5817.639511004375,-2185.3051465923027
5826.378902517547,-2182.135401972398
5831.31436056014,-2180.338777928962
5835.803391716357,-2178.66499604068
5840.24992604173,-2176.9134904405732
5844.672480907327,-2175.1190174371027
5849.092093660051,-2173.3173657785683
5853.507647573386,-2171.5125300368177
5857.8865343806565,-2169.6825077536914
5862.228493234354,-2167.7501707696047
5866.55289674377,-2165.732163306988
5870.870434919814,-2163.698007579708
5875.186631679151,-2161.6622558411477
5879.481392103573,-2159.613322268489
5883.735777039044,-2157.492674774353
5887.963068062603,-2155.2807237984334
5892.179949466862,-2153.0453636860593
5896.395848546763,-2150.808309591154
5900.598325394978,-2148.567733256843
5904.764781216038,-2146.28976610162
5908.908027902388,-2143.9296155251873
5913.039799538673,-2141.5406030229747
5917.169985163454,-2139.1488479509217
5921.29819426617,-2136.753685574175
5925.406959329321,-2134.3291623038376
5929.464533006338,-2131.8320618981134
5933.501295122805,-2129.2913346474647
5937.536417182264,-2126.742491920147
5941.571372169374,-2124.1933619027222
5945.60592757978,-2121.641451221513
5949.644812612728,-2119.0762182475164
5953.676734695103,-2116.5065727606875
5957.700706305876,-2113.93967772428
5961.724108755051,-2111.37235262934
5965.739534479465,-2108.791881490282
5969.725265202867,-2106.146690820713
5973.668740626116,-2103.432038565594
5977.587317094733,-2100.705253934718
5981.503577498611,-2097.977380006813
5985.411412254047,-2095.24598990324
5989.288129310812,-2092.480333122939
5993.127987080146,-2089.648798264678
5996.953836818538,-2086.7948917031517
