,meshcode,linkno,orflg,seccnt,secno,exflg,maxspeed,ssecichi,esecichi,geometry
119,513243,118,2,1,1,0,50,0,10000,
120,513243,120,2,1,1,1,40,0,10000,
121,513243,121,2,1,1,1,40,0,10000,
122,513243,125,1,1,1,0,40,0,10000,
123,513243,125,2,1,1,0,40,0,10000,
124,513243,126,1,1,1,1,40,0,10000,
125,513243,126,2,1,1,1,40,0,10000,
126,513243,127,1,1,1,0,40,0,10000,
127,513243,127,2,1,1,0,40,0,10000,
128,513243,128,1,1,1,1,40,0,10000,
129,513243,128,2,1,1,1,40,0,10000,
130,513243,129,1,1,1,1,40,0,10000,
131,513243,129,2,1,1,1,40,0,10000,
132,513243,130,1,1,1,0,40,0,10000,
133,513243,130,2,1,1,0,40,0,10000,
134,513243,131,1,1,1,1,40,0,10000,
135,513243,131,2,1,1,1,40,0,10000,
136,513243,132,1,1,1,1,40,0,10000,
137,513243,132,2,1,1,1,40,0,10000,
138,513243,133,1,1,1,0,40,0,10000,
139,513243,133,2,1,1,0,40,0,10000,
140,513243,134,1,1,1,1,40,0,10000,
141,513243,134,2,1,1,1,40,0,10000,
142,513243,135,1,1,1,1,40,0,10000,
143,513243,135,2,1,1,1,40,0,10000,
144,513243,136,1,1,1,0,40,0,10000,
145,513243,136,2,1,1,1,40,0,10000,
146,513243,137,1,1,1,1,40,0,10000,
147,513243,137,2,1,1,1,40,0,10000,
148,513243,138,1,1,1,1,40,0,10000,
149,513243,139,1,1,1,0,40,0,10000,
150,513243,140,1,1,1,1,40,0,10000,
151,513243,141,1,1,1,1,40,0,10000,
152,513243,142,1,1,1,1,40,0,10000,
153,513243,143,2,1,1,0,40,0,10000,
154,513243,144,1,1,1,0,40,0,10000,
155,513243,144,2,1,1,0,40,0,10000,
156,513243,145,2,1,1,1,40,0,10000,
157,513243,146,2,1,1,1,40,0,10000,
158,513243,147,2,1,1,1,40,0,10000,
159,513243,148,1,1,1,0,50,0,10000,
160,513243,149,1,1,1,1,50,0,10000,
161,513243,150,1,1,1,1,40,0,10000,
162,513243,150,2,1,1,1,40,0,10000,
163,513243,151,1,1,1,0,40,0,10000,
164,513243,151,2,1,1,0,40,0,10000,
165,513243,167,1,1,1,1,40,0,10000,
166,513243,167,2,1,1,1,40,0,10000,
167,513243,168,1,1,1,1,40,0,10000,
168,513243,168,2,1,1,1,40,0,10000,
169,513243,169,1,1,1,1,60,0,10000,
170,513243,170,1,1,1,0,60,0,10000,
171,513243,171,1,1,1,0,50,0,10000,
172,513243,172,1,1,1,1,50,0,10000,
173,513243,178,1,1,1,0,50,0,10000,
174,513243,179,1,1,1,0,50,0,10000,
