,meshcode,tnodeno,inlinkno,signcnt,signno,signaltype,signalx,signaly,slinetype,slinex,sliney,geometry
0,513243,64,31,3,1,3,476881156,123771290,0,476881394,123771807,
1,513243,64,31,3,2,3,476883074,123771101,0,476881394,123771807,
2,513243,64,31,3,3,3,476883187,123770635,0,476881394,123771807,
3,513243,64,384,2,1,3,476882144,123770243,0,476882874,123771875,
4,513243,64,384,2,2,3,476881381,123770596,0,476882874,123771875,
5,513243,67,1870,1,1,3,476825860,123785006,0,476826631,123786513,
6,513243,67,18691,2,1,3,476826961,123786102,0,476825504,123786347,
7,513243,67,18691,2,2,3,476826935,123785762,0,476825504,123786347,
8,513243,72,188,2,1,3,476834591,123783913,0,476835388,123785643,
9,513243,72,188,2,2,3,476833722,123784139,0,476835388,123785643,
10,513243,72,194,2,1,3,476835746,123785016,0,476833572,123785582,
11,513243,72,194,2,2,3,476835625,123784648,0,476833572,123785582,
12,513243,76,190,2,1,3,476963455,123764402,0,476961648,123764912,
13,513243,76,190,2,2,3,476963502,123764093,0,476961648,123764912,
14,513243,76,19290,1,1,3,476962954,123763602,0,476962320,123765100,
15,513243,78,191,2,1,3,476943359,123764886,0,476943504,123765223,
16,513243,78,191,2,2,3,476944546,123765522,0,476943504,123765223,
17,513243,78,3407,1,1,3,476944331,123764694,0,476943983,123765613,
18,513243,80,192,2,1,3,476933310,123762038,0,476932531,123761829,
19,513243,80,192,2,2,3,476933595,123761907,0,476932531,123761829,
20,513243,80,5958,1,1,3,476933383,123761252,0,476932967,123762526,
21,513243,82,15056,1,1,3,476924356,123758734,0,476924005,123759900,
22,513243,82,19518,2,1,3,476923711,123759176,0,476923608,123759431,
23,513243,82,19518,2,2,3,476924265,123759523,0,476923608,123759431,
24,513243,83,193,3,1,3,476904638,123764262,0,476904908,123764271,
25,513243,83,193,3,2,3,476906293,123763063,0,476904908,123764271,
26,513243,83,193,3,3,3,476907372,123763412,0,476904908,123764271,
27,513243,90,9641,2,1,3,476815397,123785718,0,476815521,123787431,
28,513243,90,9641,2,2,3,476814844,123785736,0,476815521,123787431,
29,513243,90,18689,3,1,3,476815924,123787017,0,476814251,123787094,
30,513243,90,18689,3,2,3,476815930,123786692,0,476814251,123787094,
31,513243,90,18689,3,3,3,476813666,123786880,0,476814251,123787094,
32,513243,91,17770,1,1,3,476806131,123786523,0,476806365,123787985,
33,513243,91,20692,2,1,3,476806681,123787486,0,476805574,123787719,
34,513243,91,20692,2,2,3,476806565,123786907,0,476805574,123787719,
35,513243,92,195,2,1,3,476796248,123790697,0,476794411,123791268,
