,meshcode,tnodeno,snodeno,enodeno,tlanesu,lanesu,hodo,sokusen,high,laneno,klanecd,flanecd,ysnodeno,yenodeno,geometry
0,513243,64,64,190,3,3,1,1,2,0,0,0,0,0,
1,513243,64,64,360,1,1,1,1,2,0,0,0,0,0,
2,513243,64,65,64,5,3,1,1,2,1,1,2,64,360,
3,513243,64,65,64,5,3,1,1,2,1,1,2,64,190,
4,513243,64,65,64,5,3,1,1,2,2,1,2,64,190,
5,513243,64,65,64,5,3,1,1,2,3,1,2,64,190,
6,513243,64,65,64,5,3,1,1,2,4,1,1,14032,255,
7,513243,64,65,64,5,3,1,1,2,5,1,1,14032,255,
8,513243,64,255,14032,2,2,1,1,2,1,1,2,0,0,
9,513243,64,255,14032,2,2,1,1,2,2,1,2,64,190,
10,513243,64,360,64,1,1,1,2,2,1,1,2,0,0,
11,513243,64,13954,14032,5,4,1,1,2,1,1,2,14032,255,
12,513243,64,13954,14032,5,4,1,1,2,1,1,2,14032,13435,
13,513243,64,13954,14032,5,4,1,1,2,2,1,2,14032,13435,
14,513243,64,13954,14032,5,4,1,1,2,3,1,2,14032,13435,
15,513243,64,13954,14032,5,4,1,1,2,4,1,2,64,360,
16,513243,64,13954,14032,5,4,1,1,2,5,1,1,64,360,
17,513243,64,14032,255,2,2,1,1,2,0,0,0,0,0,
18,513243,64,14032,13435,3,3,1,1,2,0,0,0,0,0,
19,513243,65,65,64,4,4,1,1,2,0,0,0,0,0,
20,513243,65,65,360,1,1,2,2,2,0,0,0,0,0,
21,513243,65,85,65,3,3,1,1,2,1,1,2,0,0,
22,513243,65,85,65,3,3,1,1,2,2,1,2,0,0,
23,513243,65,85,65,3,3,1,1,2,3,1,2,0,0,
24,513243,65,360,65,1,1,1,2,2,1,3,2,0,0,
25,513243,66,66,12072,3,3,1,1,2,0,0,0,0,0,
26,513243,66,66,12879,1,1,1,2,2,0,0,0,0,0,
27,513243,66,12879,66,1,1,1,2,2,1,1,2,0,0,
28,513243,66,13435,66,3,3,1,1,2,1,1,2,0,0,
29,513243,66,13435,66,3,3,1,1,2,2,1,2,0,0,
30,513243,66,13435,66,3,3,1,1,2,3,1,2,0,0,
31,513243,67,67,89,4,4,1,2,2,0,0,0,0,0,
32,513243,67,3913,13462,1,1,1,2,2,1,1,2,0,0,
33,513243,67,5700,67,1,1,1,2,2,1,1,2,0,0,
34,513243,67,13460,67,4,3,1,2,2,1,1,1,67,89,
35,513243,67,13460,67,4,3,1,2,2,2,1,2,67,89,
36,513243,67,13460,67,4,3,1,2,2,3,1,2,67,89,
37,513243,67,13460,67,4,3,1,2,2,4,1,2,67,89,
38,513243,67,13462,177,3,3,1,2,2,0,0,0,0,0,
39,513243,67,13462,3913,1,1,2,1,2,0,0,0,0,0,
40,513243,67,13644,13462,3,3,1,2,2,1,1,2,13462,177,
41,513243,67,13644,13462,3,3,1,2,2,1,1,2,13462,3913,
42,513243,67,13644,13462,3,3,1,2,2,2,1,2,13462,177,
43,513243,67,13644,13462,3,3,1,2,2,3,1,2,13462,177,
44,513243,72,72,73,3,3,1,2,2,0,0,0,0,0,
45,513243,72,72,196,4,4,1,1,2,0,0,0,0,0,
46,513243,72,73,72,4,3,1,1,2,1,1,1,72,196,
47,513243,72,73,72,4,3,1,1,2,2,1,2,13772,6429,
48,513243,72,73,72,4,3,1,1,2,3,1,2,13772,6429,
49,513243,72,73,72,4,3,1,1,2,4,1,2,13772,13644,
50,513243,72,89,72,6,4,1,2,2,1,1,2,72,73,
51,513243,72,89,72,6,4,1,2,2,2,1,2,72,196,
52,513243,72,89,72,6,4,1,2,2,3,1,2,72,196,
53,513243,72,89,72,6,4,1,2,2,4,1,2,72,196,
54,513243,72,89,72,6,4,1,2,2,5,1,1,13772,6429,
55,513243,72,89,72,6,4,1,2,2,6,1,1,13772,6429,
56,513243,72,6429,13772,3,2,1,1,2,1,1,2,13772,13644,
57,513243,72,6429,13772,3,2,1,1,2,1,1,2,72,73,
58,513243,72,6429,13772,3,2,1,1,2,2,1,2,72,73,
59,513243,72,6429,13772,3,2,1,1,2,3,1,1,72,196,
60,513243,72,13772,6429,3,3,1,1,2,0,0,0,0,0,
61,513243,72,13772,13644,3,3,1,1,2,0,0,0,0,0,
62,513243,72,13873,13772,5,4,1,2,2,1,1,2,13772,13644,
63,513243,72,13873,13772,5,4,1,2,2,1,1,2,13772,6429,
64,513243,72,13873,13772,5,4,1,2,2,2,1,2,13772,13644,
65,513243,72,13873,13772,5,4,1,2,2,3,1,2,13772,13644,
66,513243,72,13873,13772,5,4,1,2,2,4,1,2,72,73,
67,513243,72,13873,13772,5,4,1,2,2,5,1,1,72,73,
68,513243,74,74,182,3,3,1,1,2,0,0,0,0,0,
69,513243,74,74,1756,1,1,2,2,2,0,0,0,0,0,
70,513243,74,75,74,3,3,1,1,2,1,1,2,0,0,
71,513243,74,75,74,3,3,1,1,2,2,1,2,0,0,
72,513243,74,75,74,3,3,1,1,2,3,1,2,0,0,
73,513243,74,1756,74,1,1,2,1,2,1,3,2,0,0,
74,513243,76,76,75,3,3,1,1,2,0,0,0,0,0,
75,513243,76,76,4294,1,1,2,1,2,0,0,0,0,0,
76,513243,76,77,76,4,3,1,1,2,1,1,2,76,4294,
77,513243,76,77,76,4,3,1,1,2,1,1,2,76,75,
78,513243,76,77,76,4,3,1,1,2,2,1,2,76,75,
79,513243,76,77,76,4,3,1,1,2,3,1,2,76,75,
80,513243,76,77,76,4,3,1,1,2,4,1,1,13440,12266,
81,513243,76,13440,12266,1,1,2,2,2,0,0,0,0,0,
82,513243,76,13440,12273,1,1,1,2,2,0,0,0,0,0,
83,513243,76,13440,14098,3,3,1,1,2,0,0,0,0,0,
84,513243,76,13631,76,1,1,2,1,2,1,1,2,0,0,
85,513243,76,13764,13440,4,3,1,1,2,1,1,2,13440,14098,
86,513243,76,13764,13440,4,3,1,1,2,1,1,2,13440,12273,
87,513243,76,13764,13440,4,3,1,1,2,2,1,2,13440,14098,
88,513243,76,13764,13440,4,3,1,1,2,3,1,2,13440,14098,
89,513243,76,13764,13440,4,3,1,1,2,4,1,1,76,4294,
90,513243,78,78,185,3,3,1,1,2,0,0,0,0,0,
91,513243,78,79,78,3,3,1,1,2,1,1,2,78,185,
92,513243,78,79,78,3,3,1,1,2,2,1,2,78,185,
93,513243,78,79,78,3,3,1,1,2,3,1,2,78,185,
94,513243,78,4289,14036,1,1,2,2,2,1,3,2,0,0,
95,513243,78,11113,78,1,1,1,2,2,1,1,2,0,0,
96,513243,78,14036,4289,1,1,2,2,2,0,0,0,0,0,
97,513243,78,14036,13864,3,3,1,1,2,0,0,0,0,0,
98,513243,78,14152,14036,3,3,1,1,2,1,1,2,14036,4289,
99,513243,78,14152,14036,3,3,1,1,2,1,1,2,14036,13864,
100,513243,78,14152,14036,3,3,1,1,2,2,1,2,14036,13864,
101,513243,78,14152,14036,3,3,1,1,2,3,1,2,14036,13864,
102,513243,80,80,186,3,3,1,1,2,0,0,0,0,0,
103,513243,80,80,6385,1,1,2,2,2,0,0,0,0,0,
104,513243,80,81,80,3,3,1,1,2,1,1,2,80,6385,
105,513243,80,81,80,3,3,1,1,2,1,1,2,80,186,
106,513243,80,81,80,3,3,1,1,2,2,1,2,80,186,
107,513243,80,81,80,3,3,1,1,2,3,1,2,80,186,
108,513243,80,1750,14247,1,1,2,2,2,1,3,2,0,0,
109,513243,80,6385,80,1,1,2,2,2,1,3,2,0,0,
110,513243,80,13957,14247,3,3,1,1,2,1,1,2,14247,1750,
111,513243,80,13957,14247,3,3,1,1,2,1,1,2,14247,13612,
112,513243,80,13957,14247,3,3,1,1,2,2,1,2,14247,13612,
113,513243,80,13957,14247,3,3,1,1,2,3,1,2,14247,13612,
114,513243,80,14247,1750,1,1,2,2,2,0,0,0,0,0,
115,513243,80,14247,13612,3,3,1,1,2,0,0,0,0,0,
116,513243,82,82,81,3,3,1,1,2,0,0,0,0,0,
117,513243,82,82,4201,1,1,2,2,2,0,0,0,0,0,
118,513243,82,4201,82,1,1,2,2,2,1,3,2,0,0,
119,513243,82,6021,13744,1,1,2,2,2,1,3,2,0,0,
120,513243,82,11494,82,3,3,1,1,2,1,1,2,82,81,
121,513243,82,11494,82,3,3,1,1,2,1,1,2,82,4201,
122,513243,82,11494,82,3,3,1,1,2,2,1,2,82,81,
123,513243,82,11494,82,3,3,1,1,2,3,1,2,82,81,
124,513243,82,13612,13744,3,3,1,1,2,1,1,2,13744,6021,
125,513243,82,13612,13744,3,3,1,1,2,1,1,2,13744,14202,
126,513243,82,13612,13744,3,3,1,1,2,2,1,2,13744,14202,
127,513243,82,13612,13744,3,3,1,1,2,3,1,2,13744,14202,
128,513243,82,13744,6021,1,1,2,2,2,0,0,0,0,0,
129,513243,82,13744,14202,3,3,1,1,2,0,0,0,0,0,
130,513243,83,83,2796,3,3,1,2,2,0,0,0,0,0,
131,513243,83,84,83,6,4,1,1,2,1,1,2,83,2796,
