,meshcode,zuflg,tnodeno,snodeno,slinkno,susno,stype,ichikeido,ichiido,signx,signy,geometry
0,513243,0,71,5190,14058,1,0,476763603,123796344,476763602,123796286,
1,513243,0,74,1756,933,1,0,476970631,123762885,476970721,123763023,
2,513243,0,75,4237,12672,1,0,476967603,123763618,476967599,123763603,
3,513243,0,77,4300,14350,1,0,476958277,123765851,476958110,123766050,
4,513243,0,81,4252,15055,1,0,476928744,123760884,476928774,123760887,
5,513243,0,85,3921,4545,1,0,476874051,123774247,476874099,123774322,
6,513243,0,86,5646,5482,1,0,476871801,123773547,476872033,123773420,
7,513243,0,154,4903,5981,1,0,476721140,123807644,476721125,123807642,
8,513243,0,154,4869,13003,1,0,476721549,123807044,476721666,123806886,
9,513243,0,163,1854,6897,1,0,476686984,123776913,476686937,123776880,
10,513243,0,173,7382,14549,1,0,476594168,123740715,476594775,123740047,
11,513243,0,180,3500,4595,1,0,476760003,123795244,476759804,123795337,
12,513243,0,182,1770,940,1,0,476975049,123761818,476975089,123761882,
13,513243,0,184,4292,13777,1,0,476954432,123766817,476954514,123766962,
14,513243,0,185,4314,12700,1,0,476948296,123766884,476948230,123766835,
15,513243,0,186,11112,16369,1,0,476937293,123763450,476937264,123763493,
16,513243,0,187,10913,16252,1,0,476913036,123761950,476913080,123761889,
17,513243,0,197,3738,14861,1,0,476801237,123789244,476801261,123789268,
18,513243,0,199,7839,10635,1,0,476790479,123792778,476790522,123792867,
19,513243,0,230,3213,14335,1,0,476693407,123781146,476693407,123781113,
20,513243,0,244,6378,14034,1,0,476759062,123796378,476758913,123796593,
21,513243,0,245,3511,5089,1,0,476763316,123797677,476763180,123797792,
22,513243,0,246,5214,5889,1,0,476766630,123798777,476766143,123798987,
23,513243,0,247,6322,10844,1,0,476988875,123754486,476988874,123754505,
24,513243,0,248,6322,13999,1,0,476987648,123755286,476987789,123755244,
25,513243,0,253,3155,10433,1,0,476643583,123760347,476643550,123760341,
26,513243,0,286,7182,14484,1,0,476872949,123721620,476873093,123721587,
27,513243,0,288,5930,13985,1,0,476871599,123714721,476871527,123714717,
28,513243,0,288,10523,16075,1,0,476872376,123714588,476871721,123714767,
29,513243,0,292,6750,14353,1,0,476868000,123684291,476867828,123684349,
30,513243,0,293,10464,16051,1,0,476867263,123682557,476867262,123682430,
31,513243,0,296,4082,4616,1,0,476866364,123676192,476866356,123676151,
32,513243,0,298,13308,19231,1,0,476853110,123674925,476853143,123674929,
33,513243,0,323,3105,14645,1,0,476597358,123742548,476597615,123742655,
34,513243,0,323,3105,14645,2,0,476597358,123742548,476597248,123742574,
35,513243,0,331,4388,13866,1,0,476952344,123824244,476952393,123824186,
36,513243,0,331,2490,14089,1,0,476952794,123823244,476952800,123823246,
37,513243,0,332,2491,1305,1,0,476949644,123823911,476949612,123823911,
38,513243,0,343,10688,8811,1,0,476887221,123850074,476887368,123850197,
39,513243,0,351,4341,4651,1,0,476910579,123813578,476910472,123813552,
40,513243,0,353,6143,14535,1,0,476904157,123803912,476904061,123803952,
41,513243,0,369,10638,16104,1,0,476878219,123887136,476878269,123887160,
42,513243,0,372,4032,13541,1,0,476879243,123868472,476879286,123868448,
43,513243,0,379,4423,4667,1,0,476888776,123847640,476888661,123847608,
44,513243,0,386,8320,2828,1,0,476911479,123812011,476911075,123811867,
45,513243,0,391,1512,6067,1,0,476914506,123820710,476914572,123820713,
46,513243,0,392,877,4656,1,0,476914834,123819644,476914931,123819665,
47,513243,0,401,8547,10960,1,0,476981182,123817012,476981197,123817030,
48,513243,0,403,2893,6460,1,0,476900721,123800245,476900416,123800391,
49,513243,0,405,8362,18101,1,0,476889596,123782314,476889592,123782248,
50,513243,0,428,3028,4319,1,0,476572692,123761879,476572681,123761786,
51,513243,0,429,4529,12775,1,0,476588114,123747247,476588028,123747239,
