,meshcode,tnodeno,snodeno,enodeno,yssnodeno,ysenodeno,geometry
0,513243,64,65,64,14032,255,
1,513243,64,255,14032,64,190,
2,513243,64,360,64,14032,13435,
3,513243,64,13954,14032,64,360,
4,513243,72,73,72,72,196,
5,513243,72,73,72,13772,13644,
6,513243,72,89,72,13772,6429,
7,513243,72,89,72,72,73,
8,513243,72,6429,13772,72,196,
9,513243,72,13873,13772,72,73,
10,513243,76,77,76,13440,12266,
11,513243,76,77,76,13440,12273,
12,513243,76,13764,13440,76,4294,
13,513243,83,84,83,13757,13411,
14,513243,83,11438,14203,13436,316,
15,513243,83,13413,13757,83,2796,
16,513243,83,13629,13436,14203,14248,
17,513243,83,13629,13436,13436,316,
18,513243,90,254,90,13770,1128,
19,513243,90,1128,13770,90,13456,
20,513243,90,1566,90,13770,14249,
21,513243,90,10266,13770,90,1566,
22,513243,92,93,92,14038,482,
23,513243,92,482,14038,92,198,
24,513243,92,1342,92,14038,13454,
25,513243,92,14099,14038,92,1342,
26,513243,98,99,98,98,100,
27,513243,98,99,98,98,317,
28,513243,102,12849,102,106,107,
29,513243,102,12859,106,102,240,
30,513243,102,13165,102,106,12859,
31,513243,102,13453,102,102,12849,
32,513243,103,9811,103,103,13165,
33,513243,103,9811,103,107,9743,
34,513243,103,9811,103,107,108,
35,513243,104,180,104,243,11515,
36,513243,104,242,243,104,5159,
37,513243,104,242,243,104,3501,
38,513243,104,5159,104,104,3501,
39,513243,104,5159,104,243,11514,
40,513243,104,11515,243,104,105,
41,513243,113,114,113,113,690,
42,513243,113,210,113,113,689,
43,513243,113,689,113,113,114,
44,513243,113,690,113,113,210,
45,513243,122,121,122,122,6658,
46,513243,122,123,122,122,121,
47,513243,122,304,122,122,123,
48,513243,122,6658,122,122,304,
49,513243,133,132,133,133,5557,
50,513243,133,132,133,133,134,
51,513243,133,134,133,133,487,
52,513243,133,487,133,133,5557,
53,513243,133,5557,133,133,132,
54,513243,136,137,136,136,938,
55,513243,136,137,136,136,494,
56,513243,136,215,136,136,938,
57,513243,136,494,136,136,215,
58,513243,136,938,136,136,137,
59,513243,145,144,145,145,1120,
60,513243,145,146,145,145,778,
61,513243,150,151,150,150,149,
62,513243,152,154,152,153,203,
63,513243,152,204,153,152,154,
64,513243,152,204,153,153,1651,
65,513243,152,208,152,152,154,
66,513243,152,208,152,153,1651,
67,513243,152,1651,153,152,7646,
68,513243,152,1651,153,152,12580,
69,513243,152,8558,153,153,1651,
70,513243,152,8558,153,152,154,
71,513243,162,163,162,162,230,
72,513243,183,13630,13761,13761,14152,
73,513243,183,13630,13761,183,2454,
74,513243,183,13630,13761,183,4293,
75,513243,193,517,13434,193,192,
76,513243,193,7439,193,13434,13953,
77,513243,193,7440,193,13434,517,
78,513243,193,8456,13434,193,7439,
79,513243,217,227,217,217,216,
80,513243,217,227,217,217,13257,
81,513243,217,1305,217,217,216,
82,513243,262,4139,13405,13405,14093,
83,513243,262,4140,262,13405,264,
84,513243,262,13739,13405,262,261,
85,513243,265,266,265,265,11785,
86,513243,265,936,265,265,266,
87,513243,265,12498,12552,265,266,
88,513243,265,12498,12552,12552,12508,
89,513243,267,7342,267,267,284,
90,513243,276,1737,8476,8476,13907,
91,513243,276,1737,8476,12889,5813,
92,513243,276,14119,12889,276,2657,
93,513243,276,14119,12889,12889,12904,
94,513243,277,11519,277,277,11784,
95,513243,277,11519,277,12503,12498,
96,513243,277,11783,12503,277,11784,
