,meshcode,recordid,areano,nextflg,elcode,objectid,elcnt,dspflg,geometry
0,513243,1,45,0,22F300,4-32-11-5-1629499,15,õê,
1,513243,1,46,0,22F300,4-32-11-5-1629504,31,þýýü,
2,513243,1,47,0,22F300,4-32-11-5-1629509,16,^¿,
3,513243,1,52,0,219161,4-32-17-5-1181909,120,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿþ,
4,513243,1,62,0,21A200,4-32-17-5-1629759,71,~ÿÿþÿÿ÷ÿþ,
5,513243,1,63,0,21A200,4-32-17-5-1629769,107,ÿÿÿïÿ÷ÿÿÿÿÿïÿÀ,
6,513243,1,177,0,142100,4-32-24-5-1636543,3,À,
7,513243,1,178,0,122100,4-32-24-582-1569980,3,À,
8,513243,1,193,0,212040,4-56-17-694-18211433,87,ÿÿÿÿÿÿÿÿÿÿ>,
9,513243,1,199,0,212040,4-56-17-694-18211475,3,À,
10,513243,1,235,0,212040,4-56-17-694-18211741,33,ÿÿÿÿ,
11,513243,1,290,0,212040,4-56-17-694-18212175,25,ÿÿû,
12,513243,1,291,0,212040,4-56-17-694-18212889,8,þ,
13,513243,1,300,0,212040,7-56-17-223-34340993,35,ÿÿùÿà,
14,513243,1,304,0,212040,7-56-17-263-61596000,25,ÿÿÿ,
15,513243,2,3,0,44B000,4-32-26-5-1628933,95,ïÿÿÿÿþÿÿÿÿÿþ,
16,513243,2,4,1,44B000,4-32-26-5-1628937,400,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ÷ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,
17,513243,2,4,2,44B000,4-32-26-5-1628937,389,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿûÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿð,
18,513243,2,5,0,44B000,4-32-26-5-1628937,161,ÿÿÿÿÿÿÿÿÿïÿÿÿÿÿÿÿÿÿÿ,
19,513243,2,6,0,438000,4-32-26-5-1628941,111,ÿÿÿßÿÿÿÿÿÿÿÿÿ|,
20,513243,2,7,0,438000,4-32-26-5-1628945,279,ÿÿÿÿûÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿûÿÿÿÿÿÿÿÿÿÿþ,
