,Unnamed: 0,meshcode,nodeno,vflg,zuflg,nextflg,zahyocnt,keido1,ido1,keido2,ido2,keido3,ido3,keido4,ido4,keido5,ido5,geometry
2,2,513243,13554,0,0,1,7,132.4749302777778,34.35697944444444,132.47484083333333,34.356923888888886,132.4747525,34.3568675,132.4746661111111,34.35681,132.47458305555554,34.35675444444445,
3,3,513243,13554,0,0,2,7,132.47451333333333,34.35670555555556,132.4744388888889,34.356651944444444,0.0,0.0,0.0,0.0,0.0,0.0,
4,4,513243,13563,1,0,1,11,132.49712666666667,34.360481388888886,132.49712888888888,34.3605825,132.49713166666666,34.36067583333333,132.49713472222223,34.36076777777778,132.49713805555555,34.3608475,
5,5,513243,13563,1,0,2,11,132.4971436111111,34.360931666666666,132.49714972222222,34.36101,132.49716,34.361111944444445,132.4971711111111,34.361198888888886,132.49718666666666,34.36130611111111,
6,6,513243,13563,1,0,3,11,132.4971972222222,34.36136277777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
7,7,513243,13703,0,0,1,8,132.4969886111111,34.3532275,132.49698916666668,34.35332666666667,132.49699194444443,34.35351027777778,132.496995,34.35366694444444,132.49699805555557,34.35384,
8,8,513243,13703,0,0,2,8,132.497,34.35402611111111,132.49699666666666,34.35421777777778,132.49699444444445,34.35440833333333,0.0,0.0,0.0,0.0,
9,9,513243,13811,0,0,1,6,132.495695,34.3565375,132.49552833333334,34.35655,132.49537,34.35656055555555,132.495155,34.356575,132.49500277777778,34.356585833333334,
10,10,513243,13811,0,0,2,6,132.49488666666667,34.35659555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
11,11,513243,13912,0,0,1,10,132.49282555555556,34.35678388888889,132.4926638888889,34.3567875,132.4925025,34.356789722222224,132.49228555555555,34.3567925,132.49206333333333,34.35679527777778,
12,12,513243,13912,0,0,2,10,132.49181055555556,34.35679805555556,132.49158333333332,34.35680138888889,132.4913611111111,34.35680416666667,132.4911972222222,34.35680583333333,132.4910827777778,34.35680888888889,
13,13,513243,13995,0,0,1,6,132.49423416666667,34.3570125,132.49436916666667,34.357014444444445,132.4945263888889,34.357014166666666,132.49470055555557,34.357015,132.49485361111113,34.357015277777776,
14,14,513243,13995,0,0,2,6,132.49494222222222,34.357016944444446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
15,15,513243,13998,0,0,0,4,132.45091944444445,34.360709166666666,132.45083305555556,34.360792777777775,132.45072583333334,34.36089666666667,132.45064083333332,34.360978055555556,0.0,0.0,
16,16,513243,14066,0,0,1,11,132.49718944444444,34.35421888888889,132.497185,34.354025,132.4971825,34.35382333333333,132.4971788888889,34.353679722222225,132.49717583333333,34.3535125,
17,17,513243,14066,0,0,2,11,132.49717166666667,34.353315555555554,132.4971675,34.353096111111114,132.49716388888888,34.35286527777778,132.49715944444443,34.35259638888889,132.49715722222223,34.35247444444445,
18,18,513243,14066,0,0,3,11,132.49715416666666,34.35241694444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
19,19,513243,14069,1,0,0,5,132.4504775,34.36129611111111,132.4506738888889,34.36111861111111,132.4508463888889,34.360956944444446,132.4510238888889,34.36078277777778,132.4511938888889,34.360617222222224,
20,20,513243,14121,0,0,0,5,132.49203333333332,34.356945277777776,132.49215916666665,34.35694361111111,132.49233722222223,34.35694222222222,132.49256,34.35693916666666,132.49274083333333,34.35693861111111,
