,meshcode,linkno,oheight,owidth,oweight,rheight,rwidth,rweight,signcnt,signno,ohsignkdo,ohsignido,owisignkdo,owisignido,owesignkdo,owesignido,rhsignkdo,rhsignido,rwisignkdo,rwisignido,rwesignkdo,rwesignido,geometry
0,513243,375,450,0,0,450,0,0,1,1,476661097,123780932,0,0,0,0,476660642,123780239,0,0,0,0,
1,513243,401,0,0,0,450,0,0,1,1,0,0,0,0,0,0,476924984,123824749,0,0,0,0,
2,513243,652,400,0,0,400,0,0,1,1,476825628,123878132,0,0,0,0,476824953,123876371,0,0,0,0,
3,513243,997,450,0,0,450,0,0,1,1,476711063,123810843,0,0,0,0,476710815,123811109,0,0,0,0,
4,513243,1415,450,0,0,450,0,0,1,1,476745678,123836280,0,0,0,0,476745226,123836969,0,0,0,0,
5,513243,1989,450,0,0,450,0,0,2,1,476893088,123843661,0,0,0,0,476893006,123842621,0,0,0,0,
6,513243,1989,450,0,0,450,0,0,2,2,0,0,0,0,0,0,476893003,123842628,0,0,0,0,
7,513243,2069,420,0,0,420,0,0,1,1,476669228,123805855,0,0,0,0,476669856,123805207,0,0,0,0,
8,513243,2288,450,0,0,450,0,0,1,1,476590153,123739177,0,0,0,0,476589883,123739454,0,0,0,0,
9,513243,2622,400,0,0,400,0,0,1,1,476868196,123867539,0,0,0,0,476868557,123867750,0,0,0,0,
10,513243,2717,0,0,14000,0,0,14000,1,1,0,0,0,0,476907475,123820913,0,0,0,0,476910848,123821391,
11,513243,2968,450,0,0,450,0,0,1,1,476672464,123787327,0,0,0,0,476672708,123786969,0,0,0,0,
12,513243,3023,450,0,0,450,0,0,1,1,476699737,123802889,0,0,0,0,476699879,123802535,0,0,0,0,
13,513243,3027,450,0,0,450,0,0,1,1,476678407,123790288,0,0,0,0,476678148,123790492,0,0,0,0,
14,513243,3493,380,0,0,380,0,0,2,1,476984085,123810175,0,0,0,0,476982393,123804610,0,0,0,0,
15,513243,3493,380,0,0,380,0,0,2,2,476982717,123811174,0,0,0,0,0,0,0,0,0,0,
16,513243,3494,0,0,0,380,0,0,1,1,0,0,0,0,0,0,476982068,123803938,0,0,0,0,
17,513243,3532,370,0,0,370,0,0,1,1,476882752,123858816,0,0,0,0,476883506,123859142,0,0,0,0,
18,513243,3588,450,0,0,450,0,0,1,1,476549123,123725998,0,0,0,0,476549141,123726397,0,0,0,0,
19,513243,3789,530,0,0,530,0,0,1,1,476643901,123722999,0,0,0,0,476644062,123722906,0,0,0,0,
20,513243,4063,380,0,0,380,0,0,1,1,476810832,123880589,0,0,0,0,476810434,123880682,0,0,0,0,
21,513243,4064,380,0,0,380,0,0,2,1,476806934,123875214,0,0,0,0,476807803,123876398,0,0,0,0,
22,513243,4064,380,0,0,380,0,0,2,2,476806744,123875169,0,0,0,0,476807999,123876431,0,0,0,0,
23,513243,6090,430,0,0,430,0,0,1,1,476658893,123800413,0,0,0,0,476659535,123799493,0,0,0,0,
24,513243,6934,350,0,0,350,0,0,1,1,476757602,123823193,0,0,0,0,476758327,123824177,0,0,0,0,
25,513243,7023,450,0,0,450,0,0,1,1,476792040,123874901,0,0,0,0,476788478,123872208,0,0,0,0,
26,513243,7078,380,0,0,380,0,0,1,1,476840025,123876263,0,0,0,0,476839924,123877035,0,0,0,0,
27,513243,7084,390,0,0,390,0,0,1,1,476836802,123876531,0,0,0,0,476837252,123877160,0,0,0,0,
28,513243,7088,340,0,0,340,0,0,1,1,476830282,123876699,0,0,0,0,476830658,123878025,0,0,0,0,
29,513243,7162,380,0,0,380,0,0,1,1,476863101,123869244,0,0,0,0,476863350,123869705,0,0,0,0,
30,513243,7239,390,0,0,390,0,0,1,1,476872848,123865322,0,0,0,0,476873257,123865963,0,0,0,0,
31,513243,8211,300,0,0,300,0,0,1,1,476633029,123793565,0,0,0,0,476632343,123794672,0,0,0,0,
32,513243,8228,0,0,0,380,0,0,1,1,0,0,0,0,0,0,476639434,123777399,0,0,0,0,
33,513243,8617,0,0,0,450,0,0,1,1,0,0,0,0,0,0,476806289,123899546,0,0,0,0,
34,513243,8619,450,0,0,0,0,0,1,1,476806408,123899432,0,0,0,0,0,0,0,0,0,0,
35,513243,9178,380,0,0,380,0,0,1,1,476880181,123861397,0,0,0,0,476880717,123861779,0,0,0,0,
36,513243,9204,280,0,0,0,0,0,1,1,476837093,123840632,0,0,0,0,0,0,0,0,0,0,
37,513243,9316,340,0,0,340,0,0,1,1,476831210,123877690,0,0,0,0,476830954,123876661,0,0,0,0,
38,513243,10022,430,0,0,430,0,0,1,1,476909083,123695403,0,0,0,0,476909080,123695486,0,0,0,0,
39,513243,11123,320,0,0,320,0,0,1,1,476638369,123796208,0,0,0,0,476638651,123795075,0,0,0,0,
40,513243,11218,230,0,0,230,0,0,1,1,476664523,123803213,0,0,0,0,476665180,123802452,0,0,0,0,
41,513243,12173,0,0,0,170,0,0,1,1,0,0,0,0,0,0,476754690,123843457,0,0,0,0,
42,513243,12666,0,0,8000,0,0,8000,1,1,0,0,0,0,476911957,123720231,0,0,0,0,476912677,123719769,
43,513243,13052,450,0,0,450,0,0,1,1,476726080,123822384,0,0,0,0,476726624,123822311,0,0,0,0,
44,513243,13056,450,0,0,450,0,0,1,1,476734328,123827726,0,0,0,0,476733882,123828392,0,0,0,0,
45,513243,13064,450,0,0,450,0,0,1,1,476776161,123867226,0,0,0,0,476775900,123867412,0,0,0,0,
46,513243,15008,450,0,0,450,0,0,1,1,476981336,123822188,0,0,0,0,476982110,123822290,0,0,0,0,
47,513243,15009,450,0,0,450,0,0,1,1,476972777,123816751,0,0,0,0,476973391,123816140,0,0,0,0,
