,Unnamed: 0,meshcode,nodeno,x,y,crosskind,tollgate,objectid,meshno,linkno,geometry
22094,22094,513243,6660,132.4734552777778,34.41907472222222,4,0,4-33-18-5-1225024,5,14212,
22095,22095,513243,6661,132.47512583333332,34.41525083333333,4,0,4-33-18-5-1225034,5,16115,
22096,22096,513243,6662,132.47726194444445,34.41471388888889,1,0,4-33-18-5-1225041,5,10742,
22097,22097,513243,6662,132.47726194444445,34.41471388888889,1,0,4-33-18-5-1225041,5,14213,
22098,22098,513243,6662,132.47726194444445,34.41471388888889,1,0,4-33-18-5-1225041,5,16664,
22099,22099,513243,6663,132.4758077777778,34.41351972222222,4,0,4-33-18-5-1225046,5,14214,
22100,22100,513243,6664,132.47612555555557,34.41419527777778,2,0,4-33-18-5-1225051,5,14214,
22101,22101,513243,6664,132.47612555555557,34.41419527777778,2,0,4-33-18-5-1225051,5,14215,
22102,22102,513243,6665,132.47771666666668,34.41340861111111,4,0,4-33-18-5-1225056,5,16298,
22103,22103,513243,6666,132.48084166666666,34.40837194444445,1,0,4-33-18-5-1225061,5,16286,
22104,22104,513243,6666,132.48084166666666,34.40837194444445,1,0,4-33-18-5-1225061,5,16287,
22105,22105,513243,6666,132.48084166666666,34.40837194444445,1,0,4-33-18-5-1225061,5,16293,
22106,22106,513243,6667,132.48037555555555,34.40896472222222,1,0,4-33-18-5-1225066,5,14217,
22107,22107,513243,6667,132.48037555555555,34.40896472222222,1,0,4-33-18-5-1225066,5,16291,
22108,22108,513243,6667,132.48037555555555,34.40896472222222,1,0,4-33-18-5-1225066,5,16294,
22109,22109,513243,6668,132.48076194444445,34.40886277777778,1,0,4-33-18-5-1225071,5,10754,
22110,22110,513243,6668,132.48076194444445,34.40886277777778,1,0,4-33-18-5-1225071,5,14966,
22111,22111,513243,6668,132.48076194444445,34.40886277777778,1,0,4-33-18-5-1225071,5,16292,
22112,22112,513243,6669,132.4803075,34.409325555555554,1,0,4-33-18-5-1225076,5,10755,
22113,22113,513243,6669,132.4803075,34.409325555555554,1,0,4-33-18-5-1225076,5,14217,
22114,22114,513243,6669,132.4803075,34.409325555555554,1,0,4-33-18-5-1225076,5,14967,
22115,22115,513243,6670,132.46830833333334,34.413130555555554,1,0,4-33-18-5-1225086,5,16097,
22116,22116,513243,6670,132.46830833333334,34.413130555555554,1,0,4-33-18-5-1225086,5,16101,
22117,22117,513243,6670,132.46830833333334,34.413130555555554,1,0,4-33-18-5-1225086,5,16103,
22118,22118,513243,6671,132.46978555555555,34.41101972222222,1,0,4-33-18-5-1225091,5,14220,
22119,22119,513243,6671,132.46978555555555,34.41101972222222,1,0,4-33-18-5-1225091,5,14221,
22120,22120,513243,6671,132.46978555555555,34.41101972222222,1,0,4-33-18-5-1225091,5,14343,
22121,22121,513243,6672,132.46597916666667,34.409241944444446,1,0,4-33-18-5-1225098,5,6159,
22122,22122,513243,6672,132.46597916666667,34.409241944444446,1,0,4-33-18-5-1225098,5,7164,
22123,22123,513243,6672,132.46597916666667,34.409241944444446,1,0,4-33-18-5-1225098,5,7165,
22124,22124,513243,6673,132.46380888888888,34.40920472222222,1,0,4-33-18-5-1225103,5,6192,
22125,22125,513243,6673,132.46380888888888,34.40920472222222,1,0,4-33-18-5-1225103,5,8621,
22126,22126,513243,6673,132.46380888888888,34.40920472222222,1,0,4-33-18-5-1225103,5,14222,
22127,22127,513243,6674,132.47254694444445,34.40526083333334,4,0,4-33-18-5-1225113,5,14223,
22128,22128,513243,6675,132.4728086111111,34.40034472222222,1,0,4-33-18-5-1225118,5,2119,
22129,22129,513243,6675,132.4728086111111,34.40034472222222,1,0,4-33-18-5-1225118,5,2135,
22130,22130,513243,6675,132.4728086111111,34.40034472222222,1,0,4-33-18-5-1225118,5,14875,
22131,22131,513243,6675,132.4728086111111,34.40034472222222,1,0,4-33-18-5-1225118,5,14998,
22132,22132,513243,6676,132.47684222222222,34.403418611111114,1,0,4-33-18-5-1225125,5,14224,
22133,22133,513243,6676,132.47684222222222,34.403418611111114,1,0,4-33-18-5-1225125,5,14226,
22134,22134,513243,6676,132.47684222222222,34.403418611111114,1,0,4-33-18-5-1225125,5,16276,
22135,22135,513243,6677,132.47636472222223,34.40253888888889,1,0,4-33-18-5-1225130,5,10130,
22136,22136,513243,6677,132.47636472222223,34.40253888888889,1,0,4-33-18-5-1225130,5,14997,
22137,22137,513243,6677,132.47636472222223,34.40253888888889,1,0,4-33-18-5-1225130,5,16277,
22138,22138,513243,6678,132.4740925,34.40437222222222,4,0,4-33-18-5-1225135,5,14225,
22139,22139,513243,6679,132.47602388888888,34.40363166666667,1,0,4-33-18-5-1225140,5,14225,
22140,22140,513243,6679,132.47602388888888,34.40363166666667,1,0,4-33-18-5-1225140,5,14226,
22141,22141,513243,6679,132.47602388888888,34.40363166666667,1,0,4-33-18-5-1225140,5,16279,
22142,22142,513243,6680,132.49549944444445,34.40940944444444,1,0,4-33-18-5-1225145,5,14227,
22143,22143,513243,6680,132.49549944444445,34.40940944444444,1,0,4-33-18-5-1225145,5,16630,
22144,22144,513243,6680,132.49549944444445,34.40940944444444,1,0,4-33-18-5-1225145,5,16631,
22145,22145,513243,6681,132.49538583333333,34.409576111111114,1,0,4-33-18-5-1225150,5,14227,
22146,22146,513243,6681,132.49538583333333,34.409576111111114,1,0,4-33-18-5-1225150,5,14228,
22147,22147,513243,6681,132.49538583333333,34.409576111111114,1,0,4-33-18-5-1225150,5,16627,
22148,22148,513243,6682,132.49640861111112,34.40998333333334,1,0,4-33-18-5-1225155,5,11979,
22149,22149,513243,6682,132.49640861111112,34.40998333333334,1,0,4-33-18-5-1225155,5,14228,
22150,22150,513243,6682,132.49640861111112,34.40998333333334,1,0,4-33-18-5-1225155,5,16500,
22151,22151,513243,6683,132.488705,34.40459472222222,1,0,4-33-18-5-1225160,5,11907,
22152,22152,513243,6683,132.488705,34.40459472222222,1,0,4-33-18-5-1225160,5,14993,
22153,22153,513243,6683,132.488705,34.40459472222222,1,0,4-33-18-5-1225160,5,16327,
22154,22154,513243,6684,132.48833,34.40533527777778,2,0,4-33-18-5-1225165,5,14992,
22155,22155,513243,6684,132.48833,34.40533527777778,2,0,4-33-18-5-1225165,5,19197,
22156,22156,513243,6685,132.48901166666667,34.40257638888889,2,0,4-33-18-5-1225170,5,14994,
22157,22157,513243,6685,132.48901166666667,34.40257638888889,2,0,4-33-18-5-1225170,5,16328,
22158,22158,513243,6686,132.49697694444444,34.40748333333333,1,0,4-33-18-5-1225180,5,14229,
22159,22159,513243,6686,132.49697694444444,34.40748333333333,1,0,4-33-18-5-1225180,5,14982,
22160,22160,513243,6686,132.49697694444444,34.40748333333333,1,0,4-33-18-5-1225180,5,15357,
22161,22161,513243,6687,132.4832847222222,34.403085555555556,2,0,4-33-18-5-1225185,5,16284,
22162,22162,513243,6687,132.4832847222222,34.403085555555556,2,0,4-33-18-5-1225185,5,18612,
22163,22163,513243,6688,132.48587555555557,34.40166,4,0,4-33-18-5-1225195,5,14231,
22164,22164,513243,6689,132.48676194444445,34.40220583333333,4,0,4-33-18-5-1225200,5,14232,
22165,22165,513243,6690,132.48880722222222,34.39948416666667,1,0,4-33-18-5-1225205,5,14234,
22166,22166,513243,6690,132.48880722222222,34.39948416666667,1,0,4-33-18-5-1225205,5,14323,
22167,22167,513243,6690,132.48880722222222,34.39948416666667,1,0,4-33-18-5-1225205,5,15002,
22168,22168,513243,6691,132.4894888888889,34.40000277777778,1,0,4-33-18-5-1225210,5,14234,
22169,22169,513243,6691,132.4894888888889,34.40000277777778,1,0,4-33-18-5-1225210,5,14235,
22170,22170,513243,6691,132.4894888888889,34.40000277777778,1,0,4-33-18-5-1225210,5,14995,
22171,22171,513243,6692,132.49021638888888,34.396345555555556,1,0,4-33-18-5-1225215,5,14320,
22172,22172,513243,6692,132.49021638888888,34.396345555555556,1,0,4-33-18-5-1225215,5,15006,
22173,22173,513243,6692,132.49021638888888,34.396345555555556,1,0,4-33-18-5-1225215,5,15277,
22174,22174,513243,6693,132.49582972222223,34.397308611111114,1,0,4-33-18-5-1225220,5,14287,
22175,22175,513243,6693,132.49582972222223,34.397308611111114,1,0,4-33-18-5-1225220,5,14288,
22176,22176,513243,6693,132.49582972222223,34.397308611111114,1,0,4-33-18-5-1225220,5,16489,
22177,22177,513243,6694,132.4947161111111,34.39279055555556,1,0,4-33-18-5-1225225,5,6160,
22178,22178,513243,6694,132.4947161111111,34.39279055555556,1,0,4-33-18-5-1225225,5,6200,
22179,22179,513243,6694,132.4947161111111,34.39279055555556,1,0,4-33-18-5-1225225,5,15013,
22180,22180,513243,6694,132.4947161111111,34.39279055555556,1,0,4-33-18-5-1225225,5,18043,
22181,22181,513243,6695,132.48481916666665,34.39589194444444,1,0,4-33-18-5-1225230,5,10810,
22182,22182,513243,6695,132.48481916666665,34.39589194444444,1,0,4-33-18-5-1225230,5,14237,
22183,22183,513243,6695,132.48481916666665,34.39589194444444,1,0,4-33-18-5-1225230,5,15016,
22184,22184,513243,6696,132.48936444444445,34.387050555555554,1,0,4-33-18-5-1225235,5,14238,
22185,22185,513243,6696,132.48936444444445,34.387050555555554,1,0,4-33-18-5-1225235,5,14239,
22186,22186,513243,6696,132.48936444444445,34.387050555555554,1,0,4-33-18-5-1225235,5,14345,
22187,22187,513243,6697,132.49652305555554,34.38663388888889,1,0,4-33-18-5-1225240,5,643,
22188,22188,513243,6697,132.49652305555554,34.38663388888889,1,0,4-33-18-5-1225240,5,14240,
22189,22189,513243,6697,132.49652305555554,34.38663388888889,1,0,4-33-18-5-1225240,5,21088,
22190,22190,513243,6698,132.4974775,34.38533777777778,3,0,4-33-18-5-1225245,5,14240,
22191,22191,513243,6699,132.48547888888888,34.37603305555555,1,0,4-33-18-5-1225255,5,15140,
22192,22192,513243,6699,132.48547888888888,34.37603305555555,1,0,4-33-18-5-1225255,5,15141,
22193,22193,513243,6699,132.48547888888888,34.37603305555555,1,0,4-33-18-5-1225255,5,16383,
22194,22194,513243,6700,132.49626194444446,34.37356111111111,1,0,4-33-18-5-1225262,5,6161,
22195,22195,513243,6700,132.49626194444446,34.37356111111111,1,0,4-33-18-5-1225262,5,7649,
22196,22196,513243,6700,132.49626194444446,34.37356111111111,1,0,4-33-18-5-1225262,5,16643,
22197,22197,513243,6701,132.49711416666668,34.3747,2,0,4-33-18-5-1225267,5,10300,
22198,22198,513243,6701,132.49711416666668,34.3747,2,0,4-33-18-5-1225267,5,14242,
22199,22199,513243,6702,132.480775,34.364173055555554,1,0,4-33-18-5-1225272,5,7695,
22200,22200,513243,6702,132.480775,34.364173055555554,1,0,4-33-18-5-1225272,5,8861,
22201,22201,513243,6702,132.480775,34.364173055555554,1,0,4-33-18-5-1225272,5,10884,
22202,22202,513243,6703,132.47454833333333,34.364422777777776,1,0,4-33-18-5-1225277,5,2877,
