,meshcode,tnodeno,snodeno,enodeno,ysnodeno,yenodeno,passageno,geometry
0,513243,64,65,64,14032,255,14096,
1,513243,64,255,14032,64,190,0,
2,513243,64,360,64,14032,13435,0,
3,513243,64,13954,14032,64,360,14096,
4,513243,72,73,72,13772,6429,0,
5,513243,72,73,72,13772,13644,0,
6,513243,72,89,72,13772,6429,14039,
7,513243,72,6429,13772,72,73,0,
8,513243,72,6429,13772,72,196,0,
9,513243,72,13873,13772,72,73,14039,
10,513243,76,77,76,13440,12266,13632,
11,513243,76,77,76,13440,12273,13632,
12,513243,76,13764,13440,76,4294,13632,
13,513243,83,84,83,13436,316,0,
14,513243,83,84,83,13757,13411,0,
15,513243,83,11438,14203,83,2796,0,
16,513243,83,11438,14203,13436,316,0,
17,513243,83,13413,13757,83,2796,0,
18,513243,83,13413,13757,14203,14248,0,
19,513243,83,13629,13436,13757,13411,0,
20,513243,83,13629,13436,14203,14248,0,
21,513243,90,254,90,13770,1128,13871,
22,513243,90,1128,13770,90,1566,0,
23,513243,90,1128,13770,90,13456,0,
24,513243,90,1566,90,13770,1128,0,
25,513243,90,1566,90,13770,14249,0,
26,513243,90,10266,13770,90,1566,13871,
27,513243,91,197,91,13870,480,14204,
28,513243,91,480,13870,91,254,0,
29,513243,91,480,13870,91,1569,0,
30,513243,92,93,92,14038,482,14153,
31,513243,92,482,14038,92,198,0,
32,513243,92,1342,92,14038,482,0,
33,513243,92,1342,92,14038,13454,0,
34,513243,92,14099,14038,92,1342,14153,
35,513243,95,1359,95,12334,70,0,
36,513243,95,1359,95,12334,71,0,
37,513243,95,1359,95,12334,1696,0,
38,513243,95,12376,12334,95,1359,12400,
39,513243,102,12849,102,106,107,0,
40,513243,102,12849,102,106,12859,0,
41,513243,102,12859,106,102,240,0,
42,513243,102,12859,106,102,12849,0,
43,513243,102,13165,102,106,12859,12113,
44,513243,103,9811,103,107,108,0,
45,513243,103,9811,103,107,9743,0,
46,513243,104,180,104,243,11515,12156,
47,513243,104,242,243,104,3501,12156,
48,513243,104,242,243,104,5159,12156,
49,513243,104,5159,104,243,11514,0,
50,513243,104,5159,104,243,11515,0,
51,513243,104,11515,243,104,105,0,
52,513243,104,11515,243,104,5159,0,
53,513243,118,117,211,118,119,0,
54,513243,152,154,152,153,203,0,
55,513243,152,154,152,153,1651,0,
56,513243,152,204,153,152,154,11523,
57,513243,152,208,152,153,1651,11523,
58,513243,152,1651,153,152,154,0,
59,513243,152,1651,153,152,7646,0,
60,513243,152,1651,153,152,12580,0,
61,513243,152,8558,153,152,154,11523,
62,513243,175,138,176,175,174,0,
63,513243,175,138,176,175,12101,0,
64,513243,175,174,175,176,138,0,
65,513243,175,174,175,176,7147,0,
66,513243,183,2454,183,13761,14152,0,
67,513243,183,13630,13761,183,2454,13441,
