,meshcode,fromlinkno,tolinkno,snodeno,tnodeno,enodeno,day,shour,ehour,sdate,edate,cartype,carwait,carthaba,carthigh,geometry
0,513243,7,8,12129,12127,12130,100000000,0000,2400,0101,1231,0,0,0,0,
1,513243,13,222,204,153,152,100000000,0000,2400,0101,1231,0,0,0,0,
2,513243,21,6607,7393,593,7391,100000000,0000,2400,0101,1231,0,0,0,0,
3,513243,23,22,7393,7391,7392,100000000,0000,2400,0101,1231,0,0,0,0,
4,513243,23,6607,7393,7391,593,100000000,0000,2400,0101,1231,0,0,0,0,
5,513243,24,16,7425,320,317,100000000,0000,2400,0101,1231,0,0,0,0,
6,513243,29,3464,320,8488,11364,011111100,0700,0830,0101,1231,0,0,0,0,
7,513243,31,20059,65,64,14032,100000000,0000,2400,0101,1231,0,0,0,0,
8,513243,34,2128,104,105,242,100000000,0000,2400,0101,1231,0,0,0,0,
9,513243,35,4052,106,107,103,100000000,0000,2400,0101,1231,0,0,0,0,
10,513243,40,710,180,104,243,100000000,0000,2400,0101,1231,0,0,0,0,
11,513243,43,5977,153,203,4870,100000000,0000,2400,0101,1231,0,0,0,0,
12,513243,46,222,208,152,153,100000000,0000,2400,0101,1231,0,0,0,0,
13,513243,47,12932,233,168,4568,100000000,0000,2400,0101,1231,0,0,0,0,
14,513243,47,14042,233,168,6398,100000000,0000,2400,0101,1231,0,0,0,0,
15,513243,48,1364,234,169,1818,100000000,0000,2400,0101,1231,0,0,0,0,
16,513243,54,2128,241,242,105,100000000,0000,2400,0101,1231,0,0,0,0,
17,513243,55,710,242,243,104,100000000,0000,2400,0101,1231,0,0,0,0,
18,513243,58,17208,246,95,12334,100000000,0000,2400,0101,1231,0,0,0,0,
19,513243,60,14390,253,171,3155,100000000,0000,2400,0101,1231,0,0,0,0,
20,513243,62,18461,259,258,13059,011111100,0730,0830,0101,1231,0,0,0,0,
21,513243,64,20994,261,262,14282,100000000,0000,2400,0101,1231,0,0,0,0,
22,513243,65,14082,269,270,5903,100000000,0000,2400,0101,1231,0,0,0,0,
23,513243,66,928,272,271,1736,100000000,0000,2400,0101,1231,0,0,0,0,
24,513243,67,5681,274,273,5850,100000000,0000,2400,0101,1231,0,0,0,0,
25,513243,68,3279,284,267,10552,100000000,1000,1900,0101,1231,0,0,0,0,
26,513243,70,6059,286,287,5866,100000000,0000,2400,0101,1231,0,0,0,0,
27,513243,71,6059,288,287,5866,100000000,0000,2400,0101,1231,0,0,0,0,
28,513243,71,13985,287,288,5930,100000000,0000,2400,0101,1231,0,0,0,0,
29,513243,72,928,270,271,1736,100000000,0000,2400,0101,1231,0,0,0,0,
30,513243,72,14082,271,270,5903,100000000,0000,2400,0101,1231,0,0,0,0,
31,513243,73,5681,272,273,5850,100000000,0000,2400,0101,1231,0,0,0,0,
32,513243,83,16891,312,311,12135,100000000,0000,2400,0101,1231,0,0,0,0,
33,513243,83,16902,311,312,12135,100000000,0000,2400,0101,1231,0,0,0,0,
34,513243,84,7941,313,312,8604,100000000,0000,2400,0101,1231,0,0,0,0,
35,513243,84,16902,313,312,12135,100000000,0000,2400,0101,1231,0,0,0,0,
36,513243,85,14645,173,323,3105,100000000,0000,2400,0101,1231,0,0,0,0,
37,513243,86,13985,324,288,5930,100000000,0000,2400,0101,1231,0,0,0,0,
38,513243,90,2438,7414,7416,7415,100000000,0000,2400,0101,1231,0,0,0,0,
39,513243,90,6614,7416,7414,7415,100000000,0000,2400,0101,1231,0,0,0,0,
40,513243,95,16891,7595,311,12135,100000000,0000,2400,0101,1231,0,0,0,0,
41,513243,97,4052,7632,103,107,100000000,0000,2400,0101,1231,0,0,0,0,
42,513243,101,4616,8159,296,4082,100000000,0000,2400,0101,1231,0,0,0,0,
43,513243,109,9860,8278,8279,8265,100000000,0000,2400,0101,1231,0,0,0,0,
44,513243,118,17451,7846,8342,12511,100000000,0000,2400,0101,1231,0,0,0,0,
45,513243,134,6873,9370,232,4815,100000000,0700,0900,0101,1231,0,0,0,0,
46,513243,134,8261,9370,232,9371,100000000,0700,0900,0101,1231,0,0,0,0,
47,513243,138,15083,10500,290,5912,100000000,0000,2400,0101,1231,0,0,0,0,
48,513243,142,15083,10502,290,5912,100000000,0000,2400,0101,1231,0,0,0,0,
49,513243,143,6060,10548,283,4146,100000000,0000,2400,0101,1231,0,0,0,0,
50,513243,151,2738,10717,257,2879,100000000,0730,0830,0101,1231,0,0,0,0,
51,513243,158,9860,11417,8265,8279,100000000,0000,2400,0101,1231,0,0,0,0,
52,513243,159,9021,8266,11417,11419,100000000,0000,2400,0101,1231,0,0,0,0,
53,513243,161,2826,8284,8289,8288,100000000,0000,2400,0101,1231,0,0,0,0,
54,513243,162,7780,11420,8267,302,100000000,0000,2400,0101,1231,0,0,0,0,
55,513243,164,7780,11423,302,8267,100000000,0000,2400,0101,1231,0,0,0,0,
56,513243,166,5617,11425,11423,5780,100000000,0000,2400,0101,1231,0,0,0,0,
57,513243,176,9861,11744,8263,7819,100000000,0000,2400,0101,1231,0,0,0,0,
58,513243,188,20442,73,72,14039,100000000,0000,2400,0101,1231,0,0,0,0,
59,513243,190,18909,77,76,13440,100000000,0000,2400,0101,1231,0,0,0,0,
60,513243,191,19716,79,78,14036,100000000,0000,2400,0101,1231,0,0,0,0,
61,513243,192,20312,81,80,14247,100000000,0000,2400,0101,1231,0,0,0,0,
62,513243,194,19801,89,72,13772,100000000,0000,2400,0101,1231,0,0,0,0,
63,513243,195,19862,93,92,14038,100000000,0000,2400,0101,1231,0,0,0,0,
64,513243,200,1175,117,116,2241,100000000,0000,2400,0101,1231,0,0,0,0,
65,513243,200,1541,116,117,3987,100000000,0000,2400,0101,1231,0,0,0,0,
66,513243,201,15293,118,119,8615,100000000,0000,2400,0101,1231,0,0,0,0,
67,513243,202,2204,121,120,7240,100000000,0000,2400,0101,1231,0,0,0,0,
