order,polyline,lane,width,length,oneway_code,is_highway,elevation,roadType,speed
OE,"[34.3920931, 132.3863858, 34.3902875, 132.3876981]",2,7.5,233,0,False,"[[34.3920989, 132.3863806, 159.282], [34.3908222, 132.3873136, 160.808], [34.3902922, 132.3877008, 165.112]]",6,40
OE,"[34.3902875, 132.3876981, 34.38984, 132.3880186, 34.3893922, 132.3883389, 34.3889397, 132.3886672, 34.3884667, 132.3890181]",2,7.5,235,0,False,"[[34.3902919, 132.3877011, 165.112], [34.3889378, 132.3886669, 157.49], [34.3884622, 132.3890194, 155.717]]",6,40
OE,"[34.3902825, 132.3873625, 34.3905569, 132.3871564]",1,4.0,35,0,False,"[[34.3902789, 132.3873597, 170.288], [34.3905567, 132.3871567, 168.493]]",6,-60
OE,"[34.3900128, 132.3875531, 34.3902825, 132.3873625]",1,4.0,34,0,False,"[[34.3900103, 132.3875494, 172.009], [34.3902786, 132.38736, 170.288]]",6,-60
OE,"[34.389855, 132.3857222, 34.3902825, 132.3873625]",1,4.0,158,0,False,"[[34.3898547, 132.3857197, 163.248], [34.3902786, 132.3873597, 170.288]]",9,-60
OE,"[34.3905569, 132.3871564, 34.39015, 132.3856078]",1,2.0,149,0,False,"[[34.3905567, 132.3871567, 168.493], [34.3901539, 132.3856111, 161.571]]",9,-60
OE,"[34.3905569, 132.3871564, 34.3906486, 132.3870878, 34.390735, 132.3869961]",1,4.0,24,0,False,"[[34.3905567, 132.3871567, 168.493], [34.3906514, 132.3870856, 167.889], [34.3907347, 132.3869931, 167.645]]",6,-60
OE,"[34.3897331, 132.3877364, 34.3900128, 132.3875531]",1,4.0,35,0,False,"[[34.3897353, 132.3877406, 173.811], [34.3900103, 132.3875494, 172.009]]",6,-60
OE,"[34.3900128, 132.3875531, 34.38956, 132.3858367]",1,2.0,165,0,False,"[[34.3900103, 132.3875494, 172.009], [34.3895575, 132.3858319, 164.967]]",9,-60
OE,"[34.3909081, 132.3876294, 34.390735, 132.3869961]",2,7.5,61,0,False,"[[34.3909069, 132.3876278, 168.079], [34.3908222, 132.3873139, 167.978], [34.3907353, 132.3869928, 167.645]]",6,-60
OE,"[34.3917625, 132.3883847, 34.3915286, 132.3883694, 34.3914472, 132.3883467, 34.3913658, 132.3883161, 34.3912539, 132.3882322, 34.3911775, 132.3881636, 34.3910656, 132.3880186, 34.3909944, 132.3878964, 34.3909081, 132.3876294]",2,7.5,128,0,False,"[[34.3917653, 132.3883781, 173.38], [34.3915264, 132.3883694, 172.324], [34.3914506, 132.3883533, 171.971], [34.3913608, 132.3883183, 171.551], [34.3912539, 132.3882358, 170.889], [34.3911769, 132.3881644, 170.507], [34.3910639, 132.3880244, 169.743], [34.3909964, 132.3878947, 168.947], [34.3909078, 132.3876292, 168.079]]",6,-60
OE,"[34.3909181, 132.3868514, 34.3908064, 132.3869275, 34.390735, 132.3869961]",1,4.0,24,0,False,"[[34.3909169, 132.3868519, 166.8], [34.3908058, 132.3869292, 167.626], [34.3907353, 132.3869922, 167.645]]",6,-60
OE,"[34.390735, 132.3869961, 34.3903536, 132.3855314]",2,7.5,141,0,False,"[[34.390735, 132.3869925, 167.645], [34.3903542, 132.3855308, 161.096]]",6,-60
OE,"[34.3915489, 132.3871336, 34.3910656, 132.3875075, 34.3911419, 132.3876981, 34.3911878, 132.387805, 34.3912336, 132.3878964, 34.3913097, 132.3879881, 34.3913658, 132.3880414, 34.3914167, 132.3880797, 34.3914572, 132.3881025, 34.3915489, 132.3881331]",1,4.0,146,0,False,"[[34.3915456, 132.3871328, 165.06], [34.3910675, 132.3875078, 166.871], [34.3911394, 132.3877028, 167.453], [34.3911856, 132.3878017, 168.233], [34.3912372, 132.3878914, 168.606], [34.3913044, 132.3879808, 169.459], [34.3913617, 132.3880383, 169.825], [34.3914192, 132.3880808, 169.95], [34.3914556, 132.3880981, 170.41], [34.3915489, 132.3881308, 170.57]]",9,-60
OE,"[34.3897331, 132.3877364, 34.3892703, 132.3859433]",1,4.0,172,0,False,"[[34.3897353, 132.3877406, 173.811], [34.3892667, 132.3859411, 166.625]]",9,-60
OE,"[34.3889294, 132.3860503, 34.3890667, 132.3866225, 34.3892803, 132.3872633, 34.3894939, 132.3879042, 34.3895753, 132.3878508, 34.3897331, 132.3877364]",1,4.0,212,0,False,"[[34.3889258, 132.3860578, 168.092], [34.3890672, 132.3866214, 171.056], [34.3894933, 132.3879047, 175.064], [34.3895739, 132.3878539, 174.799], [34.389735, 132.3877408, 173.811]]",6,-60
OE,"[34.3909181, 132.3868514, 34.3905672, 132.3854628]",1,4.0,133,0,False,"[[34.3909169, 132.3868519, 166.8], [34.3905644, 132.3854631, 160.613]]",9,-60
OE,"[34.3911878, 132.3866531, 34.3909181, 132.3868514]",1,4.0,35,0,False,"[[34.3911875, 132.3866556, 165.461], [34.3909172, 132.3868519, 166.8]]",6,-60
OE,"[34.3914675, 132.3864775, 34.3911878, 132.3866531]",1,4.0,34,0,False,"[[34.3914628, 132.3864772, 163.413], [34.3911875, 132.3866556, 165.461]]",6,-60
OE,"[34.3907706, 132.385005, 34.3911878, 132.3866531]",2,7.5,158,0,False,"[[34.3907667, 132.3850061, 156.542], [34.3911872, 132.3866556, 165.461]]",6,-60
OE,"[34.3915489, 132.3871336, 34.3915489, 132.3881331]",1,2.0,91,0,False,"[[34.3915456, 132.3871328, 165.06], [34.3915494, 132.3881314, 170.57]]",9,-60
OE,"[34.3918542, 132.3868969, 34.3915489, 132.3871336]",1,4.0,40,0,False,"[[34.3918503, 132.3868942, 164.637], [34.3915458, 132.3871328, 165.06]]",9,-60
OE,"[34.3915489, 132.3881331, 34.3918542, 132.3881406]",1,4.0,33,0,False,"[[34.3915497, 132.3881317, 170.57], [34.3918544, 132.3881431, 172.307]]",9,-60
OE,"[34.3910553, 132.3848914, 34.3914675, 132.3864775]",1,4.0,152,0,False,"[[34.3910564, 132.3848931, 153.912], [34.3914625, 132.3864772, 163.413]]",9,-60
OE,"[34.3917319, 132.3862944, 34.3914675, 132.3864775]",1,4.0,33,0,False,"[[34.3917364, 132.3862875, 161.476], [34.3914631, 132.3864769, 163.413]]",6,-60
OE,"[34.3918542, 132.3868969, 34.3918542, 132.3881406]",1,4.0,114,0,False,"[[34.3918503, 132.3868942, 164.637], [34.3918544, 132.3881433, 172.307]]",9,-60
OE,"[34.3920881, 132.3894986, 34.3917728, 132.3891553, 34.3917728, 132.3886136, 34.3917625, 132.3883847]",1,4.0,118,0,False,"[[34.3920847, 132.3894919, 180.512], [34.3917706, 132.3891589, 177.013], [34.3917681, 132.3886097, 173.887], [34.3917661, 132.3883783, 173.38]]",6,-60
OE,"[34.393085, 132.3883847, 34.3930289, 132.3883847, 34.3924389, 132.3883847, 34.3918542, 132.3883847, 34.3917625, 132.3883847]",2,7.5,146,0,False,"[[34.3930842, 132.38838, 179.7], [34.3930294, 132.3883808, 179.504], [34.3918553, 132.3883792, 173.865], [34.3917656, 132.3883783, 173.38]]",6,-60
OE,"[34.3918542, 132.3881406, 34.3921694, 132.3881406]",1,4.0,34,0,False,"[[34.3918544, 132.3881433, 172.307], [34.3921661, 132.3881458, 174.378]]",9,-60
OE,"[34.3921694, 132.3866531, 34.3918542, 132.3868969]",1,4.0,41,0,False,"[[34.3921664, 132.3866519, 164.218], [34.3918506, 132.3868942, 164.637]]",9,-60
OE,"[34.389855, 132.3857222, 34.39015, 132.3856078]",1,4.0,34,0,False,"[[34.3898547, 132.3857197, 163.248], [34.3901536, 132.3856111, 161.571]]",9,-60
OE,"[34.38956, 132.3858367, 34.389855, 132.3857222]",1,4.0,34,0,False,"[[34.3895572, 132.3858317, 164.967], [34.3898547, 132.3857197, 163.248]]",9,-60
OE,"[34.3896056, 132.3847844, 34.389855, 132.3857222]",1,4.0,90,0,False,"[[34.3896072, 132.3847814, 161.112], [34.3898547, 132.3857194, 163.248]]",9,-60
OE,"[34.39015, 132.3856078, 34.3899006, 132.3846547, 34.3896056, 132.3847844]",1,2.0,126,0,False,"[[34.3901536, 132.3856108, 161.571], [34.3899017, 132.3846561, 159.442], [34.3896072, 132.3847814, 161.112]]",9,-60
OE,"[34.39015, 132.3856078, 34.3903536, 132.3855314]",1,4.0,23,0,False,"[[34.3901536, 132.3856108, 161.571], [34.3903539, 132.3855306, 161.096]]",9,-60
OE,"[34.3892703, 132.3859433, 34.38956, 132.3858367]",1,4.0,33,0,False,"[[34.3892664, 132.3859411, 166.625], [34.3895569, 132.3858319, 164.967]]",9,-60
OE,"[34.38956, 132.3858367, 34.3890767, 132.3839833]",1,2.0,178,0,False,"[[34.3895572, 132.3858317, 164.967], [34.3890792, 132.3839847, 166.322]]",9,-60
