,order,polyline,lane,width,length,oneway_code,is_highway,elevation,roadType
0,OE,"[52.827819606859286, 358.96567719985944, 52.60256259933004, 360.0029305952536, 52.37826220236273, 361.04224866628743, 52.15499213329513, 362.0834200321594, 51.93276494514076, 363.12634808950764, 51.71159229495584, 364.17093791627127, 51.49148583979662, 365.21709459038965, 51.27245723671939, 366.2647231898023, 51.05451814278037, 367.3137287924484, 50.83768021503583, 368.3640164762675, 50.62195511054204, 369.41549131919896, 50.40735448635524, 370.46805839918215, 50.19388999953169, 371.5216227941564, 49.98157330712764, 372.5760895820612, 49.77041606619935, 373.6313638408356, 49.56042993380307, 374.68735064841934, 49.35162656699509, 375.74395508275165, 49.14401762283162, 376.801082221772, 48.93761475836893, 377.8586371434195, 48.732429630663276, 378.91652492563384, 48.5284738635284, 379.97465030045043, 48.325752423428604, 381.0328487271322, 48.12425561053988, 382.09080305548787, 47.92397176927587, 383.1481757847221, 47.724889244050246, 384.2046294140401, 47.52699637927665, 385.2598264426468, 47.330281519368725, 386.3134293697467, 47.13473300874014, 387.3651006945452, 46.94033919180454, 388.41450291624716, 46.74708841297559, 389.4612985340573, 46.55496901666693, 390.5051500471806, 46.36396934729221, 391.5457199548222, 46.174077749265095, 392.5826707561867, 45.985282566999224, 393.61566495047924, 45.797572144908266, 394.64436503690484, 45.61093482740588, 395.66843351466827, 45.42535895890569, 396.68753288297444, 45.24083288382137, 397.7013256410283, 45.057344946566566, 398.70947428803487, 44.87488173305961, 399.71170361551293, 44.693413175915055, 400.70832833570154, 44.51290002609418, 401.6999884084632, 44.333302938561765, 402.6873271942091, 44.154582568282564, 403.67098805334984, 43.97669957022131, 404.6516143462964, 43.79961459934276, 405.62984943345936, 43.62328831061168, 406.6063366752498, 43.44768135899278, 407.58171943207844, 43.272754399450854, 408.5566410643562, 43.098468086950625, 409.5317449324937, 42.924783076456876, 410.50767439690225, 42.751660022934324, 411.4850728179922, 42.579059581347714, 412.4645835561747, 42.406942406661834, 413.4468499718604, 42.235269153841394, 414.4325154254602, 42.0640004778512, 415.42222327738506, 41.893097033655955, 416.4166168880457, 41.72251965575322, 417.4163362091084, 41.552251919376694, 418.4215894195871, 41.38232212364559, 419.4317355373003, 41.21276378490904, 420.44603452182884, 41.04361041951624, 421.463746332754, 40.874895543816365, 422.48413092965706, 40.7066526741586, 423.5064482721191, 40.5389153268921, 424.5299583197213, 40.371717018366056, 425.55392103204497, 40.20509126492964, 426.5775963686712, 40.039071582932, 427.6002442891811, 39.87369148872237, 428.621124753156, 39.70898449864987, 429.6394977201769, 39.54498412906373, 430.65462314982534, 39.38172389631305, 431.6657610016822, 39.21923731674706, 432.6721712353285, 39.05755790671493, 433.673113810346, 38.89671918256581, 434.6678486863154, 38.73675466064891, 435.65563582281817, 38.57769338369392, 436.635844290344, 38.41952745425359, 437.6087441247636, 38.26223076909155, 438.5750493984171, 38.10577709719449, 439.53547730010564, 37.95014020754909, 440.4907450186295, 37.79529386914203, 441.441569742789, 37.64121185096001, 442.38866866138494, 37.487867921989725, 443.3327589632176, 37.33523585121784, 444.27455783708774, 37.183289407631065, 445.21478247179573, 37.0320023602161, 446.154150056142, 36.88134847795957, 447.09337777892705, 36.73130152984823, 448.0331828289515, 36.58183528486876, 448.97428239501585, 36.43292351200782, 449.91739366592054, 36.28453998025211, 450.86323383046613, 36.136658458588336, 451.8125200774533, 35.98925271600314, 452.7659695956821, 35.842296601318665, 453.7242957635591, 35.69577088209002, 454.6878817413391, 35.54966849494987, 455.656529882026, 35.403983612577406, 456.6299835444429, 35.25871040765184, 457.6079860874128, 35.113843052852324, 458.590280869759, 34.96937572085803, 459.57661125030427, 34.82530258434815, 460.56672058787217, 34.68161781600187, 461.5603522412856, 34.538315588498385, 462.5572495693678, 34.39539007451684, 463.55715593094175, 34.25283544673644, 464.5598146848306, 34.110645877836376, 465.56496918985744, 33.96881554049579, 466.57236280484545, 33.82733860739391, 467.5817388886177, 33.6862092512099, 468.59284079999736, 33.54542164462291, 469.6054118978074, 33.404969960312165, 470.6191955408714, 33.264848370956834, 471.63393508801187, 33.12505564045278, 472.6493398966055, 32.98562373442225, 473.6648734400269, 32.8465992185833, 474.67989106685104, 32.70802872171011, 475.69374765867553, 32.569958872576784, 476.7057980970977, 32.43243629995753, 477.7153972637148, 32.295507632626475, 478.7219000401243, 32.159219499357754, 479.72466130792327, 32.02361852892553, 480.7230359487092, 31.88875135010397, 481.7163788440794, 31.754664591667197, 482.7040448756311, 31.62140488238939, 483.68538892496167, 31.489018851044666, 484.6597658736683, 31.357553126407215, 485.6265306033484, 31.227054337251168, 486.5850379955995, 31.09756911235067, 487.5346429320185, 30.969144080479886, 488.4747002942031, 30.84182587041296, 489.4045649637503, 30.71566071940593, 490.3236036599037, 30.590670309775025, 491.2319255265066, 30.466837639024778, 492.1308093521326, 30.344142302839867, 493.02163678020815, 30.222563896904955, 493.9057894541592, 30.102082016904756, 494.7846490174121, 29.982676258523966, 495.65959711339303, 29.864326217447243, 496.5320153855284, 29.74701148935931, 497.40328547724414, 29.630711669944816, 498.27478903196675, 29.51540635488848, 499.1479076931222, 29.401075139874983, 500.0240231041371, 29.28769762058901, 500.9045169084371, 29.175253392715245, 501.7907707494489, 29.06372205193838, 502.6841662705986, 28.95308319394311, 503.58608511531236, 28.843316414414108, 504.49790892701645, 28.73440130903608, 505.42101934913705, 28.62631747349371, 506.35679802510066, 28.51904790682809, 507.3063405253901, 28.412597238089656, 508.26892428579333, 28.30697856581875, 509.2431148296177, 28.20220500829433, 510.22747602101947, 28.098289683795382, 511.22057172415555, 27.995245710600855, 512.2209658031819, 27.893086206989732, 513.2272221222553, 27.79182429124096, 514.237904545532, 27.691473081633525, 515.2515769371685, 27.59204569644638, 516.2668031613211, 27.493555253958505, 517.2821470821467, 27.39601487244887, 518.2961725638013, 27.29943767019642, 519.3074434704415, 27.20383676548013, 520.3145236662236, 27.10922527657898, 521.3159770153044, 27.01561632177193, 522.3103673818399, 26.92302301933795, 523.296258629987, 26.831458487555995, 524.2722146239018, 26.7409352751382, 525.2368163602606, 26.651438976049945, 526.189455632103, 26.562917098489756, 527.1306698489183, 26.475314271157064, 528.0610830352715, 26.38857512275131, 528.9813192157267, 26.302644281971908, 529.892002414848, 26.217466377518324, 530.7937566571999, 26.132986038089953, 531.6872059673466, 26.049147892386255, 532.5729743698525, 25.96589656910664, 533.4516858892815, 25.865706516992326, 534.4470010309558, 25.76743557158326, 535.4424439766781, 25.671043550933998, 536.4380130031216, 25.576491020028037, 537.433706352495, 25.48373929256626, 538.4295222341955, 25.39275043275537, 539.4254588264595, 25.30348725709632, 540.4215142780158, 25.21591333617274, 541.4176867097366, 25.129992996439363, 542.41397421629, 25.04569132201046, 543.4103748677912, 24.96297415644829, 544.4068867114557, 24.88180810455149, 545.4035077732497, 24.80216053414355, 546.4002360595429, 24.723999577861203, 547.3970695587607, 24.64729413494289, 548.3940062430352, 24.572013873017173, 549.3910440698579, 24.49812922989116, 550.3881809837314, 24.42561141533896, 551.3854149178212, 24.354432412890084, 552.3827437956076, 24.284564981617894, 553.380165532538, 24.21598265792804, 554.3776780376783, 24.148659757346863, 555.375279215365, 24.08257137630986, 556.3729669668578, 24.01769339395009, 557.3707391919902, 23.954002473886607, 558.3685937908228, 23.891476066012913, 559.3665286652941, 23.830092408285353, 560.3645417208734, 23.769830528511587, 561.3626308682115, 23.710670246138978, 562.3607940247941, 23.652592174043054, 563.3590291165928, 23.59557772031593, 564.3573340797169, 23.539609090054725, 565.3557068620661, 23.48466928715003, 566.3541454249815, 23.430742116074285, 567.3526477448985, 23.37781218367025, 568.3512118149977, 23.325864900939436, 569.3498356468577, 23.2748864848305, 570.3485172721066, 23.224863960027726, 571.3472547440741, 23.175785160739405, 572.3460461394429, 23.127638732486307, 573.3448895599016, 23.080414133890088, 574.3437831337958, 23.034101638461728, 575.34272501778, 22.988692336389963, 576.3417133984705, 22.94417813632971, 577.3407464940959, 22.900551767190514, 578.3398225561507, 22.857806779924953, 579.3389398710452, 22.815937549317084, 580.3380967617595, 22.77493927577088, 581.3372915894937, 22.734807987098645, 582.3365227553213, 22.695540540309462, 583.3357887018396, 22.657134623397603, 584.3350879148232, 22.619588757130977, 585.3344189248747, 22.58290229683956, 586.3337803090769, 22.547075434203805, 587.3331706926457, 22.51210919904311, 588.3325887505802, 22.478005461104214, 589.3320332093165, 22.444766931849635, 590.3315028483784, 22.412397166246127, 591.3309965020296, 22.380900564553063, 592.330513060926, 22.350282374110922, 593.3300514737674]",2,7.0,235,1,True,"[[52.827819606859286, 358.96567719985944, 16.20297189606101], [52.60256259933004, 360.0029305952536, 16.212098093367104], [52.37826220236273, 361.04224866628743, 16.22131367058647], [52.15499213329513, 362.0834200321594, 16.2306179918475], [51.93276494514076, 363.12634808950764, 16.240012297367176], [51.71159229495584, 364.17093791627127, 16.249497854844062], [51.49148583979662, 365.21709459038965, 16.259075931976746], [51.27245723671939, 366.2647231898023, 16.26874779646382], [51.05451814278037, 367.3137287924484, 16.278514716003862], [50.83768021503583, 368.3640164762675, 16.28837795829546], [50.62195511054204, 369.41549131919896, 16.298338791037192], [50.40735448635524, 370.46805839918215, 16.30839848192765], [50.19388999953169, 371.5216227941564, 16.318558298665415], [49.98157330712764, 372.5760895820612, 16.328819508949074], [49.77041606619935, 373.6313638408356, 16.33918338047721], [49.56042993380307, 374.68735064841934, 16.3496511809484], [49.35162656699509, 375.74395508275165, 16.360224178061234], [49.14401762283162, 376.801082221772, 16.370903639514307], [48.93761475836893, 377.8586371434195, 16.381690833006186], [48.732429630663276, 378.91652492563384, 16.39258702623546], [48.5284738635284, 379.97465030045043, 16.403593478992175], [48.325752423428604, 381.0328487271322, 16.414709867253347], [48.12425561053988, 382.09080305548787, 16.425932377820807], [47.92397176927587, 383.1481757847221, 16.43725673221183], [47.724889244050246, 384.2046294140401, 16.4486786519437], [47.52699637927665, 385.2598264426468, 16.460193858533692], [47.330281519368725, 386.3134293697467, 16.471798073499077], [47.13473300874014, 387.3651006945452, 16.483487018357142], [46.94033919180454, 388.41450291624716, 16.49525641462516], [46.74708841297559, 389.4612985340573, 16.507101983820412], [46.55496901666693, 390.5051500471806, 16.519019447460177], [46.36396934729221, 391.5457199548222, 16.53100452706173], [46.174077749265095, 392.5826707561867, 16.543052944142342], [45.985282566999224, 393.61566495047924, 16.5551604202193], [45.797572144908266, 394.64436503690484, 16.567322676809884], [45.61093482740588, 395.66843351466827, 16.579535435431364], [45.42535895890569, 396.68753288297444, 16.59179441760102], [45.24083288382137, 397.7013256410283, 16.604095344836132], [45.057344946566566, 398.70947428803487, 16.616433938653973], [44.87488173305961, 399.71170361551293, 16.628806896740038], [44.693413175915055, 400.70832833570154, 16.6412201612887], [44.51290002609418, 401.6999884084632, 16.65368477137338], [44.333302938561765, 402.6873271942091, 16.666211819356707], [44.154582568282564, 403.67098805334984, 16.678812397601277], [43.97669957022131, 404.6516143462964, 16.69149759846971], [43.79961459934276, 405.62984943345936, 16.704278514324617], [43.62328831061168, 406.6063366752498, 16.717166237528616], [43.44768135899278, 407.58171943207844, 16.73017186044431], [43.272754399450854, 408.5566410643562, 16.743306475434327], [43.098468086950625, 409.5317449324937, 16.756581174861264], [42.924783076456876, 410.50767439690225, 16.77000705108775], [42.751660022934324, 411.4850728179922, 16.783595196476384], [42.579059581347714, 412.4645835561747, 16.797356703389784], [42.406942406661834, 413.4468499718604, 16.81130266419057], [42.235269153841394, 414.4325154254602, 16.82544417124134], [42.0640004778512, 415.42222327738506, 16.83979231690472], [41.893097033655955, 416.4166168880457, 16.854358193543323], [41.72251965575322, 417.4163362091084, 16.86915282323762], [41.552251919376694, 418.4215894195871, 16.884178325698443], [41.38232212364559, 419.4317355373003, 16.899419312471604], [41.21276378490904, 420.44603452182884, 16.91485835270156], [41.04361041951624, 421.463746332754, 16.930478015532778], [40.874895543816365, 422.48413092965706, 16.94626087010972], [40.7066526741586, 423.5064482721191, 16.96218948557686], [40.5389153268921, 424.5299583197213, 16.97824643107866], [40.371717018366056, 425.55392103204497, 16.994414275759578], [40.20509126492964, 426.5775963686712, 17.01067558876409], [40.039071582932, 427.6002442891811, 17.02701293923665], [39.87369148872237, 428.621124753156, 17.04340889632173], [39.70898449864987, 429.6394977201769, 17.05984602916379], [39.54498412906373, 430.65462314982534, 17.07630690690731], [39.38172389631305, 431.6657610016822, 17.092774098696736], [39.21923731674706, 432.6721712353285, 17.109230173676544], [39.05755790671493, 433.673113810346, 17.125657700991198], [38.89671918256581, 434.6678486863154, 17.14203924978516], [38.73675466064891, 435.65563582281817, 17.158357389202898], [38.57769338369392, 436.635844290344, 17.17459655118778], [38.41952745425359, 437.6087441247636, 17.19075654943866], [38.26223076909155, 438.5750493984171, 17.206844778478867], [38.10577709719449, 439.53547730010564, 17.222868686037604], [37.95014020754909, 440.4907450186295, 17.23883571984404], [37.79529386914203, 441.441569742789, 17.25475332762736], [37.64121185096001, 442.38866866138494, 17.27062895711675], [37.487867921989725, 443.3327589632176, 17.28647005604139], [37.33523585121784, 444.27455783708774, 17.302284072130472], [37.183289407631065, 445.21478247179573, 17.318078453113174], [37.0320023602161, 446.154150056142, 17.333860646718666], [36.88134847795957, 447.09337777892705, 17.34963810067614], [36.73130152984823, 448.0331828289515, 17.365418262714794], [36.58183528486876, 448.97428239501585, 17.38120858056379], [36.43292351200782, 449.91739366592054, 17.397016501952322], [36.28453998025211, 450.86323383046613, 17.412849474609573], [36.136658458588336, 451.8125200774533, 17.428714946264723], [35.98925271600314, 452.7659695956821, 17.444620364646944], [35.842296601318665, 453.7242957635591, 17.4605731396636], [35.69577088209002, 454.6878817413391, 17.47657740348841], [35.54966849494987, 455.656529882026, 17.492631523222986], [35.403983612577406, 456.6299835444429, 17.508733280394807], [35.25871040765184, 457.6079860874128, 17.524880456531353], [35.113843052852324, 458.590280869759, 17.5410708331601], [34.96937572085803, 459.57661125030427, 17.557302191808514], [34.82530258434815, 460.56672058787217, 17.573572314004092], [34.68161781600187, 461.5603522412856, 17.5898789812743], [34.538315588498385, 462.5572495693678, 17.606219975146615], [34.39539007451684, 463.55715593094175, 17.62259307714852], [34.25283544673644, 464.5598146848306, 17.63899606880749], [34.110645877836376, 465.56496918985744, 17.655426731650998], [33.96881554049579, 466.57236280484545, 17.671882847206525], [33.82733860739391, 467.5817388886177, 17.688362197001545], [33.6862092512099, 468.59284079999736, 17.704862562563548], [33.54542164462291, 469.6054118978074, 17.721381725419995], [33.404969960312165, 470.6191955408714, 17.737917467098374], [33.264848370956834, 471.63393508801187, 17.754467569126156], [33.12505564045278, 472.6493398966055, 17.771029091821728], [32.98562373442225, 473.6648734400269, 17.787593880026034], [32.8465992185833, 474.67989106685104, 17.804151485130877], [32.70802872171011, 475.69374765867553, 17.820691448622938], [32.569958872576784, 476.7057980970977, 17.837203311988905], [32.43243629995753, 477.7153972637148, 17.85367661671545], [32.295507632626475, 478.7219000401243, 17.87010090428926], [32.159219499357754, 479.72466130792327, 17.886465716197], [32.02361852892553, 480.7230359487092, 17.902760593925365], [31.88875135010397, 481.7163788440794, 17.918975078961026], [31.754664591667197, 482.7040448756311, 17.935098712790662], [31.62140488238939, 483.68538892496167, 17.951121036900954], [31.489018851044666, 484.6597658736683, 17.96703159277857], [31.357553126407215, 485.6265306033484, 17.982819921910213], [31.227054337251168, 486.5850379955995, 17.998475565782545], [31.09756911235067, 487.5346429320185, 18.013988065882245], [30.969144080479886, 488.4747002942031, 18.029346963696], [30.84182587041296, 489.4045649637503, 18.044541800710483], [30.71566071940593, 490.3236036599037, 18.05956230999627], [30.590670309775025, 491.2319255265066, 18.074410240238848], [30.466837639024778, 492.1308093521326, 18.08910626999301], [30.344142302839867, 493.02163678020815, 18.103672742446314], [30.222563896904955, 493.9057894541592, 18.11813200078631], [30.102082016904756, 494.7846490174121, 18.13250638820054], [29.982676258523966, 495.65959711339303, 18.146818247876563], [29.864326217447243, 496.5320153855284, 18.161089923001917], [29.74701148935931, 497.40328547724414, 18.175343756764157], [29.630711669944816, 498.27478903196675, 18.189602092350835], [29.51540635488848, 499.1479076931222, 18.203887272949498], [29.401075139874983, 500.0240231041371, 18.218221641747693], [29.28769762058901, 500.9045169084371, 18.232627541932967], [29.175253392715245, 501.7907707494489, 18.24712731669287], [29.06372205193838, 502.6841662705986, 18.261743309214957], [28.95308319394311, 503.58608511531236, 18.276497862686774], [28.843316414414108, 504.49790892701645, 18.291413320295867], [28.73440130903608, 505.42101934913705, 18.30651202522979], [28.62631747349371, 506.35679802510066, 18.321816320676096], [28.51904790682809, 507.3063405253901, 18.33734390045696], [28.412597238089656, 508.26892428579333, 18.35308290938385], [28.30697856581875, 509.2431148296177, 18.369009921998096], [28.20220500829433, 510.22747602101947, 18.385101485875886], [28.098289683795382, 511.22057172415555, 18.401334148593413], [27.995245710600855, 512.2209658031819, 18.417684457726864], [27.893086206989732, 513.2272221222553, 18.434128960852433], [27.79182429124096, 514.237904545532, 18.450644205546304], [27.691473081633525, 515.2515769371685, 18.467206739384668], [27.59204569644638, 516.2668031613211, 18.483793109943715], [27.493555253958505, 517.2821470821467, 18.50037986479964], [27.39601487244887, 518.2961725638013, 18.516943551528627], [27.29943767019642, 519.3074434704415, 18.53346071770686], [27.20383676548013, 520.3145236662236, 18.549907910910537], [27.10922527657898, 521.3159770153044, 18.566261678715847], [27.01561632177193, 522.3103673818399, 18.582498568698977], [26.92302301933795, 523.296258629987, 18.598595128436116], [26.831458487555995, 524.2722146239018, 18.614527905503458], [26.7409352751382, 525.2368163602606, 18.630273738708787], [26.651438976049945, 526.189455632103, 18.645823249393104], [26.562917098489756, 527.1306698489183, 18.66118653295707], [26.475314271157064, 528.0610830352715, 18.676375157150286], [26.38857512275131, 528.9813192157267, 18.691400689722325], [26.302644281971908, 529.892002414848, 18.706274698422767], [26.217466377518324, 530.7937566571999, 18.7210087510012], [26.132986038089953, 531.6872059673466, 18.735614415207202], [26.049147892386255, 532.5729743698525, 18.750103258790357], [25.96589656910664, 533.4516858892815, 18.778776755086454], [25.865706516992326, 534.4470010309558, 18.79298454329856], [25.76743557158326, 535.4424439766781, 18.807121781886153], [25.671043550933998, 536.4380130031216, 18.8212000385988], [25.576491020028037, 537.433706352495, 18.835230881186103], [25.48373929256626, 538.4295222341955, 18.849225877397625], [25.39275043275537, 539.4254588264595, 18.87715460169169], [25.30348725709632, 540.4215142780158, 18.89111146527339], [25.21591333617274, 541.4176867097366, 18.905077085696806], [25.129992996439363, 542.41397421629, 18.919052022313664], [25.04569132201046, 543.4103748677912, 18.933033584550337], [24.96297415644829, 544.4068867114557, 18.96100581044518], [24.88180810455149, 545.4035077732497, 18.974991086384357], [24.80216053414355, 546.4002360595429, 18.988972212505395], [24.723999577861203, 547.3970695587607, 19.00294649494879], [24.64729413494289, 548.3940062430352, 19.016911239855048], [24.572013873017173, 549.3910440698579, 19.030863753364688], [24.49812922989116, 550.3881809837314, 19.058721310756134], [24.42561141533896, 551.3854149178212, 19.072620966918947], [24.354432412890084, 552.3827437956076, 19.086497616247183], [24.284564981617894, 553.380165532538, 19.100348564881326], [24.21598265792804, 554.3776780376783, 19.1141711189619], [24.148659757346863, 555.375279215365, 19.127962584629408], [24.08257137630986, 556.3729669668578, 19.15544165786174], [24.01769339395009, 557.3707391919902, 19.169130974977634], [23.954002473886607, 558.3685937908228, 19.18280097973149], [23.891476066012913, 559.3665286652941, 19.19646498295842], [23.830092408285353, 560.3645417208734, 19.21013629549358], [23.769830528511587, 561.3626308682115, 19.223828228172092], [23.710670246138978, 562.3607940247941, 19.25132719729974], [23.652592174043054, 563.3590291165928, 19.26516085541914], [23.59557772031593, 564.3573340797169, 19.27906837702244], [23.539609090054725, 565.3557068620661, 19.29306307294478], [23.48466928715003, 566.3541454249815, 19.307158254021292], [23.430742116074285, 567.3526477448985, 19.321367231087105], [23.37781218367025, 568.3512118149977, 19.335703314977362], [23.325864900939436, 569.3498356468577, 19.350179816527202], [23.2748864848305, 570.3485172721066, 19.36481004657175], [23.224863960027726, 571.3472547440741, 19.37960731594616], [23.175785160739405, 572.3460461394429, 19.394584935485543], [23.127638732486307, 573.3448895599016, 19.409756216025052], [23.080414133890088, 574.3437831337958, 19.425125963334878], [23.034101638461728, 575.34272501778, 19.440656925555434], [22.988692336389963, 576.3417133984705, 19.45629887384012], [22.94417813632971, 577.3407464940959, 19.472001575632518], [22.900551767190514, 578.3398225561507, 19.48771479837623], [22.857806779924953, 579.3389398710452, 19.503388309514854], [22.815937549317084, 580.3380967617595, 19.51897187649198], [22.77493927577088, 581.3372915894937, 19.53441526675121], [22.734807987098645, 582.3365227553213, 19.549668247736133], [22.695540540309462, 583.3357887018396, 19.549668247736133], [22.657134623397603, 584.3350879148232, 19.564680586890347], [22.619588757130977, 585.3344189248747, 19.579402051657443], [22.58290229683956, 586.3337803090769, 19.593782409481022], [22.547075434203805, 587.3331706926457, 19.60777142780468], [22.51210919904311, 588.3325887505802, 19.621318874072006], [22.478005461104214, 589.3320332093165, 19.6343745157266], [22.444766931849635, 590.3315028483784, 19.646888120212054], [22.412397166246127, 591.3309965020296, 19.658809454971962], [22.380900564553063, 592.330513060926, 19.65928697011163], [22.350282374110922, 593.3300514737674, 19.659764485251298]]",1
1,OE,"[22.350282374110922, 593.3300514737674, 22.987569626764056, 593.8596995561512, 23.624856879417194, 594.3893476385349, 24.262144132070333, 594.9189957209187, 24.899431384723467, 595.4486438033025]",1,3.5,1,1,True,"[[22.350282374110922, 593.3300514737674, 19.659764485251298], [22.987569626764056, 593.8596995561512, 19.669323363938474], [23.624856879417194, 594.3893476385349, 19.678882242625647], [24.262144132070333, 594.9189957209187, 19.688441121312824], [24.899431384723467, 595.4486438033025, 19.698]]",1
2,OE,"[22.350282374110922, 593.3300514737674, 23.166873125354805, 593.859700041713, 23.983463876598694, 594.3893486096588, 24.800054627842577, 594.9189971776044, 25.616645379086464, 595.44864574555]",2,7.0,1,1,True,"[[22.350282374110922, 593.3300514737674, 19.659764485251298], [23.166873125354805, 593.859700041713, 19.669823363938473], [23.983463876598694, 594.3893486096588, 19.67988224262565], [24.800054627842577, 594.9189971776044, 19.689941121312824], [25.616645379086464, 595.44864574555, 19.7]]",1
