,meshcode,linkno,geometry
354,533936,2830,
355,533936,2831,
356,533936,2832,
357,533936,2833,
358,533936,2834,
359,533936,2835,
360,533936,2836,
361,533936,2837,
362,533936,2857,
363,533936,2858,
364,533936,2859,
365,533936,2860,
366,533936,2861,
367,533936,2864,
368,533936,2866,
369,533936,2867,
370,533936,2868,
371,533936,2869,
372,533936,2872,
373,533936,2873,
374,533936,2874,
375,533936,2881,
376,533936,2882,
377,533936,2883,
378,533936,2884,
379,533936,2885,
380,533936,2886,
381,533936,2889,
382,533936,2890,
383,533936,2891,
384,533936,2892,
385,533936,2893,
386,533936,2894,
387,533936,2896,
388,533936,2897,
389,533936,2901,
390,533936,2902,
391,533936,2905,
392,533936,2906,
393,533936,2907,
394,533936,2908,
395,533936,2909,
396,533936,2910,
397,533936,2911,
398,533936,2912,
399,533936,2913,
400,533936,2914,
401,533936,2915,
402,533936,2916,
403,533936,2919,
404,533936,2920,
405,533936,2921,
406,533936,2922,
407,533936,2923,
408,533936,2966,
409,533936,2967,
410,533936,2968,
411,533936,2969,
412,533936,2971,
413,533936,2973,
414,533936,2974,
415,533936,2975,
416,533936,2982,
417,533936,2983,
418,533936,2984,
419,533936,2985,
420,533936,2986,
421,533936,2987,
422,533936,2988,
423,533936,2989,
424,533936,2995,
425,533936,2996,
426,533936,2997,
427,533936,2998,
428,533936,2999,
429,533936,3000,
430,533936,3001,
431,533936,3006,
432,533936,3012,
433,533936,3013,
434,533936,3014,
435,533936,3015,
436,533936,3016,
437,533936,3017,
438,533936,3018,
439,533936,3019,
440,533936,3020,
441,533936,3021,
442,533936,3022,
443,533936,3023,
444,533936,3024,
445,533936,3025,
446,533936,3026,
447,533936,3027,
448,533936,3028,
449,533936,3029,
450,533936,3030,
451,533936,3031,
452,533936,3038,
453,533936,3039,
454,533936,3069,
455,533936,3070,
456,533936,3071,
457,533936,3072,
458,533936,3073,
459,533936,3074,
460,533936,3075,
461,533936,3076,
462,533936,3077,
463,533936,3096,
464,533936,3097,
465,533936,3098,
466,533936,3104,
467,533936,3105,
