,meshcode,zuflg,tnodeno,snodeno,slinkno,susno,stype,ichikeido,ichiido,signx,signy,geometry
793,533936,0,1936,1937,4401,1,0,503110578,128382594,503110582,128382595,
794,533936,0,1939,2832,4550,1,0,503110087,128384127,503110231,128384176,
795,533936,0,1940,2833,4551,1,0,503111683,128387393,503111704,128387463,
796,533936,0,1941,5184,4403,1,0,503111969,128388660,503111948,128388661,
797,533936,0,1942,1943,2816,1,0,503112787,128389826,503112665,128389829,
798,533936,0,1943,2836,4558,1,0,503113196,128390526,503113235,128390499,
799,533936,0,1948,1950,4566,1,0,503114587,128382561,503114523,128382503,
800,533936,0,1948,2845,4567,1,0,503114751,128382661,503114667,128382727,
801,533936,0,1949,1950,4407,1,0,503114219,128381461,503114233,128381507,
802,533936,0,1950,1949,4407,1,0,503114260,128381927,503114261,128381911,
803,533936,0,1950,1948,4566,1,0,503114424,128381961,503114459,128381970,
804,533936,0,1969,1970,4410,1,0,503117533,128381061,503117545,128381099,
805,533936,0,1970,2286,4577,1,0,503118024,128382194,503117943,128382298,
806,533936,0,1976,2851,4586,1,0,503124486,128391660,503124315,128391714,
807,533936,0,1985,1984,4414,1,0,503120845,128395826,503120908,128395765,
808,533936,0,1986,1985,4235,1,0,503122441,128395393,503122392,128395416,
809,533936,0,1988,1985,4593,1,0,503121214,128396626,503121305,128396570,
810,533936,0,1989,1990,4416,1,0,503123300,128397093,503123213,128397110,
811,533936,0,1990,673,4598,1,0,503121664,128397625,503121612,128397537,
812,533936,0,1994,1993,4417,1,0,503117777,128397092,503117789,128397062,
813,533936,0,1994,1991,4544,1,0,503117654,128397092,503117638,128397025,
814,533936,0,1996,5219,4418,1,0,503115854,128397059,503115877,128397058,
815,533936,0,1999,2000,4419,1,0,503120886,128403992,503120853,128404007,
816,533936,0,2000,1999,4419,1,0,503119823,128404225,503119833,128404226,
817,533936,0,2000,5231,4602,1,0,503119495,128404425,503119461,128404316,
818,533936,0,2013,6151,5739,1,0,503140032,128360297,503139965,128360343,
819,533936,0,2013,6151,5739,2,0,503140032,128360297,503139884,128360384,
820,533936,0,2018,2016,4422,1,0,503121133,128352864,503120853,128352765,
821,533936,0,2019,2020,5034,1,0,503117902,128354264,503117939,128354231,
822,533936,0,2022,2021,2406,1,0,503121378,128355030,503121232,128354784,
823,533936,0,2022,2861,2858,1,0,503121501,128354664,503121468,128354660,
824,533936,0,2026,2027,2407,1,0,503118228,128359929,503118178,128359925,
825,533936,0,2027,2026,2407,1,0,503117002,128359863,503117002,128359839,
826,533936,0,2031,5434,6971,1,0,503119783,128366163,503119656,128366316,
827,533936,0,2032,2039,5201,1,0,503122892,128365829,503122901,128365820,
828,533936,0,2039,2037,5203,1,0,503125224,128365763,503125007,128365900,
829,533936,0,2041,2040,2408,1,0,503119333,128368063,503119363,128367914,
830,533936,0,2042,2043,4423,1,0,503120110,128369063,503120043,128369048,
831,533936,0,2043,2868,4610,1,0,503123383,128368696,503123354,128368734,
832,533936,0,2049,2048,4425,1,0,503120396,128374862,503120377,128374767,
833,533936,0,2053,2724,2849,1,0,503121501,128377128,503121410,128377196,
834,533936,0,2053,2049,3660,1,0,503120724,128376195,503120807,128376303,
835,533936,0,2059,2058,4427,1,0,503124036,128382527,503124167,128382432,
836,533936,0,2061,375,1598,1,0,503128618,128386327,503128624,128386320,
837,533936,0,2062,2063,2409,1,0,503133035,128391693,503133055,128391631,
838,533936,0,2065,647,4428,1,0,503132749,128403892,503132720,128403877,
839,533936,0,2066,2067,1799,1,0,503134957,128403259,503134994,128403503,
840,533936,0,2067,646,4429,1,0,503136062,128402825,503136048,128402787,
841,533936,0,2068,327,4430,1,0,503137166,128402425,503137177,128402453,
842,533936,0,2070,380,2867,1,0,503136021,128408025,503135853,128408252,
843,533936,0,2074,2075,4071,1,0,503148783,128403560,503148654,128403699,
844,533936,0,2077,2078,5036,1,0,503147884,128396860,503147794,128396800,
845,533936,0,2083,2082,2417,1,0,503150870,128397893,503150846,128397896,
846,533936,0,2083,2082,2417,2,0,503150870,128397893,503151045,128397755,
847,533936,0,2084,2085,2418,1,0,503148742,128399693,503148774,128399664,
848,533936,0,2088,2087,1600,1,0,503168949,128410659,503169168,128410598,
849,533936,0,2094,2095,5038,1,0,503169605,128401093,503169638,128401038,
850,533936,0,2096,2097,5040,1,0,503169073,128397294,503169046,128397248,
851,533936,0,2109,2110,2421,1,0,503179627,128391595,503179612,128391566,
852,533936,0,2112,620,2892,1,0,503175618,128408560,503175597,128408557,
853,533936,0,2114,4770,5885,1,0,503176436,128411392,503176478,128411418,
854,533936,0,2127,2128,2424,1,0,503188462,128408860,503188429,128408851,
855,533936,0,2128,6191,8636,1,0,503186826,128407360,503186839,128407332,
856,533936,0,2129,2130,2425,1,0,503182654,128401161,503182649,128401112,
857,533936,0,2130,2131,4442,1,0,503183349,128401661,503183354,128401631,
858,533936,0,2133,6430,8416,1,0,503181999,128402860,503181886,128402798,
859,533936,0,2134,2888,5224,1,0,503183267,128403560,503183256,128403549,
860,533936,0,2137,4063,6751,1,0,503181672,128394294,503181694,128394341,
861,533936,0,2138,2139,5044,1,0,503182122,128396427,503182270,128396530,
862,533936,0,2144,2143,2427,1,0,503184004,128397761,503183996,128397738,
863,533936,0,2147,2148,4444,1,0,503186376,128399661,503186363,128399674,
864,533936,0,2148,2149,4445,1,0,503187644,128398794,503187522,128398878,
865,533936,0,2157,2156,1602,1,0,503192921,128401094,503192918,128401088,
866,533936,0,2161,2162,2429,1,0,503210019,128411026,503210011,128411030,
867,533936,0,2163,4057,3817,1,0,503207483,128408627,503207460,128408707,
868,533936,0,2164,3102,3142,1,0,503208056,128409860,503208117,128410007,
869,533936,0,2167,617,2430,1,0,503203025,128405094,503202944,128405096,
870,533936,0,2168,2907,4636,1,0,503194026,128396894,503194056,128396733,
871,533936,0,2169,2170,2431,1,0,503184086,128390728,503184091,128390707,
872,533936,0,2170,2174,5046,1,0,503184618,128391528,503184470,128391405,
873,533936,0,2171,142,4448,1,0,503183513,128392262,503183615,128392161,
874,533936,0,2173,2172,4449,1,0,503186009,128390762,503185999,128390738,
875,533936,0,2175,2173,4450,1,0,503186990,128390062,503186979,128390060,
876,533936,0,2179,2173,4631,1,0,503187236,128391662,503187157,128391620,
877,533936,0,2183,2181,4632,1,0,503188912,128392962,503189084,128392914,
878,533936,0,2189,2187,4635,1,0,503191571,128395028,503191528,128395012,
879,533936,0,2193,2194,4454,1,0,503315719,128387499,503315692,128387531,
880,533936,0,2201,3211,4457,1,0,503313838,128387332,503313771,128387334,
881,533936,0,2209,2210,2434,1,0,503323286,128409229,503323279,128409218,
882,533936,0,2210,2209,2434,1,0,503323532,128408230,503323560,128408239,
883,533936,0,2214,2215,2436,1,0,503338954,128402231,503339012,128402247,
884,533936,0,2217,853,1605,1,0,503358752,128409630,503358748,128409624,
885,533936,0,2229,2230,6726,1,0,503427800,128401933,503427891,128401952,
886,533936,0,2230,945,3468,1,0,503431441,128401700,503431622,128401802,
887,533936,0,2230,2229,6726,1,0,503430541,128401900,503430464,128401938,
888,533936,0,2231,3439,5653,1,0,503529983,128401803,503529946,128401697,
889,533936,0,2232,2233,5054,1,0,503526424,128400736,503526463,128400742,
890,533936,0,2236,2237,5056,1,0,503475905,128396434,503475840,128396271,
891,533936,0,2236,3286,5649,1,0,503475006,128396834,503475132,128396621,
892,533936,0,2238,2239,5057,1,0,503480773,128393102,503480742,128393058,
893,533936,0,2239,2238,5057,1,0,503480733,128391235,503480720,128391251,
894,533936,0,2247,3233,3382,1,0,503506790,128390970,503506771,128391029,
895,533936,0,2248,3366,5527,1,0,503525688,128389737,503525692,128389711,
896,533936,0,2251,1233,2441,1,0,503537223,128389872,503537529,128389899,
897,533936,0,2251,4740,3515,1,0,503538164,128389605,503538077,128389613,
898,533936,0,2255,6042,7975,1,0,503525893,128378205,503525902,128378206,
899,533936,0,2258,1081,5475,1,0,503503560,128361040,503503564,128361035,
900,533936,0,2261,1070,4464,1,0,503489487,128367938,503489433,128367899,
901,533936,0,2263,1110,2442,1,0,503510840,128389237,503510858,128389175,
902,533936,0,2263,1110,2442,2,0,503510840,128389237,503510858,128389235,
903,533936,0,2264,3302,3478,1,0,503495296,128370238,503495315,128370209,
904,533936,0,2264,2265,5060,1,0,503494028,128370072,503494064,128370138,
905,533936,0,2267,1094,3356,1,0,503491246,128381904,503491212,128381874,
906,533936,0,2270,1088,5485,1,0,503507527,128371805,503507561,128371772,
907,533936,0,2270,3316,5486,1,0,503507322,128371306,503507284,128371073,
908,533936,0,2271,1087,5061,1,0,503502822,128378005,503502796,128377978,
909,533936,0,2272,4534,5850,1,0,503504254,128379971,503504150,128379970,
910,533936,0,2283,2284,4241,1,0,503119495,128388460,503119494,128388451,
911,533936,0,2284,2283,4241,1,0,503120886,128388061,503120837,128387990,
912,533936,0,2291,2292,4468,1,0,503126041,128394993,503126016,128394975,
913,533936,0,2292,2291,4468,1,0,503126695,128394926,503126655,128394907,
914,533936,0,2292,2579,4639,1,0,503126859,128394726,503126936,128394803,
915,533936,0,2293,1978,5192,1,0,503127145,128390026,503127072,128389962,
916,533936,0,2295,2296,4469,1,0,503152220,128398626,503152203,128398616,
917,533936,0,2297,2550,2576,1,0,503158724,128401326,503158718,128401223,
918,533936,0,2297,4029,3792,1,0,503159011,128400560,503158940,128400601,
919,533936,0,2298,4029,3793,1,0,503157129,128397226,503157096,128397212,
920,533936,0,2303,2108,4619,1,0,503176437,128392094,503176446,128392037,
921,533936,0,2304,2131,2916,1,0,503183963,128400061,503183943,128400068,
922,533936,0,2317,2318,2446,1,0,503206625,128388929,503206682,128388923,
923,533936,0,2318,2320,5355,1,0,503207852,128387663,503207920,128387570,
924,533936,0,2339,4020,3786,1,0,503280379,128330304,503279846,128330507,
925,533936,0,2353,2354,1250,1,0,503145563,128132659,503145555,128132752,
926,533936,0,2354,2356,1252,1,0,503153336,128132426,503153453,128132449,
927,533936,0,2355,2356,1251,1,0,503146055,128121960,503146017,128122052,
928,533936,0,2357,2358,1253,1,0,503161436,128123795,503161465,128123844,
929,533936,0,2358,2392,1266,1,0,503163686,128115629,503163708,128115551,
930,533936,0,2359,2360,1255,1,0,503146301,128117828,503146296,128117908,
