,meshcode,nodeno,symcode,realx,realy,geometry
1463,533936,5396,719999,503273220,128360301,
1464,533936,5398,719999,503260498,128373266,
1465,533936,5399,719999,503102643,128374462,
1466,533936,5399,712231,503102684,128373762,
1467,533936,5399,712231,503102356,128373962,
1468,533936,5399,712105,503100638,128375627,
1469,533936,5399,711708,503100679,128376761,
1470,533936,5400,711100,503273056,128364033,
1471,533936,5402,719999,503103011,128374428,
1472,533936,5402,712231,503102684,128373762,
1473,533936,5402,712231,503102356,128373928,
1474,533936,5402,712105,503100597,128375661,
1475,533936,5402,711708,503100638,128376761,
1476,533936,5440,719999,503265490,128310239,
1477,533936,5440,710428,503264835,128311006,
1478,533936,5452,719999,503262300,128306640,
1479,533936,5452,710106,503259886,128306174,
1480,533936,5453,719999,503261850,128306107,
1481,533936,5453,710106,503259968,128306040,
1482,533936,5454,719999,503254322,128369266,
1483,533936,5458,719999,503099537,128299736,
1484,533936,5459,711805,503125509,128376695,
1485,533936,5464,719999,503225402,128322137,
1486,533936,5472,719999,503145102,128388094,
1487,533936,5486,719999,503107268,128307102,
1488,533936,5506,719999,503254894,128369599,
1489,533936,5520,719999,503258248,128358833,
1490,533936,5537,719999,503267823,128298541,
1491,533936,5541,719999,503268559,128298975,
1492,533936,5553,719999,503270850,128296108,
1493,533936,5558,719999,503270073,128295576,
1494,533936,5560,719999,503262546,128291909,
1495,533936,5564,719999,503275432,128283443,
1496,533936,5583,719999,503491042,128384503,
1497,533936,5583,710438,503491696,128383736,
1498,533936,5583,710500,503492433,128383437,
1499,533936,5583,710201,503494641,128385436,
1500,533936,5583,711900,503492555,128385603,
1501,533936,5587,719999,503092825,128404624,
1502,533936,5594,711720,503152629,128393094,
1503,533936,5595,719999,503167110,128405360,
1504,533936,5595,712101,503166700,128404293,
1505,533936,5596,719999,503174268,128399294,
1506,533936,5596,711400,503175863,128399094,
1507,533936,5596,710438,503174186,128397994,
1508,533936,5599,711720,503228141,128392529,
1509,533936,5599,711900,503227936,128392729,
1510,533936,5599,710116,503226832,128394496,
1511,533936,5623,719999,503172726,128115762,
1512,533936,5626,719999,503299042,128128131,
1513,533936,5642,719999,503147526,128152556,
1514,533936,5645,719999,503272780,128151494,
1515,533936,5667,719999,503104039,128238977,
1516,533936,5671,719999,503121915,128240978,
1517,533936,5681,719999,503121750,128259841,
1518,533936,5681,710438,503123305,128258509,
1519,533936,5686,719999,503240540,128252746,
1520,533936,5688,719999,503406414,128249885,
1521,533936,5695,719999,503239394,128263278,
1522,533936,5699,710116,503108046,128290204,
1523,533936,5706,719999,503216281,128287474,
1524,533936,5715,719999,503410788,128285580,
1525,533936,5721,719999,503207404,128309072,
1526,533936,5725,719999,503241520,128301440,
1527,533936,5725,712210,503240007,128304073,
1528,533936,5730,719999,503289707,128306241,
1529,533936,5746,719999,503224829,128322404,
1530,533936,5777,712210,503244218,128335303,
1531,533936,5777,719999,503246673,128337336,
1532,533936,5785,719999,503370412,128336706,
1533,533936,5793,719999,503199917,128373597,
1534,533936,5793,711417,503201880,128373530,
1535,533936,5793,711400,503199058,128371730,
1536,533936,5794,719999,503199303,128373664,
1537,533936,5794,711417,503201880,128373497,
1538,533936,5794,711400,503199058,128371697,
1539,533936,5796,710438,503209489,128357099,
1540,533936,5797,719999,503214316,128358499,
1541,533936,5801,719999,503252481,128373699,
1542,533936,5816,719999,503140971,128392461,
1543,533936,5818,719999,503137208,128388361,
1544,533936,5821,719999,503147966,128389594,
1545,533936,5839,719999,503500163,128383204,
1546,533936,5839,710428,503499386,128384537,
1547,533936,5839,711600,503497954,128382671,
1548,533936,5839,710201,503494845,128385203,
1549,533936,5843,719999,503105505,128410591,
1550,533936,5843,711400,503106119,128409624,
1551,533936,5845,719999,503089429,128408957,
1552,533936,5845,711900,503090738,128409490,
1553,533936,5847,711805,503126694,128407159,
1554,533936,5847,710428,503127635,128405559,
1555,533936,5853,711720,503169278,128402326,
1556,533936,5853,719999,503170710,128402360,
1557,533936,5855,719999,503173940,128399594,
1558,533936,5855,711400,503175945,128399094,
1559,533936,5855,710438,503174186,128397994,
1560,533936,5856,719999,503174595,128399527,
1561,533936,5856,711400,503175904,128399061,
1562,533936,5856,710438,503174186,128397994,
1563,533936,5860,711505,503252481,128409962,
1564,533936,5860,719999,503251090,128411195,
