,meshcode,linkno,orflg,seccnt,secno,exflg,maxspeed,ssecichi,esecichi,geometry
3164,533936,5348,1,1,1,0,30,0,10000,
3165,533936,5349,1,1,1,0,30,0,10000,
3166,533936,5350,1,1,1,0,30,0,10000,
3167,533936,5351,1,1,1,0,30,0,10000,
3168,533936,5352,1,1,1,0,30,0,10000,
3169,533936,5358,1,1,1,0,30,0,10000,
3170,533936,5359,1,1,1,0,30,0,10000,
3171,533936,5360,1,1,1,1,30,0,10000,
3172,533936,5361,1,1,1,1,30,0,10000,
3173,533936,5362,1,1,1,1,30,0,10000,
3174,533936,5363,1,1,1,1,30,0,10000,
3175,533936,5364,1,1,1,1,30,0,10000,
3176,533936,5365,1,1,1,1,30,0,10000,
3177,533936,5366,1,1,1,1,30,0,10000,
3178,533936,5367,1,1,1,0,30,0,10000,
3179,533936,5369,1,1,1,1,20,0,10000,
3180,533936,5370,1,1,1,1,20,0,10000,
3181,533936,5371,1,1,1,1,20,0,10000,
3182,533936,5372,1,1,1,1,20,0,10000,
3183,533936,5373,1,1,1,0,20,0,10000,
3184,533936,5379,1,1,1,0,30,0,10000,
3185,533936,5384,1,1,1,1,20,0,10000,
3186,533936,5385,1,1,1,1,20,0,10000,
3187,533936,5386,1,1,1,1,20,0,10000,
3188,533936,5387,1,1,1,1,20,0,10000,
3189,533936,5388,1,1,1,0,20,0,10000,
3190,533936,5394,1,1,1,0,30,0,10000,
3191,533936,5399,1,1,1,0,30,0,10000,
3192,533936,5407,1,1,1,1,30,0,10000,
3193,533936,5407,2,1,1,1,30,0,10000,
3194,533936,5440,1,1,1,1,30,0,10000,
3195,533936,5440,2,1,1,0,30,0,10000,
3196,533936,5441,1,1,1,0,30,0,10000,
3197,533936,5441,2,1,1,1,30,0,10000,
3198,533936,5442,1,1,1,1,20,0,10000,
3199,533936,5443,1,1,1,0,20,0,10000,
3200,533936,5444,1,1,1,1,20,0,10000,
3201,533936,5447,1,1,1,0,20,0,10000,
3202,533936,5447,2,1,1,0,20,0,10000,
3203,533936,5448,2,1,1,1,20,0,10000,
3204,533936,5449,2,1,1,0,20,0,10000,
3205,533936,5451,1,1,1,0,30,0,10000,
3206,533936,5451,2,1,1,0,30,0,10000,
3207,533936,5452,1,1,1,1,30,0,10000,
3208,533936,5453,1,1,1,0,30,0,10000,
3209,533936,5454,1,1,1,0,30,0,10000,
3210,533936,5455,1,1,1,0,30,0,10000,
3211,533936,5456,1,1,1,0,30,0,10000,
3212,533936,5457,1,1,1,1,30,0,10000,
3213,533936,5458,1,1,1,0,30,0,10000,
3214,533936,5458,2,1,1,0,30,0,10000,
3215,533936,5459,1,1,1,1,30,0,10000,
3216,533936,5459,2,1,1,0,30,0,10000,
3217,533936,5460,1,1,1,1,30,0,10000,
3218,533936,5460,2,1,1,1,30,0,10000,
3219,533936,5461,1,1,1,0,30,0,10000,
3220,533936,5461,2,1,1,1,30,0,10000,
3221,533936,5462,1,1,1,1,30,0,10000,
3222,533936,5462,2,1,1,0,30,0,10000,
3223,533936,5463,2,1,1,1,30,0,10000,
3224,533936,5464,2,1,1,0,30,0,10000,
3225,533936,5465,1,1,1,0,30,0,10000,
3226,533936,5465,2,1,1,0,30,0,10000,
3227,533936,5466,1,1,1,1,30,0,10000,
3228,533936,5466,2,1,1,0,30,0,10000,
3229,533936,5467,1,1,1,1,30,0,10000,
3230,533936,5467,2,1,1,1,30,0,10000,
3231,533936,5468,1,1,1,0,30,0,10000,
3232,533936,5468,2,1,1,0,30,0,10000,
3233,533936,5469,2,1,1,1,30,0,10000,
3234,533936,5470,2,1,1,0,30,0,10000,
3235,533936,5471,2,1,1,0,30,0,10000,
3236,533936,5473,1,1,1,0,30,0,10000,
3237,533936,5473,2,1,1,0,30,0,10000,
3238,533936,5474,1,1,1,1,30,0,10000,
3239,533936,5474,2,1,1,1,30,0,10000,
3240,533936,5475,2,1,1,0,30,0,10000,
3241,533936,5476,1,1,1,1,30,0,10000,
3242,533936,5476,2,1,1,0,30,0,10000,
3243,533936,5477,1,1,1,0,30,0,10000,
3244,533936,5478,1,1,1,1,30,0,10000,
3245,533936,5478,2,1,1,0,30,0,10000,
3246,533936,5479,2,1,1,1,30,0,10000,
3247,533936,5480,1,1,1,0,30,0,10000,
3248,533936,5480,2,1,1,0,30,0,10000,
3249,533936,5481,2,1,1,0,30,0,10000,
3250,533936,5482,1,1,1,1,30,0,10000,
3251,533936,5483,1,1,1,1,30,0,10000,
3252,533936,5483,2,1,1,0,30,0,10000,
3253,533936,5484,1,1,1,0,30,0,10000,
3254,533936,5484,2,1,1,1,30,0,10000,
3255,533936,5485,1,1,1,1,30,0,10000,
3256,533936,5485,2,1,1,1,30,0,10000,
3257,533936,5486,1,1,1,0,30,0,10000,
3258,533936,5486,2,1,1,0,30,0,10000,
3259,533936,5487,2,1,1,0,30,0,10000,
3260,533936,5489,2,1,1,0,30,0,10000,
3261,533936,5492,1,1,1,0,30,0,10000,
3262,533936,5493,2,1,1,0,30,0,10000,
3263,533936,5494,2,1,1,0,30,0,10000,
3264,533936,5496,2,1,1,0,30,0,10000,
3265,533936,5497,1,1,1,0,30,0,10000,
3266,533936,5499,1,1,1,0,30,0,10000,
3267,533936,5500,1,1,1,1,30,0,10000,
3268,533936,5501,1,1,1,0,30,0,10000,
3269,533936,5501,2,1,1,0,30,0,10000,
3270,533936,5503,1,1,1,0,30,0,10000,
3271,533936,5503,2,1,1,1,30,0,10000,
3272,533936,5504,1,1,1,0,30,0,10000,
3273,533936,5505,1,1,1,0,30,0,10000,
3274,533936,5506,1,1,1,0,30,0,10000,
3275,533936,5508,1,1,1,0,30,0,10000,
3276,533936,5509,1,1,1,0,30,0,10000,
3277,533936,5511,1,1,1,1,30,0,10000,
3278,533936,5511,2,1,1,1,30,0,10000,
3279,533936,5512,1,1,1,0,30,0,10000,
3280,533936,5512,2,1,1,1,30,0,10000,
3281,533936,5513,1,1,1,1,30,0,10000,
3282,533936,5513,2,1,1,0,30,0,10000,
3283,533936,5514,1,1,1,0,30,0,10000,
3284,533936,5514,2,1,1,0,30,0,10000,
3285,533936,5515,1,1,1,1,30,0,10000,
3286,533936,5515,2,1,1,1,30,0,10000,
3287,533936,5518,1,1,1,1,30,0,10000,
3288,533936,5519,1,1,1,1,30,0,10000,
3289,533936,5520,1,1,1,1,30,0,10000,
3290,533936,5521,1,1,1,1,30,0,10000,
3291,533936,5522,1,1,1,0,30,0,10000,
3292,533936,5523,1,1,1,0,30,0,10000,
3293,533936,5524,1,1,1,0,30,0,10000,
3294,533936,5526,1,1,1,0,30,0,10000,
3295,533936,5526,2,1,1,0,30,0,10000,
3296,533936,5527,1,1,1,0,30,0,10000,
3297,533936,5527,2,1,1,0,30,0,10000,
3298,533936,5530,1,1,1,0,30,0,10000,
3299,533936,5531,1,1,1,0,30,0,10000,
3300,533936,5534,1,1,1,1,20,0,10000,
3301,533936,5535,1,1,1,0,20,0,10000,
3302,533936,5536,2,1,1,1,30,0,10000,
3303,533936,5537,1,1,1,0,30,0,10000,
3304,533936,5537,2,1,1,0,30,0,10000,
3305,533936,5538,1,1,1,0,30,0,10000,
3306,533936,5538,2,1,1,0,30,0,10000,
3307,533936,5544,1,1,1,0,30,0,10000,
3308,533936,5546,1,1,1,0,30,0,10000,
3309,533936,5546,2,1,1,0,30,0,10000,
3310,533936,5550,1,1,1,1,30,0,10000,
3311,533936,5551,1,1,1,1,30,0,10000,
3312,533936,5552,1,1,1,1,30,0,10000,
3313,533936,5553,1,1,1,0,30,0,10000,
3314,533936,5554,1,1,1,0,30,0,10000,
3315,533936,5555,1,1,1,0,30,0,10000,
3316,533936,5556,1,1,1,1,30,0,10000,
3317,533936,5558,1,1,1,0,30,0,10000,
3318,533936,5558,2,1,1,0,30,0,10000,
3319,533936,5559,1,1,1,0,30,0,10000,
3320,533936,5560,1,1,1,1,30,0,10000,
3321,533936,5561,1,1,1,1,30,0,10000,
3322,533936,5562,1,1,1,1,30,0,10000,
3323,533936,5563,1,1,1,0,30,0,10000,
3324,533936,5564,1,1,1,1,30,0,10000,
3325,533936,5565,1,1,1,0,30,0,10000,
3326,533936,5566,1,1,1,0,30,0,10000,
3327,533936,5567,1,1,1,1,30,0,10000,
3328,533936,5568,2,1,1,1,30,0,10000,
3329,533936,5569,2,1,1,1,30,0,10000,
3330,533936,5570,1,1,1,0,30,0,10000,
3331,533936,5570,2,1,1,0,30,0,10000,
3332,533936,5573,1,1,1,0,30,0,10000,
3333,533936,5574,1,1,1,0,30,0,10000,
3334,533936,5575,1,1,1,0,30,0,10000,
3335,533936,5576,1,1,1,0,30,0,10000,
3336,533936,5578,1,1,1,0,30,0,10000,
3337,533936,5581,2,1,1,0,30,0,10000,
3338,533936,5582,2,1,1,1,30,0,10000,
3339,533936,5583,1,1,1,0,30,0,10000,
3340,533936,5583,2,1,1,1,30,0,10000,
3341,533936,5584,2,1,1,1,30,0,10000,
3342,533936,5585,1,1,1,1,30,0,10000,
3343,533936,5587,1,1,1,1,30,0,10000,
3344,533936,5587,2,1,1,1,30,0,10000,
3345,533936,5588,1,1,1,1,30,0,10000,
3346,533936,5588,2,1,1,1,30,0,10000,
3347,533936,5596,1,1,1,1,30,0,10000,
3348,533936,5596,2,1,1,0,30,0,10000,
3349,533936,5597,1,1,1,0,30,0,10000,
3350,533936,5597,2,1,1,1,30,0,10000,
3351,533936,5598,2,1,1,0,30,0,10000,
3352,533936,5599,1,1,1,1,30,0,10000,
3353,533936,5599,2,1,1,0,30,0,10000,
3354,533936,5600,1,1,1,0,30,0,10000,
3355,533936,5600,2,1,1,1,30,0,10000,
3356,533936,5601,1,1,1,1,30,0,10000,
3357,533936,5601,2,1,1,1,30,0,10000,
3358,533936,5602,1,1,1,1,30,0,10000,
