,meshcode,tnodeno,snodeno,enodeno,yssnodeno,ysenodeno,geometry
151,533936,261,2340,261,261,4990,
152,533936,261,2340,261,5994,5387,
153,533936,266,267,266,266,2340,
154,533936,266,4200,266,266,267,
155,533936,266,4200,266,266,2340,
156,533936,266,4200,266,6128,5047,
157,533936,266,5967,6128,266,267,
158,533936,266,5967,6128,6128,5751,
159,533936,266,5967,6128,6128,5047,
160,533936,273,115,273,273,274,
161,533936,273,115,273,273,171,
162,533936,273,115,273,6123,4268,
163,533936,273,274,273,273,171,
164,533936,273,274,273,6123,4268,
165,533936,273,274,273,6123,6249,
166,533936,273,4268,6123,6123,6249,
167,533936,273,4268,6123,273,274,
168,533936,273,4268,6123,273,171,
169,533936,273,6503,6123,6123,4268,
170,533936,273,6503,6123,6123,6249,
171,533936,273,6503,6123,273,274,
172,533936,298,296,298,298,404,
173,533936,298,300,298,298,299,
174,533936,302,3475,302,302,5644,
175,533936,328,329,328,328,1408,
176,533936,328,661,328,328,329,
177,533936,328,1408,328,328,4193,
178,533936,328,4193,328,328,661,
179,533936,342,689,342,342,690,
180,533936,358,3782,5667,5667,3780,
181,533936,358,3782,5667,6083,5670,
182,533936,358,4207,358,5667,3780,
183,533936,358,4207,358,6083,5670,
184,533936,358,4207,358,358,5909,
185,533936,358,5670,6083,6083,6620,
186,533936,358,5670,6083,358,5909,
187,533936,358,6686,6083,6083,5670,
188,533936,358,6686,6083,6083,6620,
189,533936,358,6686,6083,358,5909,
190,533936,361,3511,5185,5876,2390,
191,533936,361,5491,361,5876,2390,
192,533936,361,5491,361,5185,3511,
193,533936,361,5491,361,361,5635,
194,533936,361,5510,5185,5185,3511,
195,533936,361,5510,5185,5185,5465,
196,533936,361,5510,5185,361,5635,
197,533936,361,5877,5876,5185,5465,
198,533936,369,2013,3618,369,370,
199,533936,369,4559,369,3618,5791,
200,533936,369,5079,3618,3618,5791,
201,533936,369,5079,3618,3618,2013,
202,533936,369,5079,4867,369,4559,
203,533936,369,5083,4867,3618,2013,
204,533936,369,6270,369,369,4559,
205,533936,369,6270,369,369,370,
206,533936,371,5088,5095,371,5406,
207,533936,372,374,372,372,5413,
208,533936,372,374,372,372,373,
209,533936,372,374,372,3613,344,
210,533936,372,3614,3613,372,5413,
211,533936,372,3614,3613,3613,344,
212,533936,372,3614,3613,3613,350,
213,533936,374,1341,3612,374,372,
214,533936,374,5024,374,374,372,
215,533936,374,5024,374,3612,1341,
216,533936,374,5038,3612,3612,3611,
217,533936,374,5038,3612,374,5717,
218,533936,374,5717,374,3612,3611,
219,533936,374,5718,5946,374,372,
220,533936,374,5718,5946,3612,1341,
221,533936,378,377,378,378,1454,
222,533936,378,377,378,378,215,
223,533936,378,377,378,5382,525,
224,533936,378,5375,5382,5382,525,
225,533936,378,5375,5382,5382,5781,
226,533936,378,5375,5382,378,215,
227,533936,384,385,384,384,657,
228,533936,384,2617,384,384,659,
229,533936,421,420,421,421,2722,
230,533936,421,420,421,421,2566,
231,533936,421,420,421,2052,2053,
232,533936,421,2053,2052,421,2722,
233,533936,421,2566,421,421,2722,
234,533936,421,2566,421,2052,2048,
235,533936,421,2723,2052,2052,2048,
236,533936,421,2723,2052,2052,2053,
237,533936,421,2723,2052,421,2566,
238,533936,425,59,425,425,3476,
239,533936,425,3476,425,425,59,
240,533936,427,2533,5843,427,4596,
241,533936,427,2533,5843,427,1890,
242,533936,427,2533,5843,5843,5586,
243,533936,427,4593,427,427,1890,
244,533936,427,4593,427,5843,2533,
245,533936,427,4596,427,427,1890,
246,533936,427,4596,427,5843,2533,
247,533936,427,4596,427,5843,5586,
248,533936,427,6182,5843,427,4596,
249,533936,427,6182,5843,5843,2533,
250,533936,427,6182,5843,5843,5586,
251,533936,432,2504,432,432,433,
252,533936,432,2504,432,6369,2132,
253,533936,437,436,437,437,4665,
254,533936,437,436,437,437,3143,
255,533936,437,2213,437,437,4665,
256,533936,437,3143,437,437,436,
257,533936,437,3143,437,437,2213,
258,533936,437,3143,437,437,4665,
259,533936,437,4665,437,437,2213,
260,533936,437,4665,437,437,3143,
261,533936,437,4665,437,437,436,
262,533936,440,4123,440,440,777,
263,533936,440,4734,440,440,4736,
264,533936,442,173,442,3537,4724,
265,533936,442,173,442,3537,6820,
266,533936,442,3494,442,3537,3723,
267,533936,442,3494,442,3537,6820,
268,533936,442,4725,3537,442,3494,
269,533936,446,443,446,446,785,
270,533936,446,443,446,446,445,
271,533936,446,443,446,446,802,
272,533936,446,445,446,446,802,
273,533936,446,445,446,446,443,
274,533936,446,445,446,446,785,
275,533936,448,447,448,448,730,
276,533936,448,730,448,448,2402,
277,533936,448,806,448,448,447,
278,533936,448,2402,448,448,806,
279,533936,451,454,451,451,453,
280,533936,451,3232,451,451,452,
281,533936,455,456,6359,455,3370,
