,meshcode,tnodeno,snodeno,slinkno,geometry
0,533936,83,5789,7324,
1,533936,88,5788,7323,
2,533936,91,3479,64,
3,533936,101,5766,7305,
4,533936,411,105,6272,
5,533936,3480,90,65,
6,533936,3499,5979,7799,
7,533936,3502,3994,89,
8,533936,3509,5093,6375,
9,533936,5099,412,6388,
