,Unnamed: 0,meshcode,nodeno,vflg,zuflg,nextflg,zahyocnt,keido1,ido1,keido2,ido2,keido3,ido3,keido4,ido4,keido5,ido5,geometry
0,0,533936,78,0,0,1,11,139.7500375,35.65318805555555,139.7498997222222,35.653125,139.74979888888888,35.65308527777778,139.74969472222222,35.65305166666667,139.74964055555554,35.65303611111111,
1,1,533936,78,0,0,2,11,139.7495336111111,35.65301027777778,139.7494252777778,35.652991666666665,139.749315,35.65297944444445,139.74920583333332,35.652975,139.74909527777777,35.65297611111111,
2,2,533936,78,0,0,3,11,139.7488913888889,35.65299111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3,3,533936,79,0,0,1,8,139.75743916666667,35.65292055555555,139.75758888888888,35.652905833333335,139.75766555555555,35.65290111111111,139.7577777777778,35.65289166666667,139.75789472222223,35.652881388888886,
4,4,533936,79,0,0,2,8,139.75806222222224,35.65286777777778,139.75822416666668,35.65285444444444,139.75830944444445,35.65284666666667,0.0,0.0,0.0,0.0,
5,5,533936,80,1,0,1,8,139.76006,35.654266944444444,139.76004833333334,35.65443833333333,139.76004555555556,35.65457333333333,139.7600461111111,35.65466611111111,139.76004694444444,35.65475361111111,
6,6,533936,80,1,0,2,8,139.7600488888889,35.65493305555555,139.76004833333334,35.65511305555555,139.76004944444443,35.655164166666665,0.0,0.0,0.0,0.0,
7,7,533936,81,0,0,0,3,139.7609786111111,35.66742638888889,139.760775,35.667496666666665,139.7604511111111,35.66760527777778,0.0,0.0,0.0,0.0,
8,8,533936,82,0,0,0,3,139.75872416666667,35.66899055555555,139.75878138888888,35.66911722222222,139.75881222222222,35.66917361111111,0.0,0.0,0.0,0.0,
9,9,533936,83,1,0,1,7,139.75951444444445,35.65948138888889,139.75954611111112,35.6595325,139.75956722222222,35.65956194444444,139.759695,35.659726944444444,139.75985805555555,35.65993111111111,
10,10,533936,83,1,0,2,7,139.76007083333334,35.660185,139.76011222222223,35.66023305555556,0.0,0.0,0.0,0.0,0.0,0.0,
11,11,533936,84,0,0,0,4,139.75217166666667,35.65354555555555,139.7527675,35.65344416666667,139.752925,35.653414444444444,139.75306583333332,35.65339027777778,0.0,0.0,
12,12,533936,85,0,0,0,3,139.75211805555554,35.63691388888889,139.7521725,35.63702,139.75241694444443,35.637501666666665,0.0,0.0,0.0,0.0,
13,13,533936,86,0,0,0,4,139.7551038888889,35.642765555555556,139.7551488888889,35.642849166666664,139.75536277777778,35.643211944444445,139.7554827777778,35.64342388888889,0.0,0.0,
14,14,533936,87,1,0,1,8,139.7603836111111,35.66030444444444,139.76026305555555,35.660154166666665,139.76015333333334,35.660019166666665,139.76004916666668,35.659887222222224,139.76001833333333,35.65984888888889,
15,15,533936,87,1,0,2,8,139.75991027777778,35.65971305555556,139.75982333333334,35.659598611111115,139.75979,35.659550555555555,0.0,0.0,0.0,0.0,
