,meshcode,elcode,linkno,snodeno,enodeno,oneway,netlevel,attrnmno,objectid,geometry
536,533936,042214,7007,5257,5450,1,2,1412,4-33-21-644-16557121,"LINESTRING (503471774 128393135, 503471038 128393269, 503470302 128393435, 503469688 128393535, 503468829 128393635, 503465515 128393934)"
537,533936,043214,7009,5454,5025,1,2,1414,4-33-21-463-48373745,"LINESTRING (503254322 128369266, 503253176 128370399, 503251826 128371766)"
538,533936,042614,7014,757,5488,1,2,1416,4-33-21-166-309054918,"LINESTRING (503158191 128407292, 503157169 128406425)"
539,533936,042214,7016,5185,5465,1,2,1418,4-33-21-644-16556517,"LINESTRING (503154890 128141358, 503150635 128146857)"
540,533936,043214,7021,161,5470,1,2,1423,4-33-21-8-6455629,"LINESTRING (503260171 128363300, 503258453 128365033, 503257307 128366233)"
541,533936,043214,7023,5472,4916,1,4,1424,3-33-21-58-1130991,"LINESTRING (503145102 128388094, 503145225 128388327)"
542,533936,042214,7033,5482,5496,1,2,1428,4-33-21-190-302624464,"LINESTRING (503099703 128244177, 503099581 128244377, 503099458 128244643)"
543,533936,043214,7035,5470,5454,1,2,1429,3-33-21-11-1756743,"LINESTRING (503257307 128366233, 503254322 128369266)"
544,533936,042614,7040,5488,2876,1,2,1431,4-33-21-8-6448602,"LINESTRING (503157169 128406425, 503156351 128405792)"
545,533936,043214,7041,5337,5506,1,2,1432,4-33-21-505-136554658,"LINESTRING (503252644 128371832, 503254117 128370366, 503254894 128369599)"
546,533936,042214,7047,3776,5472,1,2,1436,4-33-21-8-6457028,"LINESTRING (503144939 128387861, 503145102 128388094)"
547,533936,042214,7048,5514,5200,1,2,1437,4-33-21-237-300305840,"LINESTRING (503143353 128157455, 503141144 128164621)"
548,533936,042614,7059,3569,5460,1,2,1442,4-33-21-166-309054956,"LINESTRING (503155574 128406192, 503156515 128406925)"
549,533936,043214,7060,5506,5362,1,2,1443,4-33-21-550-78214602,"LINESTRING (503254894 128369599, 503260784 128363767)"
550,533936,042214,7064,5491,361,1,2,1446,4-33-21-8-6456061,"LINESTRING (503151494 128147291, 503155708 128141725)"
551,533936,042214,7068,5193,5514,1,2,1450,4-33-21-644-16556525,"LINESTRING (503146585 128152290, 503144826 128154690, 503144253 128155523, 503143926 128156223, 503143353 128157455)"
552,533936,043114,7072,5500,4676,0,2,1452,4-33-21-243-307797867,"LINESTRING (503364438 128411497, 503368732 128411664)"
553,533936,042614,7077,5460,3568,1,2,1455,4-33-21-8-6447268,"LINESTRING (503156515 128406925, 503157660 128407825)"
554,533936,042214,7081,5154,5510,1,2,1457,3-33-21-17-793932,"LINESTRING (503158776 128135926, 503156976 128138458)"
555,533936,043114,7087,151,5500,0,2,1460,4-33-21-8-6450491,"LINESTRING (503358874 128411264, 503364438 128411497)"
556,533936,042214,7095,5510,5185,1,2,1465,4-33-21-644-16556499,"LINESTRING (503156976 128138458, 503154890 128141358)"
557,533936,042214,7098,5513,3781,1,2,1468,4-33-21-219-300169677,"LINESTRING (503100725 128244110, 503101298 128243277)"
558,533936,042224,7104,5575,5523,1,2,1470,3-33-21-193-572075,"LINESTRING (503222211 128352667, 503222743 128352233, 503223479 128351533, 503224747 128350168, 503226629 128348068, 503229574 128345168)"
559,533936,043214,7110,5529,5306,1,2,1473,4-33-21-463-48373823,"LINESTRING (503262216 128361233, 503262053 128361400)"
560,533936,042224,7113,5523,5573,1,2,1474,4-33-21-159-307693300,"LINESTRING (503229574 128345168, 503230515 128344234, 503233296 128341235, 503234974 128339369)"
561,533936,042224,7119,5572,5532,1,2,1476,3-33-21-193-572096,"LINESTRING (503234115 128338769, 503233460 128339435, 503232356 128340235, 503230310 128341835, 503229083 128343034, 503227366 128344701)"
562,533936,042224,7123,5532,5574,1,2,1477,4-33-21-159-307693319,"LINESTRING (503227366 128344701, 503226097 128345934, 503222866 128348934, 503221884 128349933, 503220452 128351533)"
563,533936,042214,7127,5537,5519,1,2,1478,4-33-21-548-170235748,"LINESTRING (503267823 128298541, 503266555 128300008, 503263895 128303574)"
564,533936,042214,7133,5519,5453,1,2,1479,4-33-21-548-170235677,"LINESTRING (503263895 128303574, 503263405 128304174, 503261850 128306107)"
565,533936,042414,7137,5340,5309,1,2,1480,3-33-21-188-614180,"LINESTRING (503240374 128332403, 503240006 128332803)"
566,533936,042214,7140,5528,5541,1,2,1481,4-33-21-548-170235764,"LINESTRING (503263936 128304740, 503266923 128300941, 503268559 128298975)"
567,533936,042414,7142,5315,5263,1,2,1482,3-33-21-188-614189,"LINESTRING (503240865 128333336, 503241315 128333036)"
568,533936,042214,7144,5452,5528,1,2,1483,4-33-21-548-170235629,"LINESTRING (503262300 128306640, 503263936 128304740)"
569,533936,042214,7173,5553,3871,1,2,1502,4-33-21-548-170236188,"LINESTRING (503270850 128296108, 503271709 128294642, 503272445 128293409, 503273182 128291909, 503273632 128290876, 503274409 128288877, 503275923 128284543, 503276127 128283510)"
570,533936,042214,7187,5309,5572,1,2,1514,4-33-21-159-307693281,"LINESTRING (503240006 128332803, 503234687 128338235, 503234115 128338769)"
571,533936,042214,7191,5568,5553,1,2,1515,4-33-21-548-170237420,"LINESTRING (503269786 128297408, 503270850 128296108)"
572,533936,042214,7192,5574,5347,1,2,1516,4-33-21-503-115561604,"LINESTRING (503220452 128351533, 503220370 128351633, 503219511 128352767, 503218857 128353667)"
573,533936,042214,7193,5541,5568,1,2,1517,4-33-21-548-170235884,"LINESTRING (503268559 128298975, 503269786 128297408)"
574,533936,042214,7194,5353,5575,1,2,1518,4-33-21-159-307693338,"LINESTRING (503220002 128354433, 503221352 128353367, 503222211 128352667)"
575,533936,042214,7195,5570,5537,1,2,1519,4-33-21-548-170237445,"LINESTRING (503269050 128297008, 503267823 128298541)"
576,533936,042214,7196,5558,5570,1,2,1520,4-33-21-548-170236253,"LINESTRING (503270073 128295576, 503269050 128297008)"
577,533936,042214,7211,5649,5214,1,2,1529,4-33-21-588-104654032,"LINESTRING (503133453 128182052, 503133290 128182419, 503130549 128187285)"
578,533936,042114,7214,5653,724,1,2,1530,7-33-21-484-3009783,"LINESTRING (503109931 128204548, 503110012 128208647, 503110176 128210781, 503110340 128212314)"
579,533936,042214,7221,358,5909,1,2,1531,4-33-21-8-6447121,"LINESTRING (503103016 128239043, 503102852 128239310, 503100317 128243243)"
580,533936,042214,7229,3463,6098,1,2,1533,4-33-21-8-6449814,"LINESTRING (503099784 128257841, 503100275 128263607, 503100275 128263740)"
581,533936,041114,7231,5679,5496,1,2,1534,7-33-21-271-5423142,"LINESTRING (503099825 128247109, 503099539 128246676, 503099457 128246542, 503099416 128246342, 503099417 128246142, 503099458 128245909, 503099826 128244810, 503099867 128244710, 503099826 128244677, 503099703 128244643, 503099458 128244643)"
582,533936,041114,7248,5700,5929,0,2,1537,7-33-21-155-4879034,"LINESTRING (503104324 128285038, 503103465 128285305)"
583,533936,043124,7261,5032,5717,0,2,1544,4-33-21-552-14730973,"LINESTRING (503116307 128314502, 503117248 128314502)"
584,533936,042214,7262,741,5718,1,2,1545,4-33-21-8-6446619,"LINESTRING (503113527 128305103, 503114058 128306170, 503116226 128310469, 503117207 128312435)"
585,533936,043114,7264,5717,374,0,2,1546,4-33-21-216-346742299,"LINESTRING (503117248 128314502, 503118271 128314502)"
586,533936,041114,7265,5718,5946,1,2,1547,7-33-21-314-6138925,"LINESTRING (503117207 128312435, 503118026 128313169, 503118271 128313635, 503118762 128314502)"
587,533936,043214,7276,115,273,1,2,1553,4-33-21-8-6457597,"LINESTRING (503288888 128308474, 503288479 128311607)"
588,533936,042214,7289,5969,3702,1,2,1557,4-33-21-634-68692167,"LINESTRING (503324679 128325339, 503324761 128326139)"
589,533936,042214,7312,1435,5773,1,2,1576,7-33-21-215-45709619,"LINESTRING (503131524 128340566, 503132055 128341732, 503132301 128342232)"
590,533936,042214,7313,6160,5326,1,2,1577,4-33-21-503-115561654,"LINESTRING (503217711 128356267, 503217957 128356033, 503218488 128355600, 503219429 128354867)"
