,meshcode,elcode,linkno,snodeno,enodeno,oneway,netlevel,attrnmno,objectid,geometry
610,533936,082114,2160,288,279,0,0,0,4-33-21-8-6497792,"LINESTRING (503244469 128229649, 503241564 128233116)"
611,533936,082114,2161,279,286,0,0,0,4-33-21-8-6497803,"LINESTRING (503241564 128233116, 503238741 128236582)"
612,533936,082114,2162,286,277,0,0,0,4-33-21-8-6497814,"LINESTRING (503238741 128236582, 503235919 128240081)"
613,533936,082114,2163,277,593,0,0,0,4-33-21-8-6497825,"LINESTRING (503235919 128240081, 503233014 128243647)"
614,533936,082114,2164,613,614,0,0,0,4-33-21-8-6497888,"LINESTRING (503194312 128401061, 503197338 128400327, 503199834 128399727)"
615,533936,082114,2165,400,617,0,0,0,4-33-21-8-6497907,"LINESTRING (503208424 128406761, 503207156 128403927)"
616,533936,082114,2166,618,619,0,0,0,4-33-21-8-6497918,"LINESTRING (503186172 128395861, 503187194 128396561)"
617,533936,082114,2167,623,624,1,0,0,4-33-21-8-6497937,"LINESTRING (503170299 128410125, 503171649 128409060)"
618,533936,082114,2168,629,630,0,0,0,4-33-21-8-6497958,"LINESTRING (503154674 128404426, 503155901 128403393)"
619,533936,081114,2169,633,632,1,0,0,4-33-21-8-6497977,"LINESTRING (503133363 128405759, 503132299 128406159, 503132013 128406359)"
620,533936,082114,2170,635,634,1,0,0,4-33-21-8-6497996,"LINESTRING (503136757 128404592, 503135162 128405159)"
621,533936,082114,2171,637,124,1,4,0,4-33-21-8-6498015,"LINESTRING (503141993 128402925, 503140439 128403459)"
622,533936,082114,2172,665,666,0,0,0,4-33-21-8-6498034,"LINESTRING (503094379 128407858, 503096466 128407191)"
623,533936,082114,2173,667,668,0,0,0,4-33-21-8-6498053,"LINESTRING (503109883 128402759, 503108860 128403059)"
624,533936,082114,2174,669,673,0,0,0,4-33-21-8-6498072,"LINESTRING (503120395 128399259, 503119823 128398225)"
625,533936,082114,2175,674,675,0,0,0,4-33-21-8-6498095,"LINESTRING (503116101 128390926, 503115569 128389826)"
626,533936,082114,2176,676,677,0,0,0,4-33-21-8-6498118,"LINESTRING (503113401 128385161, 503112787 128383761)"
627,533936,082114,2177,678,679,0,0,0,4-33-21-8-6498141,"LINESTRING (503110252 128365129, 503110047 128362096)"
628,533936,082114,2178,680,681,0,0,0,4-33-21-8-6498164,"LINESTRING (503109679 128357597, 503109556 128355764)"
629,533936,082114,2179,682,681,0,0,0,4-33-21-8-6498187,"LINESTRING (503109393 128353497, 503109556 128355764)"
630,533936,082114,2180,678,687,0,0,0,4-33-21-8-6498210,"LINESTRING (503110252 128365129, 503106693 128365463)"
631,533936,082114,2181,688,654,0,0,0,4-33-21-8-6498229,"LINESTRING (503102767 128365862, 503100803 128366028)"
632,533936,082114,2182,691,692,0,0,0,4-33-21-8-6498248,"LINESTRING (503124489 128314535, 503124612 128313135, 503124612 128305936)"
633,533936,082114,2183,692,693,0,0,0,4-33-21-8-6498259,"LINESTRING (503124612 128305936, 503124653 128302803)"
634,533936,082114,2184,694,355,0,0,0,4-33-21-8-6498278,"LINESTRING (503118108 128302803, 503120849 128301303)"
635,533936,082114,2185,695,696,0,0,0,4-33-21-8-6498297,"LINESTRING (503122117 128300604, 503124694 128299271)"
636,533936,082114,2186,692,699,0,0,0,4-33-21-8-6498327,"LINESTRING (503124612 128305936, 503121953 128305970)"
637,533936,082114,2187,699,382,0,0,0,4-33-21-8-6498346,"LINESTRING (503121953 128305970, 503118108 128305970)"
638,533936,082114,2188,382,352,0,0,0,4-33-21-8-6498365,"LINESTRING (503118108 128305970, 503118068 128304070)"
639,533936,082114,2189,352,694,0,0,0,4-33-21-8-6498376,"LINESTRING (503118068 128304070, 503118108 128302803)"
640,533936,082114,2190,694,354,0,0,0,4-33-21-8-6498395,"LINESTRING (503118108 128302803, 503116922 128300303)"
641,533936,082114,2191,699,353,0,0,0,4-33-21-8-6498425,"LINESTRING (503121953 128305970, 503121994 128304036)"
642,533936,082114,2192,353,706,0,0,0,4-33-21-8-6498444,"LINESTRING (503121994 128304036, 503122076 128301970)"
643,533936,082114,2193,671,749,0,0,0,4-33-21-8-6498463,"LINESTRING (503124282 128388127, 503121541 128389060)"
644,533936,082114,2194,674,750,0,0,0,4-33-21-8-6498482,"LINESTRING (503116101 128390926, 503114792 128391360)"
645,533936,082114,2195,652,751,0,0,0,4-33-21-8-6498501,"LINESTRING (503111028 128392626, 503110865 128392693)"
646,533936,082114,2196,752,753,0,0,0,4-33-21-8-6498512,"LINESTRING (503105260 128394459, 503103787 128394959)"
647,533936,082114,2197,757,758,0,0,0,4-33-21-8-6498531,"LINESTRING (503158191 128407292, 503159460 128406093)"
648,533936,082124,2198,394,321,0,0,0,4-33-21-8-6498550,"LINESTRING (503164164 128401560, 503163632 128402026, 503162241 128403493)"
649,533936,082114,2199,405,586,0,0,0,4-33-21-8-6498571,"LINESTRING (503283162 128316606, 503278989 128316239)"
650,533936,082114,2200,772,644,1,4,0,4-33-21-8-6498590,"LINESTRING (503144325 128401860, 503143916 128402160, 503143343 128402493)"
651,533936,082114,2201,774,186,1,2,0,4-33-21-8-6498609,"LINESTRING (503169890 128407693, 503167519 128405660)"
652,533936,082114,2202,440,777,0,0,0,4-33-21-8-6498630,"LINESTRING (503537591 128404670, 503537468 128403803, 503537509 128403470, 503537591 128403170)"
653,533936,082114,2203,444,26,0,0,0,4-33-21-8-6498668,"LINESTRING (503091768 128221145, 503088373 128220245)"
654,533936,082114,2204,174,38,0,0,0,4-33-21-8-6498687,"LINESTRING (503090374 128301802, 503088370 128302202)"
655,533936,082114,2205,146,4642,0,0,0,4-33-21-8-6498706,"LINESTRING (503283487 128411528, 503283528 128411662)"
656,533936,082114,2206,678,793,0,0,0,4-33-21-8-6498725,"LINESTRING (503110252 128365129, 503110006 128366763)"
657,533936,082114,2207,440,4736,0,0,0,4-33-21-8-6498748,"LINESTRING (503537591 128404670, 503538328 128408702)"
658,533936,082112,2208,795,796,0,0,0,4-33-21-8-6498802,"LINESTRING (503091890 128243542, 503093526 128238277, 503094140 128236410)"
659,533936,082112,2209,797,785,0,0,0,4-33-21-8-6498811,"LINESTRING (503089968 128217713, 503090009 128215480, 503089968 128215046)"
660,533936,082112,2210,814,815,0,0,0,4-33-21-8-6498846,"LINESTRING (503102325 128160753, 503100075 128160753)"
661,533936,082112,2211,833,834,0,0,0,4-33-21-8-6498872,"LINESTRING (503318787 128405464, 503316210 128405164)"
662,533936,082112,2212,837,838,0,0,0,4-33-21-8-6498881,"LINESTRING (503319278 128398031, 503319442 128397065)"
663,533936,082112,2213,476,851,0,0,0,4-33-21-8-6498898,"LINESTRING (503321078 128390432, 503319033 128389866, 503318337 128389799)"
664,533936,082114,2214,435,853,0,0,0,4-33-21-8-6498907,"LINESTRING (503350653 128410897, 503350653 128409264)"
665,533936,082114,2215,854,855,0,0,0,4-33-21-8-6498926,"LINESTRING (503350857 128405797, 503339404 128405330)"
666,533936,082112,2216,856,857,0,0,0,4-33-21-8-6498945,"LINESTRING (503345375 128401265, 503339567 128400865)"
667,533936,082114,2217,860,861,0,0,0,4-33-21-8-6498965,"LINESTRING (503315598 128375567, 503317275 128373900)"
668,533936,082112,2218,569,863,0,0,0,4-33-21-8-6499003,"LINESTRING (503328319 128369301, 503329137 128368534)"
669,533936,082112,2219,864,865,0,0,0,4-33-21-8-6499020,"LINESTRING (503326233 128367934, 503326969 128367201)"
670,533936,082114,2220,866,867,0,0,0,4-33-21-8-6499029,"LINESTRING (503324474 128366768, 503325210 128366034)"
671,533936,082112,2221,868,869,0,0,0,4-33-21-8-6499048,"LINESTRING (503321447 128364834, 503322224 128364102)"
672,533936,082112,2222,513,863,0,0,0,4-33-21-8-6499065,"LINESTRING (503332041 128370501, 503329137 128368534)"
673,533936,082112,2223,870,871,0,0,0,4-33-21-8-6499074,"LINESTRING (503332655 128369834, 503329710 128367934)"
674,533936,082112,2224,872,873,0,0,0,4-33-21-8-6499083,"LINESTRING (503323860 128364069, 503324556 128363402)"
675,533936,082112,2225,873,874,0,0,0,4-33-21-8-6499092,"LINESTRING (503324556 128363402, 503326560 128364702)"
676,533936,082112,2226,514,875,0,0,0,4-33-21-8-6499101,"LINESTRING (503334700 128367801, 503333514 128367068)"
