,meshcode,zuflg,tnodeno,snodeno,slinkno,susno,stype,ichikeido,ichiido,signx,signy,geometry
0,513244,0,116,5330,3900,1,0,477134579,123732856,477134543,123732858,
1,513244,0,122,1340,5397,1,0,477038780,123728555,477038672,123728632,
2,513244,0,129,4043,1198,1,0,477229887,123803517,477229885,123803492,
3,513244,0,130,7174,8586,1,0,477226166,123799550,477226171,123799523,
4,513244,0,134,7152,8500,1,0,477258766,123824784,477258786,123824775,
5,513244,0,150,3518,6247,1,0,477059155,123637302,477059212,123637333,
6,513244,0,155,1373,5396,1,0,477037185,123729755,477036898,123729737,
7,513244,0,159,4068,1200,1,0,477220888,123790651,477221077,123790556,
8,513244,0,162,4971,6999,1,0,477208617,123775086,477208922,123775132,
9,513244,0,171,1633,997,1,0,477266743,123828149,477266851,123828128,
10,513244,0,178,904,4528,1,0,477067700,123722624,477067807,123722670,
11,513244,0,181,3620,6328,1,0,477124150,123678231,477124096,123678240,
12,513244,0,183,3619,6325,1,0,477119242,123672064,477119252,123672065,
13,513244,0,183,3619,6325,2,0,477119242,123672064,477119075,123671775,
14,513244,0,194,7149,8536,1,0,477033947,123901938,477033953,123901960,
15,513244,0,195,3709,6381,1,0,477035788,123903672,477035820,123903659,
16,513244,0,197,7246,8877,1,0,477036034,123884107,477036001,123884577,
17,513244,0,208,5949,7358,1,0,477350561,123625343,477350151,123625248,
18,513244,0,208,5958,7363,1,0,477350766,123625010,477350861,123625009,
19,513244,0,209,5953,7360,1,0,477341890,123622076,477341887,123622076,
20,513244,0,220,3715,6383,1,0,477036075,123882974,477036056,123882977,
21,513244,0,227,5975,9409,1,0,477372773,123645142,477372722,123645179,
22,513244,0,227,7858,9602,1,0,477373427,123644575,477373427,123644554,
23,513244,0,231,1259,5896,1,0,477138836,123650568,477138814,123650517,
24,513244,0,241,247,1610,1,0,477090035,123685796,477089831,123685604,
25,513244,0,241,247,1610,2,0,477090035,123685796,477090576,123685843,
26,513244,0,243,246,1609,1,0,477060013,123654932,477060115,123654812,
27,513244,0,244,245,1608,1,0,477050932,123650500,477051066,123650152,
28,513244,0,249,248,1611,1,0,477065412,123673630,477065331,123673815,
29,513244,0,249,255,1634,1,0,477065453,123672963,477065513,123672793,
30,513244,0,254,255,1612,1,0,477058131,123665398,477058285,123665492,
31,513244,0,255,254,1612,1,0,477067212,123670398,477067057,123670222,
32,513244,0,258,946,1693,1,0,477040621,123717257,477040543,123717157,
33,513244,0,258,953,4786,1,0,477041153,123717591,477041325,123717817,
34,513244,0,264,265,874,1,0,477139938,123736356,477139914,123736294,
35,513244,0,275,1063,4588,1,0,477037019,123792016,477037246,123792027,
36,513244,0,275,7717,9707,1,0,477036569,123792449,477036574,123792213,
37,513244,0,277,3321,3129,1,0,477025443,123795949,477025587,123795988,
