,meshcode,nodeno,symcode,realx,realy,geometry
258,513244,604,719999,477168244,123735190,
259,513244,608,719999,477155155,123747521,
260,513244,632,712227,477121653,123746221,
261,513244,635,710421,477101814,123752321,
262,513244,642,711720,477081443,123749988,
263,513244,651,719999,477066472,123747321,
264,513244,651,711707,477067740,123747421,
265,513244,666,719999,477047083,123749120,
266,513244,666,711600,477045733,123748054,
267,513244,671,711900,477220111,123796117,
268,513244,685,710421,477191519,123805582,
269,513244,744,719999,477034074,123804315,
270,513244,744,711720,477036978,123803682,
271,513244,771,711900,477131512,123709593,
272,513244,771,711708,477132371,123710659,
273,513244,775,710116,477150287,123724792,
274,513244,830,719999,477183338,123752754,
275,513244,901,719999,477112205,123707959,
276,513244,901,711501,477113064,123712326,
277,513244,903,719999,477116664,123709993,
278,513244,903,711500,477113391,123713459,
279,513244,991,710600,477190782,123770652,
280,513244,991,711900,477189841,123770019,
281,513244,1032,711500,477121080,123778851,
282,513244,1101,719999,477038984,123747288,
283,513244,1305,719999,477089706,123740155,
284,513244,1305,711900,477090729,123739289,
285,513244,1305,710438,477094083,123739855,
286,513244,1305,711900,477093183,123740222,
287,513244,1307,719999,477098011,123737589,
288,513244,1375,719999,477018940,123749920,
289,513244,1375,711400,477019677,123750120,
290,513244,1375,710421,477019063,123748587,
291,513244,1375,711900,477021108,123749287,
292,513244,1375,710105,477019554,123747387,
293,513244,1376,719999,477024871,123746387,
294,513244,1376,710105,477019554,123747387,
295,513244,1388,711500,477291571,123854015,
296,513244,1402,711900,477223057,123806317,
297,513244,1408,710105,477183788,123816114,
298,513244,1552,711717,477151676,123814781,
299,513244,1552,711701,477152494,123815514,
300,513244,1556,711900,477129304,123670965,
301,513244,1557,711900,477119651,123668532,
302,513244,1577,719999,477015177,123760386,
303,513244,1577,711600,477017222,123758419,
304,513244,1583,719999,476997832,123782083,
305,513244,1583,711719,476996482,123780250,
306,513244,1590,710438,477236677,123817516,
307,513244,1612,719999,476996280,123728689,
308,513244,1612,711964,476995175,123728722,
309,513244,1612,710421,476995339,123727989,
310,513244,1612,711900,476995666,123727122,
311,513244,1614,719999,477108850,123732090,
312,513244,1615,719999,477101200,123736656,
313,513244,1615,711805,477100465,123737322,
314,513244,1617,719999,476997630,123720023,
315,513244,1618,710438,477094083,123739855,
316,513244,1618,711900,477093183,123740222,
317,513244,1621,719999,477073958,123745021,
318,513244,1621,710500,477075594,123745188,
319,513244,1623,719999,477000286,123788549,
320,513244,1624,719999,477055141,123748888,
321,513244,1624,711914,477057964,123747821,
322,513244,1624,710500,477053669,123749388,
323,513244,1625,719999,477121654,123712426,
324,513244,1625,711914,477122881,123714026,
325,513244,1651,719999,477067907,123655133,
326,513244,1651,711000,477070444,123656332,
327,513244,1651,710600,477066885,123658665,
328,513244,1651,710500,477068767,123654033,
329,513244,1651,711964,477068357,123652800,
330,513244,1652,710104,477066681,123651166,
331,513244,1653,719999,477083246,123659365,
332,513244,1654,710600,477066885,123658699,
333,513244,1654,711000,477070485,123656332,
334,513244,1654,710116,477074861,123660132,
335,513244,1654,711900,477072489,123659099,
336,513244,1659,710220,477143214,123622105,
337,513244,1669,719999,477130451,123619171,
338,513244,1669,712231,477131065,123619038,
339,513244,1669,710438,477129430,123618938,
340,513244,1669,710116,477132129,123619938,
341,513244,1689,719999,477105213,123644235,
342,513244,1689,710428,477107381,123643835,
343,513244,1807,711600,477106603,123658033,
344,513244,1827,710438,477129143,123618571,
345,513244,1855,719999,477109137,123718125,
346,513244,1855,712231,477109464,123718258,
347,513244,1855,711502,477108032,123716425,
348,513244,1867,719999,477140634,123713226,
349,513244,1867,711720,477140470,123715726,
350,513244,1867,710421,477141575,123714359,
351,513244,1876,719999,477112572,123733556,
352,513244,1876,711722,477110610,123733623,
353,513244,1876,710600,477115763,123736356,
354,513244,1880,719999,476994972,123707592,
355,513244,1898,719999,477035384,123770585,
356,513244,1898,711900,477035220,123769618,
357,513244,1898,711900,477034484,123771318,
358,513244,1898,711600,477034770,123770851,
359,513244,1975,719999,477045158,123835645,
360,513244,1975,711900,477045813,123835179,
361,513244,1975,711900,477045403,123836845,
362,513244,2100,712210,477115315,123667599,
363,513244,2116,710201,477125868,123686430,
364,513244,2142,711900,477124150,123682830,
365,513244,2143,719999,477125214,123683897,
366,513244,2143,711900,477124150,123682863,
367,513244,2144,711716,477115927,123724491,
368,513244,2144,711201,477117890,123723357,
