,meshcode,grno,grnode1,grnode2,grnode3,grnode4,grnode5,geometry
0,513244,1,113,114,0,0,0,
1,513244,2,148,7412,0,0,0,
2,513244,3,152,1653,0,0,0,
3,513244,4,165,4360,0,0,0,
4,513244,5,325,352,0,0,0,
5,513244,6,485,8054,0,0,0,
6,513244,7,8248,8408,0,0,0,
7,513244,8,186,1625,7123,0,0,
8,513244,9,221,8294,8438,0,0,
9,513244,10,274,327,7283,0,0,
10,513244,11,276,280,7088,0,0,
11,513244,12,299,3477,6676,0,0,
12,513244,13,354,412,7093,0,0,
13,513244,14,355,413,7100,0,0,
14,513244,15,604,3166,6667,0,0,
15,513244,16,7083,8402,8434,0,0,
16,513244,17,8417,8444,8446,0,0,
17,513244,18,101,103,104,105,0,
