,meshcode,tnodeno,snodeno,enodeno,tlanesu,lanesu,hodo,sokusen,high,laneno,klanecd,flanecd,ysnodeno,yenodeno,geometry
83,513244,123,122,123,2,2,1,1,2,2,1,2,0,0,
84,513244,123,123,122,2,2,1,1,2,0,0,0,0,0,
85,513244,123,123,6652,2,2,1,1,2,0,0,0,0,0,
86,513244,123,6005,123,1,1,1,2,3,1,1,2,0,0,
87,513244,123,6652,123,2,2,1,1,2,1,1,2,0,0,
88,513244,123,6652,123,2,2,1,1,2,2,1,2,0,0,
89,513244,124,124,126,2,2,2,1,2,0,0,0,0,0,
90,513244,124,124,6762,2,2,1,1,2,0,0,0,0,0,
91,513244,124,126,124,2,2,2,1,2,1,1,2,0,0,
92,513244,124,126,124,2,2,2,1,2,2,1,2,0,0,
93,513244,124,3576,124,1,1,2,1,2,1,1,2,0,0,
94,513244,124,6762,124,2,2,2,1,2,1,1,2,0,0,
95,513244,124,6762,124,2,2,2,1,2,2,1,2,0,0,
96,513244,125,125,3575,1,1,1,1,2,0,0,0,0,0,
97,513244,125,125,5516,2,2,1,1,2,0,0,0,0,0,
98,513244,125,125,6762,2,2,2,1,2,0,0,0,0,0,
99,513244,125,5516,125,2,2,1,1,2,1,1,2,0,0,
100,513244,125,5516,125,2,2,1,1,2,2,1,2,0,0,
101,513244,125,6762,125,2,2,1,1,2,1,1,2,0,0,
102,513244,125,6762,125,2,2,1,1,2,2,1,2,0,0,
103,513244,126,59,126,1,1,2,2,2,1,1,2,0,0,
104,513244,126,124,126,2,2,2,1,2,1,1,2,126,2075,
105,513244,126,124,126,2,2,2,1,2,2,1,2,126,2075,
106,513244,126,126,59,1,1,2,2,2,0,0,0,0,0,
107,513244,126,126,124,2,2,2,1,2,0,0,0,0,0,
108,513244,126,126,2075,2,2,1,1,2,0,0,0,0,0,
109,513244,126,126,3577,1,1,1,1,2,0,0,0,0,0,
110,513244,126,408,126,2,2,1,1,2,1,1,2,0,0,
111,513244,126,408,126,2,2,1,1,2,2,1,2,0,0,
112,513244,126,2075,126,3,3,1,1,2,1,1,2,126,3577,
113,513244,126,2075,126,3,3,1,1,2,2,1,2,126,124,
114,513244,126,2075,126,3,3,1,1,2,3,1,2,126,124,
115,513244,127,127,2144,2,2,1,1,2,0,0,0,0,0,
116,513244,127,127,2145,1,1,1,1,2,0,0,0,0,0,
117,513244,127,127,5408,1,1,1,1,2,0,0,0,0,0,
118,513244,127,127,6656,2,2,1,2,2,0,0,0,0,0,
119,513244,127,2144,127,3,3,1,1,2,1,1,2,127,6656,
120,513244,127,2144,127,3,3,1,1,2,2,1,2,127,6656,
121,513244,127,2144,127,3,3,1,1,2,3,1,2,127,5408,
122,513244,127,2145,127,1,1,1,1,2,1,1,2,0,0,
123,513244,127,5408,127,2,1,1,1,2,1,1,2,127,2145,
124,513244,127,5408,127,2,1,1,1,2,1,1,2,127,2144,
125,513244,127,5408,127,2,1,1,1,2,2,1,1,127,6656,
126,513244,127,6656,127,3,3,1,2,2,1,1,2,127,5408,
127,513244,127,6656,127,3,3,1,2,2,1,1,2,127,2144,
128,513244,127,6656,127,3,3,1,2,2,2,1,2,127,2144,
129,513244,127,6656,127,3,3,1,2,2,3,1,2,127,2145,
130,513244,128,128,137,2,2,1,1,2,0,0,0,0,0,
131,513244,128,128,523,1,1,2,2,2,0,0,0,0,0,
132,513244,128,128,5023,2,2,1,1,2,0,0,0,0,0,
133,513244,128,137,128,2,2,2,1,2,1,1,2,0,0,
134,513244,128,137,128,2,2,2,1,2,2,1,2,0,0,
135,513244,128,523,128,1,1,1,2,2,1,3,2,0,0,
136,513244,128,5023,128,2,2,1,1,2,1,1,2,0,0,
137,513244,128,5023,128,2,2,1,1,2,2,1,2,0,0,
138,513244,129,129,130,2,2,1,1,2,0,0,0,0,0,
139,513244,129,129,3112,2,2,2,1,2,0,0,0,0,0,
140,513244,129,129,4043,1,1,2,2,2,0,0,0,0,0,
141,513244,129,130,129,2,2,2,1,2,1,1,2,0,0,
142,513244,129,130,129,2,2,2,1,2,2,1,2,0,0,
143,513244,129,3112,129,2,2,1,1,2,1,1,2,0,0,
144,513244,129,3112,129,2,2,1,1,2,2,1,2,0,0,
145,513244,129,4043,129,1,1,2,2,2,1,3,2,0,0,
146,513244,131,131,132,2,2,1,1,2,0,0,0,0,0,
147,513244,131,131,1400,1,1,1,2,2,0,0,0,0,0,
148,513244,131,131,2586,2,2,2,1,2,0,0,0,0,0,
149,513244,131,131,7141,1,1,1,1,2,0,0,0,0,0,
150,513244,131,132,131,3,2,1,1,2,1,1,2,131,2586,
151,513244,131,132,131,3,2,1,1,2,1,1,2,131,1400,
152,513244,131,132,131,3,2,1,1,2,2,1,2,131,2586,
153,513244,131,132,131,3,2,1,1,2,3,1,1,131,7141,
154,513244,131,1400,131,1,1,1,2,2,1,1,2,0,0,
155,513244,131,2586,131,3,2,1,1,2,1,1,2,131,132,
156,513244,131,2586,131,3,2,1,1,2,1,1,2,131,7141,
157,513244,131,2586,131,3,2,1,1,2,2,1,2,131,132,
158,513244,131,2586,131,3,2,1,1,2,3,1,1,131,1400,
159,513244,131,7141,131,2,1,1,1,2,1,1,2,131,1400,
160,513244,131,7141,131,2,1,1,1,2,1,1,2,131,132,
161,513244,131,7141,131,2,1,1,1,2,2,1,1,131,2586,
162,513244,132,131,132,2,2,1,1,2,1,1,2,0,0,
163,513244,132,131,132,2,2,1,1,2,2,1,2,0,0,
164,513244,132,132,131,3,3,1,1,2,0,0,0,0,0,
165,513244,132,132,5566,1,1,2,2,2,0,0,0,0,0,
166,513244,132,132,5567,2,2,1,1,2,0,0,0,0,0,
167,513244,132,5566,132,1,1,1,2,2,1,3,2,0,0,
168,513244,132,5567,132,2,2,2,1,2,1,1,2,0,0,
169,513244,132,5567,132,2,2,2,1,2,2,1,2,0,0,
170,513244,133,133,134,2,2,1,1,2,0,0,0,0,0,
171,513244,133,133,171,2,2,2,1,2,0,0,0,0,0,
172,513244,133,133,992,1,1,2,2,2,0,0,0,0,0,
173,513244,133,134,133,2,2,2,1,2,1,1,2,0,0,
174,513244,133,134,133,2,2,2,1,2,2,1,2,0,0,
175,513244,133,171,133,2,2,1,1,2,1,1,2,0,0,
176,513244,133,171,133,2,2,1,1,2,2,1,2,0,0,
177,513244,133,992,133,1,1,2,2,2,1,3,2,0,0,
178,513244,137,128,137,2,2,1,1,2,1,1,2,0,0,
179,513244,137,128,137,2,2,1,1,2,2,1,2,0,0,
180,513244,137,137,128,2,2,2,1,2,0,0,0,0,0,
181,513244,137,137,138,2,2,1,1,2,0,0,0,0,0,
182,513244,137,137,5080,1,1,2,2,2,0,0,0,0,0,
183,513244,137,138,137,2,2,2,1,2,1,1,2,0,0,
184,513244,137,138,137,2,2,2,1,2,2,1,2,0,0,
185,513244,137,5080,137,1,1,2,2,2,1,3,2,0,0,
186,513244,139,139,608,1,1,1,1,2,0,0,0,0,0,
187,513244,139,139,5343,2,2,1,1,2,0,0,0,0,0,
188,513244,139,139,6084,1,1,2,2,2,0,0,0,0,0,
189,513244,139,139,6093,1,1,2,1,2,0,0,0,0,0,
190,513244,139,139,7056,2,2,1,1,2,0,0,0,0,0,
191,513244,139,608,139,1,1,2,1,2,1,1,2,0,0,
192,513244,139,5343,139,2,2,2,1,2,1,1,2,0,0,
193,513244,139,5343,139,2,2,2,1,2,2,1,2,0,0,
194,513244,139,6084,139,1,1,1,1,2,1,3,2,0,0,
195,513244,139,6093,139,1,1,2,2,2,1,3,2,0,0,
196,513244,139,7056,139,2,2,1,2,2,1,1,2,0,0,
197,513244,139,7056,139,2,2,1,2,2,2,1,2,0,0,
198,513244,140,117,140,3,2,1,1,2,1,1,2,140,5286,
199,513244,140,117,140,3,2,1,1,2,1,1,2,140,5284,
200,513244,140,117,140,3,2,1,1,2,2,1,2,140,5284,
201,513244,140,117,140,3,2,1,1,2,3,1,1,140,5331,
202,513244,140,140,117,2,2,1,1,2,0,0,0,0,0,
203,513244,140,140,5284,2,2,1,1,2,0,0,0,0,0,
204,513244,140,140,5286,1,1,1,1,2,0,0,0,0,0,
