,meshcode,nodeno,stotlinkno,ttoelinkno,snodeno,enodeno,geometry
0,513244,98,4,854,3480,97,
1,513244,98,854,3,97,100,
2,513244,99,17,12,3494,3490,
3,513244,100,3,7616,98,6633,
4,513244,101,52,47,103,105,
5,513244,101,47,52,105,103,
6,513244,101,23,52,104,103,
7,513244,102,22,7805,103,6731,
8,513244,102,21,7805,101,6731,
9,513244,103,52,108,101,1,
10,513244,103,108,52,1,101,
11,513244,105,47,48,101,146,
12,513244,105,24,48,104,146,
13,513244,105,48,47,146,101,
14,513244,108,43,44,87,109,
15,513244,109,44,73,108,3122,
16,513244,110,71,45,3113,111,
17,513244,111,45,9778,110,7829,
18,513244,112,7603,86,6620,4921,
19,513244,112,86,7619,4921,6637,
20,513244,113,25,26,114,144,
21,513244,113,40,38,5450,4916,
22,513244,114,39,59,5397,1625,
23,513244,114,7162,25,5402,113,
24,513244,115,154,119,116,264,
25,513244,115,119,154,264,116,
26,513244,116,160,154,117,115,
27,513244,116,154,160,115,117,
28,513244,116,1387,1111,5324,265,
29,513244,116,1111,1387,265,5324,
30,513244,118,7828,2025,6758,4918,
31,513244,118,2025,7828,4918,6758,
32,513244,118,144,7625,4919,6635,
33,513244,118,7634,144,6640,4919,
34,513244,119,60,7712,143,6683,
35,513244,120,101,7642,121,6644,
36,513244,120,878,7642,256,6644,
37,513244,120,7642,101,6644,121,
38,513244,121,7631,101,6652,120,
39,513244,121,101,7631,120,6652,
40,513244,123,1503,102,6005,122,
41,513244,123,7635,102,6652,122,
42,513244,123,102,7635,122,6652,
43,513244,124,7833,103,6762,126,
44,513244,124,35,7833,3576,6762,
45,513244,124,103,7833,126,6762,
46,513244,125,8716,7763,5516,6762,
47,513244,125,7763,8716,6762,5516,
48,513244,126,103,116,124,2075,
49,513244,126,232,116,408,2075,
50,513244,127,93,672,5408,2145,
51,513244,127,120,7672,2144,6656,
52,513244,127,7672,120,6656,2144,
53,513244,127,672,93,2145,5408,
54,513244,128,139,161,137,5023,
55,513244,128,161,139,5023,137,
56,513244,129,104,132,130,3112,
57,513244,129,132,104,3112,130,
58,513244,131,105,127,132,2586,
59,513244,131,127,105,2586,132,
60,513244,131,1705,8519,1400,7141,
61,513244,131,8519,1705,7141,1400,
62,513244,132,105,163,131,5567,
63,513244,132,163,105,5567,131,
64,513244,133,106,114,134,171,
65,513244,133,114,106,171,134,
66,513244,136,82,96,4179,5469,
67,513244,136,96,82,5469,4179,
68,513244,137,107,139,138,128,
69,513244,137,139,107,128,138,
70,513244,138,8337,107,7056,137,
71,513244,138,107,8337,137,7056,
72,513244,139,157,8333,5343,7056,
73,513244,139,8333,157,7056,5343,
74,513244,140,109,87,117,5284,
75,513244,140,87,109,5284,117,
76,513244,140,7141,741,5331,5286,
77,513244,140,741,7141,5286,5331,
78,513244,141,88,7677,5284,6656,
79,513244,141,7677,88,6656,5284,
80,513244,141,579,2080,5410,5409,
81,513244,141,2080,579,5409,5410,
82,513244,142,7744,46,6702,143,
83,513244,142,27,46,156,143,
84,513244,143,46,9471,142,7667,
85,513244,143,9471,60,7667,119,
86,513244,144,26,42,113,6012,
87,513244,144,7660,42,6642,6012,
88,513244,145,9640,7784,7640,6712,
89,513244,145,7784,9640,6712,7640,
90,513244,146,48,140,105,4320,
91,513244,146,140,48,4320,105,
92,513244,147,9818,159,7892,5367,
93,513244,147,159,9818,5367,7892,
94,513244,148,9438,8992,7624,7412,
95,513244,148,8992,9438,7412,7624,
96,513244,149,10027,53,7845,179,
97,513244,149,53,10027,179,7845,
98,513244,149,9171,4672,7476,1257,
99,513244,149,4672,9171,1257,7476,
100,513244,150,85,98,4838,5603,
101,513244,150,98,85,5603,4838,
102,513244,152,57,75,1653,3153,
103,513244,152,75,57,3153,1653,
104,513244,153,49,54,154,181,
105,513244,153,54,49,181,154,
106,513244,153,8861,5914,7288,2969,
107,513244,153,5914,8861,2969,7288,
108,513244,156,7620,27,6635,142,
109,513244,158,129,110,2620,159,
110,513244,158,110,129,159,2620,
111,513244,158,1674,8690,671,7242,
112,513244,159,110,135,158,4067,
113,513244,159,135,110,4067,158,
114,513244,160,145,136,4970,4067,
115,513244,160,136,145,4067,4970,
116,513244,165,150,142,4995,4360,
117,513244,165,142,150,4360,4995,
118,513244,168,137,70,4285,3009,
119,513244,168,70,137,3009,4285,
120,513244,169,113,138,170,4285,
121,513244,169,138,113,4285,170,
122,513244,171,114,125,133,2570,
123,513244,171,125,114,2570,133,
124,513244,173,50,10193,174,8203,
125,513244,173,10193,50,8203,174,
126,513244,175,63,51,2436,176,
127,513244,175,51,63,176,2436,
128,513244,175,982,9909,1000,7798,
129,513244,175,9909,982,7798,1000,
130,513244,176,9553,51,8111,175,
131,513244,176,51,9553,175,8111,
132,513244,177,10009,9747,8192,8111,
133,513244,177,9747,10009,8111,8192,
134,513244,177,9359,10183,6892,8251,
135,513244,177,10183,9359,8251,6892,
136,513244,178,7779,9641,6712,7641,
137,513244,178,9641,7779,7641,6712,
138,513244,178,4528,7779,904,6712,
139,513244,179,53,9240,149,7547,
140,513244,179,9240,53,7547,149,
141,513244,180,9437,8991,7646,7412,
142,513244,180,89,8991,5391,7412,
143,513244,180,8991,10376,7412,8312,
144,513244,182,68,55,154,183,
145,513244,182,55,68,183,154,
146,513244,182,5291,1684,2094,587,
147,513244,186,10061,94,8151,5450,
148,513244,186,9830,667,7909,1625,
149,513244,186,667,9830,1625,7909,
150,513244,186,8432,9830,7123,7909,
151,513244,187,858,645,3073,393,
152,513244,187,645,858,393,3073,
153,513244,187,383,10629,188,8408,
154,513244,187,10559,383,8248,188,
155,513244,188,383,9903,187,7999,
156,513244,188,9903,383,7999,187,
157,513244,189,315,320,3724,3728,
158,513244,189,320,315,3728,3724,
159,513244,189,756,4649,5466,1204,
160,513244,189,4649,756,1204,5466,
161,513244,193,359,221,5738,224,
162,513244,193,421,1451,4,5716,
163,513244,193,221,359,224,5738,
164,513244,193,1451,421,5716,4,
165,513244,197,319,218,3728,220,
166,513244,197,218,319,220,3728,
167,513244,198,420,384,4669,199,
168,513244,198,384,420,199,4669,
169,513244,201,251,215,2142,202,
170,513244,201,215,251,202,2142,
171,513244,201,9937,4991,7882,792,
172,513244,202,219,215,222,201,
173,513244,202,215,219,201,222,
174,513244,202,1155,900,3597,493,
175,513244,202,900,1155,493,3597,
176,513244,203,8669,362,7223,5797,
177,513244,203,362,8669,5797,7223,
178,513244,204,220,357,223,5732,
179,513244,204,357,220,5732,223,
180,513244,205,9616,382,7878,6346,
181,513244,205,382,9616,6346,7878,
182,513244,206,365,368,5963,5971,
183,513244,206,368,365,5971,5963,
184,513244,207,8385,366,208,5963,
185,513244,207,366,8385,5963,208,
186,513244,208,344,8385,4308,207,
187,513244,208,8385,344,207,4308,
188,513244,209,216,345,210,4308,
189,513244,209,345,216,4308,210,
190,513244,211,295,217,3592,212,
191,513244,211,217,295,212,3592,
192,513244,211,5908,1873,2962,3593,
193,513244,211,1873,5908,3593,2962,
194,513244,214,7824,306,6745,3691,
195,513244,214,306,7824,3691,6745,
