,meshcode,tnodeno,snodeno,enodeno,yssnodeno,ysenodeno,geometry
0,513244,118,6640,118,118,4918,
1,513244,118,6640,118,118,4919,
2,513244,118,6640,118,118,6758,
3,513244,127,2144,127,127,5408,
4,513244,127,6656,127,127,2145,
5,513244,131,132,131,131,7141,
6,513244,131,2586,131,131,1400,
7,513244,140,117,140,140,5331,
8,513244,140,5284,140,140,5286,
9,513244,147,5367,147,147,3609,
10,513244,147,7892,147,147,6659,
11,513244,158,159,158,158,7242,
12,513244,158,2620,158,158,671,
13,513244,160,4970,160,160,4067,
14,513244,160,4970,160,160,4070,
15,513244,165,164,4360,165,991,
16,513244,165,4995,165,4360,4974,
17,513244,168,4285,168,168,3009,
18,513244,168,4285,168,168,2559,
19,513244,177,8111,177,177,8251,
20,513244,177,8192,177,177,6892,
21,513244,186,114,1625,186,7909,
22,513244,186,114,1625,186,8222,
23,513244,186,7189,1625,186,5450,
24,513244,186,7189,1625,186,8222,
25,513244,186,7909,186,1625,7175,
26,513244,186,8151,186,1625,7189,
27,513244,187,188,187,187,3073,
28,513244,187,393,187,187,188,
29,513244,187,3073,187,187,8408,
30,513244,187,8248,187,187,393,
31,513244,188,6630,188,188,187,
32,513244,198,199,198,198,4357,
33,513244,198,4669,198,198,4461,
34,513244,221,8371,8294,8294,8248,
35,513244,221,8371,8294,221,7768,
36,513244,274,375,274,327,3324,
37,513244,274,3133,327,274,275,
38,513244,276,3316,276,280,281,
39,513244,276,4364,280,276,277,
40,513244,282,273,282,282,553,
41,513244,282,2327,282,282,4362,
42,513244,299,7455,3477,299,247,
43,513244,299,7459,299,3477,7613,
44,513244,354,353,354,412,1469,
45,513244,354,413,412,354,1454,
46,513244,358,1375,358,358,8415,
47,513244,358,1611,358,358,3795,
48,513244,360,80,360,360,7237,
49,513244,360,2075,360,360,7237,
50,513244,360,2075,360,360,7935,
51,513244,360,7237,360,360,2075,
52,513244,485,6681,485,8054,8218,
53,513244,485,6681,485,8054,8148,
54,513244,485,8148,8054,8054,8218,
55,513244,1689,1701,1689,1689,8024,
56,513244,1689,1799,1689,1689,1806,
57,513244,2143,2141,2143,2143,6718,
58,513244,2143,2141,2143,2143,2142,
59,513244,6019,7248,6019,6019,6020,
60,513244,6019,7248,6019,6019,4320,
61,513244,7083,343,7083,8402,8421,
62,513244,7083,2236,7083,8402,7576,
63,513244,7083,7575,8402,7083,343,
64,513244,7083,7576,8402,7083,8348,
65,513244,8417,6775,8417,8444,8419,
66,513244,8417,8321,8444,8417,8283,
