,meshcode,linkno,tnodeno,signcnt,signno,signtype,changeflg,regardflg,signx,signy,subsigncnt,subsignno,exctflg,cartype,extimeflg,shour,ehour,exdtflg,sdate,edate,exssflg,season,exdayflg,day,section,geometry
330,513244,3148,3353,1,1,4,0,0,477046678,123772824,1,1.0,1.0,11.0,0.0,0700,0900,0.0,0101,1231,0.0,0.0,1.0,000000011,0.0,
331,513244,3324,3960,1,1,0,0,0,477086067,123727225,1,1.0,1.0,10.0,0.0,,,0.0,,,0.0,0.0,0.0,,0.0,
332,513244,3500,2328,2,1,3,0,0,477005130,123804492,3,1.0,1.0,11.0,0.0,0600,0700,0.0,0101,1231,0.0,0.0,0.0,100000000,0.0,
333,513244,3500,2328,2,1,3,0,0,477005130,123804492,3,2.0,1.0,11.0,0.0,0900,2200,0.0,0101,1231,0.0,0.0,0.0,100000000,0.0,
334,513244,3500,2328,2,1,3,0,0,477005130,123804492,3,3.0,1.0,11.0,0.0,0600,2200,0.0,0101,1231,0.0,0.0,0.0,000000011,0.0,
335,513244,3500,2328,2,2,2,0,0,477005130,123804492,1,1.0,1.0,11.0,0.0,0700,0900,0.0,0101,1231,0.0,0.0,1.0,000000011,0.0,
336,513244,3500,4356,1,1,2,0,0,477005536,123804667,1,1.0,1.0,11.0,0.0,0600,2400,0.0,0101,1231,0.0,0.0,0.0,100000000,0.0,
337,513244,3654,4826,1,1,1,0,0,477059783,123611933,1,1.0,1.0,11.0,0.0,,,0.0,,,0.0,0.0,0.0,,0.0,
338,513244,3655,4826,1,1,1,0,0,477059783,123611933,1,1.0,1.0,11.0,0.0,,,0.0,,,0.0,0.0,0.0,,0.0,
339,513244,3673,491,1,1,5,0,0,477051506,123622347,1,1.0,0.0,42.0,0.0,,,0.0,,,0.0,0.0,0.0,,0.0,
340,513244,3691,4924,1,1,4,0,0,477121700,123719603,1,1.0,1.0,11.0,0.0,0700,2400,0.0,0101,1231,0.0,0.0,0.0,100000000,0.0,
341,513244,3691,4925,1,1,1,0,0,477122179,123719032,1,1.0,1.0,11.0,0.0,0700,2400,0.0,0101,1231,0.0,0.0,0.0,100000000,0.0,
342,513244,3692,4925,1,1,1,0,0,477122025,123719136,1,1.0,1.0,11.0,0.0,0700,2400,0.0,0101,1231,0.0,0.0,0.0,100000000,0.0,
343,513244,3721,4985,1,1,3,0,0,477210401,123780074,1,1.0,1.0,11.0,0.0,,,0.0,,,0.0,0.0,0.0,,0.0,
344,513244,3857,5246,1,1,2,0,0,477150421,123717373,1,1.0,1.0,10.0,0.0,0700,0900,0.0,0101,1231,0.0,0.0,0.0,100000000,0.0,
345,513244,3878,5290,1,1,3,0,0,477139055,123724426,1,1.0,1.0,11.0,0.0,0700,0830,0.0,0101,1231,0.0,0.0,0.0,100000000,0.0,
346,513244,3879,5290,1,1,4,0,0,477139709,123724726,1,1.0,1.0,11.0,0.0,0700,0830,0.0,0101,1231,0.0,0.0,0.0,100000000,0.0,
347,513244,3889,5314,1,1,2,0,0,477156494,123729327,0,,,,,,,,,,,,,,,
348,513244,3900,116,1,1,2,0,0,477134543,123732858,0,,,,,,,,,,,,,,,
349,513244,4213,5284,1,1,2,0,0,477129408,123729001,1,1.0,0.0,54.0,0.0,,,0.0,,,0.0,0.0,0.0,,0.0,
350,513244,4494,607,1,1,1,0,0,477157364,123737350,1,1.0,0.0,42.0,0.0,,,0.0,,,0.0,0.0,0.0,,0.0,
351,513244,4529,904,2,1,3,0,0,477077352,123724515,1,1.0,0.0,54.0,0.0,,,0.0,,,0.0,0.0,0.0,,0.0,
352,513244,4529,904,2,2,3,0,0,477077034,123723715,1,1.0,1.0,10.0,0.0,,,0.0,,,0.0,0.0,0.0,,0.0,
353,513244,4530,906,1,1,3,0,0,477078881,123725100,1,1.0,1.0,10.0,0.0,,,0.0,,,0.0,0.0,0.0,,0.0,
354,513244,4532,909,1,1,3,0,0,477077191,123725664,1,1.0,1.0,10.0,0.0,,,0.0,,,0.0,0.0,0.0,,0.0,
355,513244,4592,703,1,1,5,0,0,477041310,123763402,1,1.0,0.0,22.0,0.0,0700,0900,0.0,0101,1231,0.0,0.0,0.0,100000000,0.0,
356,513244,4605,1109,1,1,2,0,0,477018793,123805113,1,1.0,0.0,54.0,0.0,,,0.0,,,0.0,0.0,0.0,,0.0,
357,513244,4649,1204,1,1,3,0,0,477036213,123887828,1,1.0,1.0,11.0,0.0,0740,0900,0.0,0101,1231,0.0,0.0,1.0,000000011,0.0,
358,513244,4669,679,1,1,6,0,0,477282489,123854544,0,,,,,,,,,,,,,,,
359,513244,4672,149,2,1,2,0,0,477051272,123627844,0,,,,,,,,,,,,,,,
360,513244,4672,149,2,2,2,0,0,477051485,123628136,0,,,,,,,,,,,,,,,
361,513244,4690,607,1,1,1,0,0,477157737,123737302,1,1.0,0.0,42.0,0.0,,,0.0,,,0.0,0.0,0.0,,0.0,
362,513244,4692,3363,1,1,2,0,0,477161429,123730629,0,,,,,,,,,,,,,,,
363,513244,4757,1249,1,1,0,0,0,477093058,123730213,0,,,,,,,,,,,,,,,
364,513244,4757,1298,1,1,4,0,0,477092093,123730783,1,1.0,1.0,10.0,0.0,,,0.0,,,0.0,0.0,0.0,,0.0,
365,513244,4759,922,1,1,4,0,0,477082630,123726432,1,1.0,1.0,10.0,0.0,,,0.0,,,0.0,0.0,0.0,,0.0,
366,513244,4759,1301,1,1,4,0,0,477081954,123726905,1,1.0,1.0,10.0,0.0,,,0.0,,,0.0,0.0,0.0,,0.0,
367,513244,4760,315,1,1,1,0,0,477128107,123735955,1,1.0,0.0,42.0,0.0,,,0.0,,,0.0,0.0,0.0,,0.0,
368,513244,4769,656,1,1,1,0,0,477078711,123752969,1,1.0,0.0,47.0,0.0,,,0.0,,,0.0,0.0,0.0,,0.0,
369,513244,4880,1467,1,1,3,0,0,476993395,123807546,1,1.0,1.0,11.0,0.0,,,0.0,,,0.0,0.0,0.0,,0.0,
370,513244,4881,1467,2,1,5,0,0,476994049,123808081,1,1.0,1.0,11.0,0.0,0700,0900,0.0,0101,1231,0.0,0.0,0.0,100000000,0.0,
371,513244,4881,1467,2,2,4,0,0,476994049,123808081,1,1.0,1.0,11.0,0.0,0900,0700,0.0,0101,1231,0.0,0.0,0.0,100000000,0.0,
372,513244,4883,1109,1,1,5,0,0,477017961,123805057,1,1.0,1.0,11.0,0.0,,,0.0,,,0.0,0.0,0.0,,0.0,
373,513244,4995,413,1,1,0,0,0,477007955,123804896,1,1.0,1.0,11.0,0.0,,,0.0,,,0.0,0.0,0.0,,0.0,
374,513244,4995,1555,1,1,5,0,0,477007673,123805361,1,1.0,1.0,11.0,0.0,,,0.0,,,0.0,0.0,0.0,,0.0,
375,513244,4996,906,1,1,4,0,0,477079291,123725162,1,1.0,1.0,10.0,0.0,,,0.0,,,0.0,0.0,0.0,,0.0,
376,513244,4996,1302,1,1,4,0,0,477078535,123725622,1,1.0,1.0,10.0,0.0,,,0.0,,,0.0,0.0,0.0,,0.0,
377,513244,4999,916,1,1,4,0,0,477089526,123728990,1,1.0,1.0,10.0,0.0,,,0.0,,,0.0,0.0,0.0,,0.0,
378,513244,4999,1299,1,1,4,0,0,477088760,123729447,1,1.0,1.0,10.0,0.0,,,0.0,,,0.0,0.0,0.0,,0.0,
379,513244,5018,1673,2,1,2,0,0,477088003,123655787,1,1.0,1.0,10.0,0.0,0700,0900,0.0,0101,1231,0.0,0.0,0.0,100000000,0.0,
380,513244,5018,1673,2,2,2,0,0,477087838,123655449,1,1.0,1.0,10.0,0.0,0700,0900,0.0,0101,1231,0.0,0.0,0.0,100000000,0.0,
381,513244,5152,1865,1,1,1,0,0,477136153,123711194,1,1.0,1.0,11.0,0.0,0700,0900,0.0,0101,1231,0.0,0.0,0.0,100000000,0.0,
382,513244,5156,485,1,1,2,0,0,476998622,123715523,0,,,,,,,,,,,,,,,
383,513244,5185,1930,1,1,3,0,0,477046794,123773013,1,1.0,0.0,54.0,0.0,0700,0900,0.0,0101,1231,0.0,0.0,1.0,000000011,0.0,
384,513244,5224,1966,1,1,1,0,0,476998576,123830122,1,1.0,1.0,11.0,0.0,0900,1900,0.0,0101,1231,0.0,0.0,0.0,100000000,0.0,
385,513244,5290,1874,2,1,6,0,0,477102787,123739982,1,1.0,1.0,10.0,0.0,1500,2000,0.0,0101,1231,0.0,0.0,0.0,100000000,0.0,
386,513244,5290,1874,2,2,6,0,0,477102188,123740232,1,1.0,1.0,10.0,0.0,1500,2000,0.0,0101,1231,0.0,0.0,0.0,100000000,0.0,
387,513244,5386,1969,1,1,2,0,0,476998820,123850843,1,1.0,0.0,42.0,0.0,,,0.0,,,0.0,0.0,0.0,,0.0,
388,513244,5387,1965,1,1,2,0,0,477002820,123835932,1,1.0,1.0,11.0,0.0,0900,1900,0.0,0101,1231,0.0,0.0,0.0,100000000,0.0,
389,513244,5387,2223,1,1,1,0,0,477000531,123833131,1,1.0,1.0,11.0,0.0,0900,1900,0.0,0101,1231,0.0,0.0,0.0,100000000,0.0,
390,513244,5388,1966,1,1,1,0,0,476998592,123830137,1,1.0,1.0,11.0,0.0,0900,1900,0.0,0101,1231,0.0,0.0,0.0,100000000,0.0,
391,513244,5388,2223,1,1,1,0,0,477000531,123833131,1,1.0,1.0,11.0,0.0,0900,1900,0.0,0101,1231,0.0,0.0,0.0,100000000,0.0,
392,513244,5391,2235,1,1,5,0,0,476992253,123814464,1,1.0,1.0,11.0,0.0,0730,0830,0.0,0101,1231,0.0,0.0,1.0,000000011,0.0,
393,513244,5471,2331,1,1,2,0,0,477022345,123793530,1,1.0,1.0,11.0,0.0,0600,2200,0.0,0101,1231,0.0,0.0,0.0,100000000,0.0,
394,513244,5487,1451,1,1,5,0,0,477019273,123767858,2,1.0,1.0,10.0,0.0,0600,0900,0.0,0101,1231,0.0,0.0,0.0,100000000,0.0,
395,513244,5487,1451,1,1,5,0,0,477019273,123767858,2,2.0,1.0,10.0,0.0,1600,1800,0.0,0101,1231,0.0,0.0,0.0,100000000,0.0,
396,513244,5509,904,1,1,4,0,0,477077363,123723852,1,1.0,0.0,54.0,0.0,,,0.0,,,0.0,0.0,0.0,,0.0,
397,513244,5509,909,1,1,4,0,0,477076870,123725670,1,1.0,1.0,10.0,0.0,,,0.0,,,0.0,0.0,0.0,,0.0,
398,513244,5516,2330,1,1,4,0,0,476994305,123809174,1,1.0,0.0,54.0,0.0,,,0.0,,,0.0,0.0,0.0,,0.0,
399,513244,5630,2735,1,1,1,0,0,477101880,123749071,1,1.0,1.0,11.0,0.0,0700,0900,0.0,0101,1231,0.0,0.0,1.0,000000011,0.0,
400,513244,5661,656,1,1,1,0,0,477078994,123753310,1,1.0,0.0,47.0,0.0,,,0.0,,,0.0,0.0,0.0,,0.0,
401,513244,5692,1413,1,1,3,0,0,477091105,123748748,1,1.0,1.0,11.0,0.0,0700,0900,0.0,0101,1231,0.0,0.0,1.0,000000011,0.0,
402,513244,5693,1620,1,1,2,0,0,477088503,123739982,0,,,,,,,,,,,,,,,
403,513244,5696,928,1,1,1,0,0,477095056,123743220,1,1.0,1.0,11.0,0.0,0700,0900,0.0,0101,1231,0.0,0.0,1.0,000000011,0.0,
404,513244,5707,2735,1,1,1,0,0,477102612,123749788,1,1.0,1.0,11.0,0.0,0700,0900,0.0,0101,1231,0.0,0.0,1.0,000000011,0.0,
405,513244,5709,919,1,1,0,0,0,477086137,123727689,1,1.0,1.0,10.0,0.0,,,0.0,,,0.0,0.0,0.0,,0.0,
406,513244,5709,1300,1,1,4,0,0,477085411,123728178,1,1.0,1.0,10.0,0.0,,,0.0,,,0.0,0.0,0.0,,0.0,
407,513244,5710,2814,1,1,2,0,0,477094202,123732009,1,1.0,1.0,10.0,0.0,,,0.0,,,0.0,0.0,0.0,,0.0,
408,513244,5877,2896,1,1,2,0,0,477098726,123657641,1,1.0,1.0,10.0,0.0,0700,0900,0.0,0101,1231,0.0,0.0,0.0,100000000,0.0,
409,513244,5884,2896,1,1,5,0,0,477098894,123657825,1,1.0,1.0,10.0,0.0,0700,0900,0.0,0101,1231,0.0,0.0,0.0,100000000,0.0,
410,513244,5982,2329,1,1,3,0,0,477000166,123807507,1,1.0,1.0,11.0,0.0,,,0.0,,,0.0,0.0,0.0,,0.0,
411,513244,5983,3078,1,1,1,0,0,477006379,123806077,1,1.0,1.0,11.0,0.0,0600,2200,0.0,0101,1231,0.0,0.0,0.0,100000000,0.0,
412,513244,5999,7494,1,1,2,0,0,477025634,123810154,0,,,,,,,,,,,,,,,
413,513244,6021,3154,1,1,5,0,0,477084399,123659054,1,1.0,1.0,11.0,0.0,,,0.0,,,0.0,0.0,0.0,,0.0,
414,513244,6027,8226,1,1,2,0,0,477161677,123731958,1,1.0,1.0,11.0,0.0,,,0.0,,,0.0,0.0,0.0,,0.0,
415,513244,6029,3168,1,1,6,0,0,477181792,123742825,2,1.0,0.0,35.0,0.0,,,0.0,,,0.0,0.0,0.0,,0.0,
416,513244,6029,3168,1,1,6,0,0,477181792,123742825,2,2.0,0.0,45.0,0.0,,,0.0,,,0.0,0.0,0.0,,0.0,
417,513244,6140,3323,1,1,1,0,0,477034190,123798264,1,1.0,1.0,11.0,0.0,,,0.0,,,0.0,0.0,0.0,,0.0,
418,513244,6167,3350,1,1,4,0,0,477039705,123771639,1,1.0,1.0,11.0,0.0,0700,0900,0.0,0101,1231,0.0,0.0,1.0,000000011,0.0,
419,513244,6175,3163,1,1,2,0,0,477154107,123727623,0,,,,,,,,,,,,,,,
420,513244,6176,3368,1,1,2,0,0,477153445,123728043,0,,,,,,,,,,,,,,,
421,513244,6240,1298,1,1,3,0,0,477092420,123730785,1,1.0,1.0,10.0,0.0,,,0.0,,,0.0,0.0,0.0,,0.0,
422,513244,6241,1413,2,1,4,0,0,477091332,123748616,1,1.0,1.0,11.0,0.0,0700,0900,0.0,0101,1231,0.0,0.0,1.0,000000011,0.0,
423,513244,6241,1413,2,2,4,0,0,477091165,123748997,1,1.0,1.0,11.0,0.0,0700,0900,0.0,0101,1231,0.0,0.0,1.0,000000011,0.0,
424,513244,6242,3362,1,1,2,0,0,477139867,123720974,0,,,,,,,,,,,,,,,
425,513244,6243,3513,1,1,2,0,0,477141123,123722334,1,1.0,1.0,11.0,0.0,,,0.0,,,0.0,0.0,0.0,,0.0,
426,513244,6255,590,1,1,2,0,0,477138273,123682767,1,1.0,1.0,10.0,0.0,0700,2400,0.0,0101,1231,0.0,0.0,0.0,100000000,0.0,
427,513244,6300,3580,1,1,1,0,0,477002733,123806427,1,1.0,1.0,11.0,0.0,,,0.0,,,0.0,0.0,0.0,,0.0,
428,513244,6305,589,1,1,4,0,0,477136217,123681599,1,1.0,1.0,10.0,0.0,0700,2400,0.0,0101,1231,0.0,0.0,0.0,100000000,0.0,
429,513244,6306,792,1,1,4,0,0,477131741,123682911,1,1.0,1.0,11.0,0.0,,,0.0,,,0.0,0.0,0.0,,0.0,
430,513244,6309,589,1,1,3,0,0,477136224,123681596,1,1.0,1.0,10.0,0.0,0700,2400,0.0,0101,1231,0.0,0.0,0.0,100000000,0.0,
431,513244,6317,792,1,1,3,0,0,477131483,123682999,1,1.0,1.0,11.0,0.0,,,0.0,,,0.0,0.0,0.0,,0.0,
432,513244,6319,1556,1,1,4,0,0,477129416,123671238,1,1.0,1.0,11.0,0.0,0700,0900,0.0,0101,1231,0.0,0.0,0.0,100000000,0.0,
433,513244,6331,3154,1,1,2,0,0,477084420,123659056,1,1.0,1.0,11.0,0.0,,,0.0,,,0.0,0.0,0.0,,0.0,
434,513244,6338,1683,1,1,2,0,0,477094510,123656227,1,1.0,1.0,10.0,0.0,0700,0900,0.0,0101,1231,0.0,0.0,0.0,100000000,0.0,
435,513244,6340,2901,2,1,2,0,0,477092299,123656347,1,1.0,1.0,10.0,0.0,0700,0900,0.0,0101,1231,0.0,0.0,0.0,100000000,0.0,
436,513244,6340,2901,2,2,2,0,0,477092885,123656395,1,1.0,1.0,10.0,0.0,0700,0900,0.0,0101,1231,0.0,0.0,0.0,100000000,0.0,
437,513244,6344,2947,1,1,4,0,0,477133311,123667204,1,1.0,1.0,11.0,0.0,,,0.0,,,0.0,0.0,0.0,,0.0,
438,513244,6351,1835,1,1,1,0,0,477131561,123658447,1,1.0,1.0,11.0,0.0,0700,0900,0.0,0101,1231,0.0,0.0,0.0,100000000,0.0,
439,513244,6385,1227,1,1,5,0,0,477037904,123890674,1,1.0,1.0,11.0,0.0,0740,0900,0.0,0101,1231,0.0,0.0,1.0,000000011,0.0,
440,513244,6387,3718,1,1,5,0,0,477037704,123876757,1,1.0,1.0,11.0,0.0,0730,0830,0.0,0101,1231,0.0,0.0,1.0,000000111,0.0,
441,513244,6410,978,1,1,4,0,0,477025761,123742013,1,1.0,1.0,11.0,0.0,0745,0830,0.0,0101,1231,0.0,0.0,0.0,100000000,0.0,
442,513244,6412,534,1,1,0,0,0,477026624,123738796,1,1.0,1.0,11.0,0.0,0700,0830,0.0,0101,1231,0.0,0.0,0.0,100000000,0.0,
443,513244,6421,978,1,1,3,0,0,477025844,123742592,1,1.0,1.0,11.0,0.0,0745,0830,0.0,0101,1231,0.0,0.0,0.0,100000000,0.0,
444,513244,6484,3960,1,1,0,0,0,477086089,123727237,1,1.0,1.0,10.0,0.0,,,0.0,,,0.0,0.0,0.0,,0.0,
445,513244,6486,922,1,1,3,0,0,477082313,123726349,1,1.0,1.0,10.0,0.0,,,0.0,,,0.0,0.0,0.0,,0.0,
446,513244,6487,1249,1,1,0,0,0,477092887,123729831,0,,,,,,,,,,,,,,,
447,513244,6489,1249,1,1,0,0,0,477094522,123730366,0,,,,,,,,,,,,,,,
448,513244,6491,1299,1,1,3,0,0,477089073,123729543,1,1.0,1.0,10.0,0.0,,,0.0,,,0.0,0.0,0.0,,0.0,
449,513244,6492,1300,1,1,3,0,0,477085659,123728275,1,1.0,1.0,10.0,0.0,,,0.0,,,0.0,0.0,0.0,,0.0,
450,513244,6548,4040,1,1,1,0,0,477230693,123808297,1,1.0,1.0,11.0,0.0,,,0.0,,,0.0,0.0,0.0,,0.0,
451,513244,6716,708,1,1,2,0,0,477024577,123766770,1,1.0,0.0,99.0,0.0,,,0.0,,,0.0,0.0,0.0,,0.0,
452,513244,6873,3323,1,1,1,0,0,477034228,123798869,1,1.0,1.0,11.0,0.0,,,0.0,,,0.0,0.0,0.0,,0.0,
453,513244,6883,3344,1,1,2,0,0,477036397,123771959,0,,,,,,,,,,,,,,,
454,513244,6891,736,1,1,6,0,0,477027993,123840102,1,1.0,1.0,11.0,0.0,,,0.0,,,0.0,0.0,0.0,,0.0,
455,513244,6924,4668,1,1,1,0,1,476996452,123827514,0,,,,,,,,,,,,,,,
456,513244,7021,3165,1,1,2,0,0,477167165,123733898,1,1.0,1.0,11.0,0.0,,,0.0,,,0.0,0.0,0.0,,0.0,
457,513244,7073,811,1,1,4,0,0,477167501,123723701,1,1.0,0.0,42.0,0.0,,,0.0,,,0.0,0.0,0.0,,0.0,
458,513244,7100,1868,1,1,1,0,0,477146648,123720184,1,1.0,1.0,10.0,0.0,0700,0900,0.0,0101,1231,0.0,0.0,0.0,100000000,0.0,
459,513244,7103,1868,1,1,1,0,0,477146633,123720169,1,1.0,1.0,10.0,0.0,0700,0900,0.0,0101,1231,0.0,0.0,0.0,100000000,0.0,
460,513244,7107,3512,1,1,2,0,0,477142052,123721189,1,1.0,1.0,11.0,0.0,,,0.0,,,0.0,0.0,0.0,,0.0,
461,513244,7113,3514,1,1,2,0,0,477145415,123724063,1,1.0,1.0,11.0,0.0,,,0.0,,,0.0,0.0,0.0,,0.0,
462,513244,7118,1575,1,1,2,0,0,477136311,123720437,0,,,,,,,,,,,,,,,
463,513244,7152,525,1,1,1,0,0,477150689,123745403,1,1.0,1.0,11.0,0.0,0700,0830,0.0,0101,1231,0.0,0.0,0.0,100000000,0.0,
