,meshcode,linkno,oheight,owidth,oweight,rheight,rwidth,rweight,signcnt,signno,ohsignkdo,ohsignido,owisignkdo,owisignido,owesignkdo,owesignido,rhsignkdo,rhsignido,rwisignkdo,rwisignido,rwesignkdo,rwesignido,geometry
0,513244,480,450,0,0,450,0,0,2,1,477194045,123776085,0,0,0,0,477195115,123776442,0,0,0,0,
1,513244,480,450,0,0,450,0,0,2,2,477194045,123776085,0,0,0,0,0,0,0,0,0,0,
2,513244,503,420,0,0,420,0,0,2,1,477000439,123800625,0,0,0,0,476999717,123798372,0,0,0,0,
3,513244,503,420,0,0,420,0,0,2,2,0,0,0,0,0,0,476999765,123799712,0,0,0,0,
4,513244,521,450,0,0,450,0,0,1,1,477219823,123800103,0,0,0,0,477219398,123798742,0,0,0,0,
5,513244,590,450,0,0,0,0,0,1,1,477117468,123738254,0,0,0,0,0,0,0,0,0,0,
6,513244,591,0,0,0,450,0,0,1,1,0,0,0,0,0,0,477117888,123736575,0,0,0,0,
7,513244,704,450,0,0,450,0,0,1,1,477002339,123793808,0,0,0,0,477003493,123797736,0,0,0,0,
8,513244,717,450,0,0,450,0,0,1,1,477067686,123748495,0,0,0,0,477068224,123749329,0,0,0,0,
9,513244,906,450,0,0,450,0,0,1,1,477150720,123746042,0,0,0,0,477150985,123745738,0,0,0,0,
10,513244,980,450,0,0,450,0,0,1,1,477288338,123861802,0,0,0,0,477288776,123861723,0,0,0,0,
11,513244,1194,450,0,0,450,0,0,1,1,477235736,123814330,0,0,0,0,477235475,123814516,0,0,0,0,
12,513244,1211,450,0,0,450,0,0,1,1,477308118,123895780,0,0,0,0,477308355,123895307,0,0,0,0,
13,513244,1397,450,0,0,450,0,0,1,1,477102435,123740176,0,0,0,0,477103804,123741028,0,0,0,0,
14,513244,1417,450,0,0,450,0,0,1,1,476989634,123834968,0,0,0,0,476990767,123834072,0,0,0,0,
