,Unnamed: 0,meshcode,nodeno,vflg,zuflg,nextflg,zahyocnt,keido1,ido1,keido2,ido2,keido3,ido3,keido4,ido4,keido5,ido5,geometry
0,0,513244,99,0,0,1,10,132.51453083333334,34.41368527777778,132.51454388888888,34.413809722222226,132.51456055555556,34.4139575,132.51457416666668,34.41408277777778,132.51459166666666,34.41423638888889,
1,1,513244,99,0,0,2,10,132.51460416666666,34.414345833333336,132.51461666666665,34.41446138888889,132.51462777777778,34.414561666666664,132.51463777777778,34.41467277777778,132.5146436111111,34.414740555555554,
2,2,513244,3113,0,0,1,11,132.50522944444444,34.33835277777778,132.50499583333334,34.33851583333333,132.50489166666668,34.33858388888889,132.50468833333332,34.33871111111111,132.50451027777777,34.33881138888889,
3,3,513244,3113,0,0,2,11,132.5044002777778,34.33887,132.5042475,34.33894611111111,132.50403666666668,34.339043333333336,132.50388333333333,34.33910916666667,132.50372,34.33917388888889,
4,4,513244,3113,0,0,3,11,132.50359277777778,34.33922138888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
5,5,513244,3122,0,0,1,7,132.50378944444444,34.33944638888889,132.50397138888889,34.3393625,132.50410472222222,34.33929416666667,132.50428055555557,34.339199444444446,132.50448694444444,34.33907888888889,
6,6,513244,3122,0,0,2,7,132.50465472222223,34.33897722222222,132.50480805555554,34.338879444444444,0.0,0.0,0.0,0.0,0.0,0.0,
7,7,513244,3474,0,0,1,9,132.5148475,34.414944166666665,132.5148325,34.414835555555555,132.51481444444445,34.41468416666667,132.51478972222222,34.41446916666667,132.51477166666666,34.41430777777778,
8,8,513244,3474,0,0,2,9,132.51475416666668,34.41414694444445,132.51472805555557,34.41392361111111,132.51471666666666,34.41382083333333,132.51469472222223,34.41363833333333,0.0,0.0,
9,9,513244,7618,1,1,1,14,132.4977075,34.36222472222222,132.49767,34.362162777777776,132.49763388888888,34.362095555555555,132.49760444444445,34.36203861111111,132.49757083333333,34.36196861111111,
10,10,513244,7618,1,1,2,14,132.49754416666667,34.36190861111111,132.49751333333333,34.36183638888889,132.49749,34.36177583333333,132.4974675,34.361713888888886,132.49744777777778,34.36165611111111,
11,11,513244,7618,1,1,3,14,132.49742388888887,34.361579166666665,132.49740916666667,34.36152527777778,132.49738583333334,34.36143444444444,132.49737583333334,34.36138472222222,0.0,0.0,
12,12,513244,7701,1,0,1,10,132.49851194444443,34.38126944444444,132.4985127777778,34.3813375,132.49851444444445,34.381413055555555,132.49851583333333,34.38151083333333,132.49851805555556,34.381618333333336,
13,13,513244,7701,1,0,2,10,132.4985188888889,34.381724166666665,132.49851944444444,34.38182,132.4985213888889,34.381948333333334,132.49852194444443,34.38205527777778,132.49852333333334,34.38215388888889,
14,14,513244,7829,0,0,0,3,132.49887694444445,34.34012388888889,132.4985563888889,34.340246111111114,132.4983711111111,34.34032333333333,0.0,0.0,0.0,0.0,
15,15,513244,7945,1,0,1,10,132.49867833333334,34.38097611111111,132.4986761111111,34.38089027777778,132.4986738888889,34.38079361111111,132.49867138888888,34.38070027777778,132.4986675,34.3805825,
16,16,513244,7945,1,0,2,10,132.49866444444444,34.38048027777778,132.49866138888888,34.380386944444446,132.49865833333334,34.38029111111111,132.49865472222223,34.380205833333335,132.49865111111112,34.380091666666665,
17,17,513244,8043,0,0,1,8,132.50002166666667,34.356762777777774,132.50019277777778,34.35671638888889,132.50041861111112,34.35664611111111,132.50063055555555,34.35657472222222,132.50083555555557,34.356498888888886,
18,18,513244,8043,0,0,2,8,132.50103583333333,34.35641555555556,132.5012088888889,34.35633722222222,132.50132916666666,34.356277222222225,0.0,0.0,0.0,0.0,
19,19,513244,8102,1,0,1,10,132.5019413888889,34.396438333333336,132.5019675,34.39635194444445,132.50198972222222,34.396275277777775,132.50202833333333,34.396146944444446,132.50206083333333,34.39604388888889,
20,20,513244,8102,1,0,2,10,132.5020927777778,34.39593027777778,132.50212027777778,34.395825555555554,132.5021413888889,34.39573388888889,132.50215916666667,34.39564583333333,132.50216777777777,34.39557305555556,
21,21,513244,8107,0,0,1,16,132.50873472222221,34.40434972222222,132.50883416666667,34.40437,132.50893055555557,34.40439277777778,132.5090025,34.40441166666667,132.50909083333335,34.4044375,
22,22,513244,8107,0,0,2,16,132.50919583333334,34.40447138888889,132.50931722222222,34.404516666666666,132.5094361111111,34.40456555555556,132.50957583333334,34.40463138888889,132.5096925,34.404692222222224,
23,23,513244,8107,0,0,3,16,132.50981611111112,34.404764444444446,132.5098975,34.40481638888889,132.50999777777778,34.40488111111111,132.51009916666666,34.40495305555555,132.51019527777777,34.40502111111111,
24,24,513244,8107,0,0,4,16,132.51031777777777,34.40510611111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
