,meshcode,linkno,snodeno,enodeno,day,shour,ehour,sdate,edate,cartype,geometry
330,513244,7630,4916,6632,100000000,0000,2400,0101,1231,0,
331,513244,7633,6632,6620,100000000,0000,2400,0101,1231,0,
332,513244,7634,6640,118,100000000,0000,2400,0101,1231,0,
333,513244,7649,4910,6650,100000000,0000,2400,0101,1231,0,
334,513244,7655,5450,6642,100000000,0000,2400,0101,1231,0,
335,513244,7660,6642,144,100000000,0000,2400,0101,1231,0,
336,513244,7712,119,6683,100000000,0000,2400,0101,1231,0,
337,513244,7720,6683,6640,100000000,0000,2400,0101,1231,0,
338,513244,7731,3498,6690,100000000,0000,2400,0101,1231,0,
339,513244,7733,6714,3514,100000000,0000,2400,0101,1231,0,
340,513244,7739,3371,6714,100000000,0000,2400,0101,1231,0,
341,513244,7742,6698,3497,100000000,0000,2400,0101,1231,0,
342,513244,7743,3515,6719,100000000,0000,2400,0101,1231,0,
343,513244,7744,6702,142,100000000,0000,2400,0101,1231,0,
344,513244,7745,3496,6698,100000000,0000,2400,0101,1231,0,
345,513244,7746,6719,3371,100000000,0000,2400,0101,1231,0,
346,513244,7748,119,6709,100000000,0000,2400,0101,1231,0,
347,513244,7749,6690,4358,100000000,0000,2400,0101,1231,0,
348,513244,7750,6700,3513,100000000,0000,2400,0101,1231,0,
349,513244,7753,6622,3105,100000000,0000,2400,0101,1231,0,
350,513244,7755,3160,6700,100000000,0000,2400,0101,1231,0,
351,513244,7758,6709,6716,100000000,0000,2400,0101,1231,0,
352,513244,7759,3507,6630,100000000,0000,2400,0101,1231,0,
353,513244,7760,6707,3511,100000000,0000,2400,0101,1231,0,
354,513244,7762,6716,3506,100000000,0000,2400,0101,1231,0,
355,513244,7764,3512,6707,100000000,0000,2400,0101,1231,0,
356,513244,7765,6012,6721,100000000,0000,2400,0101,1231,0,
357,513244,7771,6721,6702,100000000,0000,2400,0101,1231,0,
358,513244,7798,145,6743,100000000,0000,2400,0101,1231,0,
359,513244,7800,6731,3113,100000000,0000,2400,0101,1231,0,
360,513244,7803,6743,3152,100000000,0000,2400,0101,1231,0,
361,513244,7805,102,6731,100000000,0000,2400,0101,1231,0,
362,513244,7811,3122,6736,100000000,0000,2400,0101,1231,0,
363,513244,7817,6736,104,100000000,0000,2400,0101,1231,0,
364,513244,7818,3164,6742,100000000,0000,2400,0101,1231,0,
365,513244,7821,6742,3363,100000000,0000,2400,0101,1231,0,
366,513244,7839,6756,3370,100000000,0000,2400,0101,1231,0,
367,513244,7848,604,6760,100000000,0000,2400,0101,1231,0,
368,513244,7982,4815,4813,100000000,0000,2400,0101,1231,0,
369,513244,7994,3243,6864,100000000,0000,2400,0101,1231,0,
370,513244,8001,6864,4540,100000000,0000,2400,0101,1231,0,
371,513244,8134,6924,3478,100000000,0000,2400,0101,1231,0,
372,513244,8178,1226,6942,011111000,0730,0830,0101,1231,0,
373,513244,8224,6970,6975,100000000,0000,2400,0101,1231,0,
374,513244,8240,7136,6970,100000000,0700,2200,0101,1231,0,
375,513244,8261,7002,7008,100000000,0000,2400,0101,1231,0,
376,513244,8265,7006,4356,100000000,0600,2400,0101,1231,0,
377,513244,8268,7335,7006,100000000,0600,2400,0101,1231,0,
378,513244,8283,7016,7002,100000000,0000,2400,0101,1231,0,
379,513244,8285,7031,3367,100000000,0000,2400,0101,1231,0,
380,513244,8289,5298,7031,100000000,0000,2400,0101,1231,0,
381,513244,8294,3161,7023,100000000,0000,2400,0101,1231,0,
382,513244,8296,7022,7016,100000000,0000,2400,0101,1231,0,
383,513244,8307,7038,3368,100000000,0000,2400,0101,1231,0,
384,513244,8309,3367,7038,100000000,0000,2400,0101,1231,0,
385,513244,8311,4412,7027,100000000,0000,2400,0101,1231,0,
386,513244,8315,5280,7045,100000000,0000,2400,0101,1231,0,
387,513244,8318,7027,1086,100000000,0000,2400,0101,1231,0,
388,513244,8320,7037,7022,100000000,0000,2400,0101,1231,0,
389,513244,8321,434,4387,100000000,0700,2200,0101,1231,0,
390,513244,8322,7045,6049,100000000,0000,2400,0101,1231,0,
391,513244,8331,7030,7044,100000000,0000,2400,0101,1231,0,
392,513244,8350,5215,596,100000000,0000,2400,0101,1231,0,
393,513244,8352,7062,3479,100000000,0000,2400,0101,1231,0,
394,513244,8357,5276,595,100000000,0700,0900,0101,1231,0,
395,513244,8358,3478,7062,100000000,0000,2400,0101,1231,0,
396,513244,8372,7008,7068,100000000,0000,2400,0101,1231,0,
397,513244,8376,5039,7062,100000000,0000,2400,0101,1231,0,
398,513244,8396,424,7078,100000000,0000,2400,0101,1231,0,
399,513244,8401,7078,3526,100000000,0000,2400,0101,1231,0,
400,513244,8517,4471,7095,100000000,0000,2400,0101,1231,0,
401,513244,8523,2142,7163,100000000,0000,2400,0101,1231,0,
402,513244,8530,7163,3586,100000000,0000,2400,0101,1231,0,
403,513244,8538,1625,7175,100000000,0000,2400,0101,1231,0,
404,513244,8542,7120,7165,100000000,0000,2400,0101,1231,0,
405,513244,8544,7175,5398,100000000,0000,2400,0101,1231,0,
406,513244,8552,7165,7127,100000000,0000,2400,0101,1231,0,
407,513244,8557,7176,7171,100000000,0000,2400,0101,1231,0,
408,513244,8564,7120,6725,100000000,0000,2400,0101,1231,0,
409,513244,8567,7131,7176,100000000,0000,2400,0101,1231,0,
